"Plot","GSL","Y1962a","Y1962b","Y1967","Y1972a","Y1972b","Y1977","Y1982a","Y1982b","Y1987","Y1992a","Y1992b","Y1998","Y2003a","Y2003b","Y2015a","Y2017b"
1,100,206,59.200783875,79.320317175,95.9803101,90,104.399036325,121.3021413,100,114.0954984,129.43582785,100,117.3978954,126.88008345,100,102.4317558,100
2,120,182,73.521215325,95.828484375,117.09342585,106,120.4060491,138.471674175,117,133.904221875,151.11356895,120,138.210563925,147.1603734,120,150.8829102,120
3,60,190,37.7858574,56.1347496,75.86036775,55,68.574982725,85.638230775,60,73.590822,86.634063,60,73.20236085,78.9316515,60,70.3580544,60
4,150,211,78.22923084,97.5360636,121.39191414,116,132.2884062,152.79375546,133,150.418593,167.7994002,141.4,164.6614413,176.33878254,150,167.082381,150
5,120,212,59.794315425,79.5967668,100.40991255,96,111.8661759,130.1747085,112,128.77153065,146.267076375,117,137.79135585,147.454684875,120,127.548153,120
6,80,190,48.2287908292683,67.613238,85.1660723414634,70,84.3096613170732,100.088016804878,79,94.4618832439024,110.126369853659,80,94.9287323414634,100.493807707317,80,100.6924752,80
7,30,226,19.0876365,29.0541617419355,40.7723886290323,30,38.9290245967742,50.4245171612903,30,39.5596653387097,47.2669590483871,30,50.1597782419355,54.3868041774194,30,36.2001978,30
8,150,251,79.86232206,101.82192588,124.0752276,114,132.67013166,152.55285228,132,152.99948034,171.68248458,141.4,166.24844622,245.84537664,150,175.9425858,150
9,100,198,51.84085176,70.16403744,90.9923544,83,99.98258256,117.835488,95,114.72576264,131.64697944,100,117.57900456,128.06668296,100,134.6979834,100
10,150,272,68.55954336,90.01870632,111.61821888,107,125.27016264,147.8586672,131,152.36999784,170.91447048,141.4,166.6073376,176.34134592,150,168.7529412,150
11,80,205,55.57015152,73.60289352,90.743652,76,88.32753,100.92997872,79,93.84232392,107.16368256,80,95.00257152,101.48897736,80,109.8897372,80
12,120,223,79.10387064,98.77470336,118.59293952,109,124.10446104,139.83845112,118,137.44887192,154.48658616,120,140.11813224,148.30509528,120,133.5108294,120
13,100,247,62.48342376,81.73153512,98.58970368,86,100.73494368,117.32266656,97,113.78912904,129.71495448,100,118.03997664,126.17727192,100,113.5882764,100
14,80,223,51.5828412,69.85403208,92.187144,74,89.24438376,106.35721776,81,98.20188792,114.53349096,80,97.8913008,102.893346,80,104.9984082,80
15,60,194,41.21762328,57.15450216,79.31548584,58,71.51299344,88.19787024,60,74.41553952,86.2491924,60,73.87304832,78.64238952,60,74.8590588,60
16,30,176,22.83924312,34.01230752,51.05642112,30,39.34101096,50.20966944,30,39.82699872,46.23952104,30,48.19394376,51.73889832,30,55.9505862,30
17,60,166,40.24521144,54.7930656,76.4752608,59,69.7297536,83.99727216,60,75.15888336,86.24613816,60,72.9337968,78.78979296,60,65.104398,60
18,30,184,20.95955838,31.60151226,48.60801144,31,40.73494428,49.9376421,30,39.30305112,47.77409484,30,50.71080114,53.58265938,30,51.3892242,30
