"SampleID","SiteID","PlotID","TreeID","Position","newring","year","RW","EWW","LWW","distToMin","RD","minD","MXD","EWD","LWD","funkring"
"TW-1-146-1","TW","1","1-146","1",36,1955,2.04999999999999,1.82,0.229999999999999,0.5,395.271512195122,300.85,583.83,373.911098901099,564.297391304348,0
"TW-1-146-1","TW","1","1-146","1",37,1956,1.92,1.71,0.210000000000003,0.21,448.657447916667,325.68,721.31,419.562046783626,685.577142857143,0
"TW-1-146-1","TW","1","1-146","1",38,1957,2.51,2.32999999999999,0.180000000000002,0.56,448.596294820717,349.72,715.26,430.494806866953,682.91,0
"TW-1-146-1","TW","1","1-146","1",39,1958,1.93999999999999,1.64,0.299999999999992,0.36,427.202835051546,309.49,639.51,403.136463414634,558.765666666667,0
"TW-1-146-1","TW","1","1-146","1",40,1959,0.779999999999996,0.659999999999991,0.119999999999999,0.51,456.946282051282,385.08,560.55,443.539696969697,530.6825,0
"TW-1-146-1","TW","1","1-146","1",41,1960,1.45999999999999,1.28,0.179999999999988,0.34,383.064726027397,282.75,577.75,360.52703125,543.332777777778,0
"TW-1-146-1","TW","1","1-146","1",42,1961,1.79,1.41000000000001,0.380000000000005,0.24,459.380726256983,306.96,726.25,399.706453900709,680.803684210526,0
"TW-1-146-1","TW","1","1-146","1",43,1962,1.56999999999999,1.45999999999999,0.109999999999994,0.28,429.223312101911,332.24,646.15,416.030342465753,604.33,0
"TW-1-146-1","TW","1","1-146","1",44,1963,1.23,1.1,0.12999999999999,0.2,417.905772357724,306.43,716.71,386.689272727273,682.045384615385,0
"TW-1-146-1","TW","1","1-146","1",45,1964,0.659999999999991,0.460000000000003,0.199999999999998,0.17,494.714545454545,397.5,642.51,474.313913043478,541.636,0
"TW-1-146-1","TW","1","1-146","1",46,1965,1.43,1.24999999999999,0.180000000000002,0.38,432.463846153846,322.15,654.54,404.83816,624.308888888889,0
"TW-1-146-1","TW","1","1-146","1",47,1966,0.839999999999998,0.709999999999989,0.130000000000005,0.19,501.521071428571,340.24,751.09,462.503521126761,714.616923076923,0
"TW-1-146-1","TW","1","1-146","1",48,1967,1.71,1.55000000000001,0.159999999999991,0.43,433.948070175439,308.71,679.52,413.647419354839,630.610625,0
"TW-1-146-1","TW","1","1-146","1",49,1968,3.35999999999999,2.85,0.51,0.54,404.504523809524,291.99,607.98,374.110736842105,574.352156862745,0
"TW-1-146-1","TW","1","1-146","1",50,1969,2.92,2.51999999999999,0.400000000000001,0.16,447.344383561644,310.11,783.64,401.186825396825,738.137,0
"TW-1-146-1","TW","1","1-146","1",51,1970,3.2,2.87999999999999,0.320000000000002,0.67,442.741,315.9,758.77,412.646666666667,713.59,0
"TW-1-146-1","TW","1","1-146","1",52,1971,2.7,2.49999999999999,0.199999999999998,0.75,454.660888888889,334.81,768.44,434.27016,709.545,0
"TW-1-146-1","TW","1","1-146","1",53,1972,2.38,2.15,0.229999999999999,0.53,436.196848739496,336.86,723.1,411.30576744186,668.874347826087,0
"TW-1-146-1","TW","1","1-146","1",54,1973,1.81999999999999,1.48999999999999,0.329999999999993,0.55,486.048681318681,361.52,666.33,457.975302013423,612.804242424242,0
"TW-1-146-1","TW","1","1-146","1",55,1974,2.04,1.83000000000001,0.210000000000003,1.17,469.045098039216,361.16,660.15,451.35868852459,623.169523809524,0
"TW-1-146-1","TW","1","1-146","1",56,1975,2.24999999999999,1.98999999999999,0.26,0.52,438.897688888889,324.71,681.16,413.279296482412,634.976923076923,0
"TW-1-146-1","TW","1","1-146","1",57,1976,1.92,1.65999999999999,0.26,0.53,440.17359375,303.12,674.6,409.339698795181,637.036153846154,0
"TW-1-146-1","TW","1","1-146","1",58,1977,1.10999999999999,0.939999999999993,0.169999999999997,0.55,502.644864864865,402.12,666.87,479.255,631.977058823529,0
"TW-1-146-1","TW","1","1-146","1",59,1978,1.92,1.59999999999999,0.320000000000002,0.49,440.768958333333,326.3,633.97,409.1050625,599.0884375,0
"TW-1-146-1","TW","1","1-146","1",60,1979,2.28000000000001,2.05000000000002,0.229999999999999,0.64,447.079473684211,325.5,734.61,418.557756097561,701.294782608696,0
"TW-1-146-1","TW","1","1-146","1",61,1980,1.49000000000002,1.17,0.320000000000002,0.43,485.469597315436,374.49,658.42,459.984957264957,578.6478125,0
"TW-1-146-1","TW","1","1-146","1",62,1981,1.33999999999998,1.14,0.199999999999998,0.31,457.497835820896,368.03,605.46,436.793245614035,575.514,0
"TW-1-146-1","TW","1","1-146","1",63,1982,1.86999999999999,1.63,0.23999999999999,0.82,501.904438502674,383.89,752.12,471.2,710.43875,0
"TW-1-146-1","TW","1","1-146","1",64,1983,1.83999999999998,1.61999999999999,0.220000000000008,0.59,459.713858695652,312.91,709.12,431.790432098765,665.331818181818,0
"TW-1-146-1","TW","1","1-146","1",65,1984,1.44000000000001,1.22000000000001,0.21999999999998,0.34,525.529583333333,395.74,694.92,501.473278688525,658.932727272727,0
"TW-1-146-1","TW","1","1-146","1",66,1985,1.79,1.71999999999998,0.0700000000000023,0.87,471.478826815642,380.41,650.34,465.783779069767,611.414285714286,0
"TW-1-146-1","TW","1","1-146","1",67,1986,2.05999999999998,1.85,0.209999999999989,0.78,455.87140776699,327.36,705.78,432.195027027027,664.449047619048,0
"TW-1-146-1","TW","1","1-146","1",68,1987,1.71999999999998,1.51,0.209999999999989,0.52,437.616220930233,311.77,658.53,412.867947019868,615.568095238095,0
"TW-1-146-1","TW","1","1-146","1",69,1988,2.14999999999999,1.88,0.269999999999991,0.8,451.364790697674,329.04,659.61,426.695372340426,623.137037037037,0
"TW-1-146-1","TW","1","1-146","1",70,1989,2.48999999999999,2.24999999999998,0.23999999999999,0.48,403.776987951807,277.93,632.58,383.503333333333,593.8425,0
"TW-1-146-1","TW","1","1-146","1",71,1990,2.50000000000001,2.15000000000001,0.350000000000003,0.86,426.02448,337.04,599.71,402.227162790698,572.208,0
"TW-1-146-1","TW","1","1-146","1",72,1991,2.25000000000001,2.04,0.209999999999989,0.44,445.3616,328.78,644.11,427.53362745098,618.547619047619,0
"TW-1-146-1","TW","1","1-146","1",73,1992,1.46000000000002,1.14,0.320000000000002,0.57,478.638356164384,360.79,614.28,451.954561403509,573.699375,0
"TW-1-146-1","TW","1","1-146","1",74,1993,2.14999999999999,1.84000000000001,0.309999999999983,1.1,418.644325581395,304.86,605.88,392.008423913043,576.741290322581,0
"TW-1-146-1","TW","1","1-146","1",75,1994,1.83999999999998,1.58999999999998,0.249999999999981,0.6,438.805543478261,335.7,628.54,415.629622641509,586.2044,0
"TW-1-146-1","TW","1","1-146","1",76,1995,1.88,1.65999999999998,0.220000000000008,0.57,448.881063829787,335.08,635.99,428.143493975904,605.355454545455,0
"TW-1-146-1","TW","1","1-146","1",77,1996,0,0,0,NA,NA,NA,NA,NA,NA,0
