"","PlotID","GSL","BA","QMD","AMD","TPA"
"1",1,100,102.4317558,15.0335611921669,14.9050925925926,83.3333333333333
"2",2,120,150.8829102,13.6093426488489,13.4777777777778,150
"3",3,60,70.3580544,18.7884748078175,18.7638888888889,36.6666666666667
"4",4,150,167.082381,11.3843375509184,11.115873015873,240
"5",5,120,127.548153,12.6595113195026,12.4535714285714,146.666666666667
"6",6,80,100.6924752,14.4602918152139,14.3712962962963,90
"7",7,40,36.2001978,22.0986534474612,22.0833333333333,13.3333333333333
"8",8,150,175.9425858,11.4625535459864,11.2479349415205,250
"9",9,100,134.6979834,14.4193930170986,14.2918181818182,120
"10",10,150,168.7529412,11.4050978885932,11.2492307692308,240
"11",11,80,109.8897372,15.9285586747575,15.8037037037037,80
"12",12,120,133.5108294,14.1442240219536,14.0393939393939,123.333333333333
"13",13,100,113.5882764,13.7431114034587,13.6010317460317,113.333333333333
"14",14,80,104.9984082,16.2417965373377,16.1862433862434,73.3333333333333
"15",15,60,74.8590588,18.5851460547219,18.5277777777778,40
"16",16,40,55.9505862,17.6110605905133,16.5277777777778,36.6666666666667
"17",17,60,65.104398,18.0881603914302,18.05,36.6666666666667
"18",18,40,51.3892242,21.6668299574505,21.65,20
