"","PlotID","BA"
"1",1,102.4317558
"2",2,150.8829102
"3",3,70.3580544
"4",4,167.082381
"5",5,127.548153
"6",6,100.6924752
"7",7,36.2001978
"8",8,175.9425858
"9",9,134.6979834
"10",10,168.7529412
"11",11,109.8897372
"12",12,133.5108294
"13",13,113.5882764
"14",14,104.9984082
"15",15,74.8590588
"16",16,55.9505862
"17",17,65.104398
"18",18,51.3892242
