"SampleID","SiteID","PlotID","TreeID","Position","newring","year","RW","EWW","LWW","distToMin","RD","minD","MXD","EWD","LWD","funkring"
"TW-1-146-1","TW","1","1-146","1",1,1920,3.97,1,2.97,0.97,466.497959697733,392.34,559.43,425.3292,480.359494949495,0
"TW-1-146-1","TW","1","1-146","1",2,1921,1.81,0.0399999999999998,1.77,0,495.92453038674,421.96,563.2,439.335,497.203389830508,0
"TW-1-146-1","TW","1","1-146","1",3,1922,1.92,1.89,0.0300000000000005,1.87,524.44546875,420.08,682.81,525.613492063492,450.86,1
"TW-1-146-1","TW","1","1-146","1",4,1923,1.35,1.32,0.0300000000000014,1.3,420.490592592593,349.1,466.49,421.589621212121,372.133333333333,1
"TW-1-146-1","TW","1","1-146","1",5,1924,1.32,0.0199999999999998,1.3,0,449.109015151515,333.12,585.49,363.51,450.425923076923,0
"TW-1-146-1","TW","1","1-146","1",6,1925,1.42,0.289999999999999,1.13,0.12,451.70823943662,361.97,574.66,385.678965517241,468.653805309735,0
"TW-1-146-1","TW","1","1-146","1",7,1926,1.88,0.28,1.6,0.16,452.688191489362,354.4,566.77,377.344642857143,465.8733125,0
"TW-1-146-1","TW","1","1-146","1",8,1927,1.43,0.25,1.18,0.09,494.48,378.04,697.13,407.6108,512.884491525424,0
"TW-1-146-1","TW","1","1-146","1",9,1928,1.37,0.67,0.7,0.38,461.298321167883,361.79,673.19,402.668059701493,517.415857142857,0
"TW-1-146-1","TW","1","1-146","1",10,1929,3.17,0.909999999999999,2.26,0.41,463.602050473186,383.98,709.23,415.034615384615,483.15796460177,0
"TW-1-146-1","TW","1","1-146","1",11,1930,1.72,0.92,0.799999999999999,0.24,482.424709302326,366.31,707.56,405.900652173913,570.427375,0
"TW-1-146-1","TW","1","1-146","1",12,1931,3.33,0.429999999999998,2.9,0.36,495.633063063063,375.03,708.89,415.040465116279,507.583,0
"TW-1-146-1","TW","1","1-146","1",13,1932,5.17,0.35,4.82,0.13,472.726324951644,390.5,729.07,433.723714285714,475.55846473029,0
"TW-1-146-1","TW","1","1-146","1",14,1933,3.81,0.659999999999999,3.15,0.09,499.003412073491,377.86,800.63,430.587272727273,513.338222222222,0
"TW-1-146-1","TW","1","1-146","1",15,1934,2.78,0.44,2.34000000000001,0.24,526.268201438849,373.94,797.22,419.393636363636,546.364273504273,0
"TW-1-146-1","TW","1","1-146","1",16,1935,3.22,2.64,0.58,2.62,494.038944099379,397.59,709.79,505.444242424242,442.125172413793,1
"TW-1-146-1","TW","1","1-146","1",17,1936,1.64,0.680000000000002,0.960000000000003,0.28,505.295365853659,384.62,739.14,423.586470588235,563.1725,0
"TW-1-146-1","TW","1","1-146","1",18,1937,2.54,0.419999999999997,2.12,0.17,452.640196850394,360.79,632.05,385.49380952381,465.942783018868,0
"TW-1-146-1","TW","1","1-146","1",19,1938,2.83,0.979999999999999,1.85,0.46,440.267950530035,310.37,757.39,350.311836734694,487.920378378378,0
"TW-1-146-1","TW","1","1-146","1",20,1939,2.26,0.790000000000001,1.47,0.36,468.884247787611,341.67,724.9,386.082911392405,513.382925170068,0
"TW-1-146-1","TW","1","1-146","1",21,1940,2.8,0.929999999999995,1.87,0.44,439.401714285714,330.46,783.87,364.870322580645,476.468128342246,0
"TW-1-146-1","TW","1","1-146","1",22,1941,2.54,1.2,1.34,0.14,455.698582677165,352.96,747.21,393.248916666667,511.623656716418,0
"TW-1-146-1","TW","1","1-146","1",23,1942,2.77,2.77,0,2.74,479.712924187726,348.38,730.54,479.712924187726,NA,0
"TW-1-146-1","TW","1","1-146","1",24,1943,1.51,0.639999999999995,0.869999999999999,0.25,428.94880794702,302.16,731.33,343.01828125,492.162068965517,0
"TW-1-146-1","TW","1","1-146","1",25,1944,2.84,0.680000000000002,2.16,0.29,401.14588028169,299.2,666.44,334.904117647059,421.999768518519,0
"TW-1-146-1","TW","1","1-146","1",26,1945,2.04,0.76,1.28,0.17,446.218137254902,339.08,742.43,381.578552631579,484.597890625,0
"TW-1-146-1","TW","1","1-146","1",27,1946,2.81,0.829999999999993,1.98,0.7,449.843558718861,329.31,713.36,368.537831325301,483.926262626263,0
"TW-1-146-1","TW","1","1-146","1",28,1947,2.93,0.529999999999996,2.4,0.29,435.355597269625,321.18,680.95,363.184716981132,451.293333333333,0
"TW-1-146-1","TW","1","1-146","1",29,1948,1.31,0.339999999999998,0.969999999999994,0.19,456.272213740458,325.59,673.84,377.894117647059,483.744948453608,0
"TW-1-146-1","TW","1","1-146","1",30,1949,2.06,0.570000000000002,1.49,0.12,446.410825242718,325.86,661.99,367.016315789474,476.78322147651,0
"TW-1-146-1","TW","1","1-146","1",31,1950,2.07,0.389999999999995,1.68,0.26,486.608695652174,374.94,680.95,409.590769230769,504.487857142857,0
"TW-1-146-1","TW","1","1-146","1",32,1951,0.570000000000002,0.570000000000002,0,0.55,464.91,347.75,609.13,464.91,NA,0
