site,species,stand,stand_old,plot,treatment,tree,dbh_in,ht,hcb,velocity,tree_ba,cr,ba_plot,ba_all,ba_plot_PP,ba
FT,PIPO,4,12,2,120,1,7.2,29.8,11,2.394,0.28273536,0.630872483,130.402413,146.4482628,130.402413,146.4482628
FT,PIPO,4,12,2,120,2,7.9,NA,NA,2.653,0.34038414,NA,130.402413,146.4482628,130.402413,146.4482628
FT,PIPO,4,12,2,120,4,9.6,32.1,12.4,2.663,0.50264064,0.613707165,130.402413,146.4482628,130.402413,146.4482628
FT,PIPO,4,12,2,120,10,8.4,27.6,12.1,2.827,0.38483424,0.561594203,130.402413,146.4482628,130.402413,146.4482628
FT,PIPO,4,12,2,120,3,10.6,37.7,14.8,2.944,0.61281144,0.607427056,130.402413,146.4482628,130.402413,146.4482628
FT,PIPO,4,12,2,120,9,7.3,NA,NA,3.056,0.29064366,NA,130.402413,146.4482628,130.402413,146.4482628
FT,PIPO,4,12,2,120,5,8.3,33.9,11.2,3.286,0.37572606,0.669616519,130.402413,146.4482628,130.402413,146.4482628
FT,PIPO,4,12,2,120,8,23,73.8,20.5,3.502,2.885166,0.722222222,130.402413,146.4482628,130.402413,146.4482628
FT,PIPO,4,12,2,120,6,28,62.2,20.4,3.653,4.275936,0.672025723,130.402413,146.4482628,130.402413,146.4482628
FT,PIPO,4,12,2,120,7,23.8,NA,NA,3.93,3.08936376,NA,130.402413,146.4482628,130.402413,146.4482628
FT,PIPO,4,12,3,120,26,7.2,NA,NA,2.599,0.28273536,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,32,10.5,NA,NA,2.665,0.6013035,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,21,8.7,NA,NA,2.779,0.41281326,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,16,7.2,NA,NA,3.028,0.28273536,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,17,6,NA,NA,3.122,0.196344,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,20,9.1,NA,NA,3.253,0.45164574,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,8,6.2,37.1,19.3,3.32,0.20965176,0.479784367,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,33,7.2,27.6,9.8,3.356,0.28273536,0.644927536,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,27,10.9,NA,NA,3.386,0.64798974,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,31,8.3,NA,NA,3.389,0.37572606,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,23,7,NA,NA,3.4,0.267246,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,14,17.5,NA,NA,3.424,1.6702875,NA,181.1104326,146.4482628,181.1104326,146.4482628
