SampleID,Density
TW-18-111-1,484.7304211
TW-18-111-2,424.0370206
TW-18-111-3,395.422932
TW-18-111-4,407.417027
TW-18-111-4.5,450.9926065
TW-18-111-5,400.5934302
TW-18-111-6,412.049914
TW-18-111-7,400.09578
TW-18-111-8,412.812334
TW-18-117-1,538.6231516
TW-18-117-2,468.4577881
TW-18-117-3,434.6881766
TW-18-117-4,405.8895508
TW-18-117-4.5,495.3995804
TW-18-117-5,418.2322602
TW-18-117-6,421.5719677
TW-18-117-7,425.3376041
TW-18-67-1,435.9715386
TW-18-67-2,410.425687
TW-18-67-3,390.3031909
TW-18-67-4,377.291866
TW-18-67-4.5,406.9051921
TW-18-67-5,409.3832066
TW-18-67-6,414.830419
TW-18-67-7,425.4359655
TW-18-67-8,397.8017542
TW-2-119-1,460.9650374
TW-2-119-2,391.9996259
TW-2-119-3,383.6457784
TW-2-119-4,352.5511529
TW-2-119-4.5,410.5923592
TW-2-119-5,403.7226902
TW-2-119-6,373.6960395
TW-2-119-7,401.7963793
TW-2-211-1,438.3517842
TW-2-211-2,373.3877452
TW-2-211-3,362.8627361
TW-2-211-4,409.5623066
TW-2-211-4.5,376.2413418
TW-2-211-5,390.2837543
TW-2-211-6,385.7710367
TW-2-316-1,442.5644436
TW-2-316-2,389.7178641
TW-2-316-3,391.486783
TW-2-316-4,379.5865493
TW-2-316-4.5,465.9157764
TW-2-316-5,385.8301028
TW-2-316-6,374.5096894
TW-3-152-1,481.8377711
TW-3-152-2,413.069048
TW-3-152-3,417.743897
TW-3-152-4,379.3504317
TW-3-152-4.5,410.3919448
TW-3-152-5,400.1443295
TW-3-152-6,523.0523805
TW-3-152-7,370.7023058
TW-3-192-1,507.1357865
TW-3-192-2,398.7938266
TW-3-192-3,448.1939066
TW-3-192-4,342.5623621
TW-3-192-4.5,421.0860989
TW-3-192-5,366.0480836
TW-3-192-6,409.8049378
TW-3-216-1,425.0751842
TW-3-216-2,405.9838482
TW-3-216-3,379.0164242
TW-3-216-4,388.7913728
TW-3-216-4.5,419.1438759
TW-3-216-5,378.1830406
TW-3-216-6,385.7928923
TW-3-216-7,402.0481367
TW-4-327-1,485.9432206
TW-4-327-2,448.7319166
TW-4-327-3,408.0823952
TW-4-327-4,416.9911383
TW-4-327-4.5,438.6668038
TW-4-434-1,596.1908594
TW-4-434-2,474.2577323
TW-4-434-3,463.9310954
TW-4-434-4,444.7753721
TW-4-434-4.5,510.0192054
TW-4-434-5,452.803569
TW-4-472-1,452.16254
TW-4-472-2,420.5120599
TW-4-472-3,457.4321723
TW-4-472-4,400.1653976
TW-4-472-4.5,435.2390649
TW-4-472-5,449.781488
TW-5-235-1,568.0255251
TW-5-235-2,488.0700974
TW-5-235-3,467.5865064
TW-5-235-4,450.5205086
TW-5-235-4.5,498.9848535
TW-5-235-5,486.7154252
TW-5-235-6,443.6009836
TW-5-366-1,444.8567322
TW-5-366-2,462.4036931
TW-5-366-3,451.9424187
TW-5-366-4,383.0263227
TW-5-366-4.5,438.7214526
TW-5-366-5,422.65471
TW-5-366-6,412.6611935
TW-5-403-1,443.3016398
TW-5-403-2,397.4211344
TW-5-403-3,428.0846072
TW-5-403-4,365.5169744
TW-5-403-4.5,388.469626
TW-6-149-1,455.72732
TW-6-149-2,418.6405988
TW-6-149-3,391.8632898
TW-6-149-4,392.1024041
TW-6-149-4.5,443.199207
TW-6-149-5,399.6592849
TW-6-149-6,408.4265124
TW-6-237-1,458.4264571
TW-6-237-2,425.0113231
TW-6-237-3,428.1927982
TW-6-237-4,415.6661284
TW-6-237-4.5,430.4769531
TW-6-237-5,434.0143881
TW-6-260-1,506.036124
TW-6-260-2,442.6306342
TW-6-260-3,414.5515106
TW-6-260-4,408.7664867
TW-6-260-4.5,481.0957938
TW-6-260-5,428.6087376
TW-6-260-6,443.3014969
TW-6-278-1,490.7239157
TW-6-278-2,450.5684931
TW-6-278-3,416.0110694
TW-6-278-4,412.8446016
TW-6-278-4.5,447.7312787
TW-6-278-5,385.505552
TW-7-122-1,456.4504114
TW-7-122-2,416.4879789
TW-7-122-3,380.1244772
TW-7-122-4,378.239344
TW-7-122-4.5,449.4041138
TW-7-122-5,407.484619
TW-7-122-6,414.4972425
TW-7-122-7,417.4176339
TW-7-122-8,454.5173931
