standtree, Y2002, Y1996,Y1956,Y1951
TW-4-327-2,1,0,0,0
TW-4-327-3,1,1,0,0
TW-4-327-4,1,0,0,0
TW-4-327-45,1,0,0,0
TW-4-434-1,1,0,1,1
TW-4-434-2,1,0,0,1
TW-4-434-3,1,0,0,0
TW-4-434-4,1,0,0,0
TW-4-434-5,1,0,0,0
TW-4-434-45,1,0,0,1
TW-4-472-1,1,0,0,0
TW-4-472-2,0,0,0,0
TW-4-472-3,0,0,0,0
TW-4-472-4,0,0,0,0
TW-4-472-5,0,0,0,0
TW-4-472-45,1,0,0,0
TW-5-235-1,1,0,0,1
TW-5-235-2,1,0,0,1
TW-5-235-3,1,0,0,0
TW-5-235-4,0,0,0,0
TW-5-235-5,1,0,0,0
TW-5-235-6,1,0,0,0
TW-5-235-45,1,0,0,1
TW-5-366-1,1,0,0,0
TW-5-366-2,1,0,0,1
TW-5-366-3,1,0,0,0
TW-5-366-4,1,0,0,0
TW-5-366-5,1,0,0,0
TW-5-366-6,1,0,0,0
TW-5-366-45,1,1,0,0
TW-5-403-1,1,0,0,0
TW-5-403-2,1,0,0,0
TW-5-403-4,1,0,0,0
TW-5-403-45,1,0,0,0
TW-6-237-1,1,0,0,0
TW-6-237-2,1,0,0,0
TW-6-237-3,0,0,0,0
TW-6-237-4,1,0,0,0
TW-6-237-5,0,0,0,0
TW-6-237-45,1,0,0,0
TW-6-260-1,0,0,0,0
TW-6-260-2,1,0,0,0
TW-6-260-3,1,0,0,0
TW-6-260-4,1,0,0,0
TW-6-260-5,1,0,0,0
TW-6-260-6,1,0,0,0
TW-6-260-45,1,0,0,0
TW-6-278-1,1,0,0,0
TW-6-278-2,1,0,0,0
TW-6-278-3,1,0,0,0
TW-6-278-4,1,0,0,0
TW-6-278-5,1,0,0,0
TW-6-278-45,1,0,0,0
TW-7-93-1,0,0,0,0
TW-7-93-2,0,0,0,0
TW-7-93-3,0,0,0,0
TW-7-93-4,0,0,0,0
TW-7-93-5,0,0,0,0
TW-7-93-6,0,0,0,0
TW-7-93-45,0,0,0,0
TW-7-98-1,0,0,0,0
TW-7-98-2,0,0,0,0
TW-7-98-3,0,0,0,0
TW-7-98-4,0,0,0,0
TW-7-98-5,0,0,0,0
TW-7-98-6,0,0,0,0
TW-7-98-7,0,0,0,0
TW-7-98-8,0,0,0,0
TW-7-98-45,0,0,0,0
TW-7-122-1,0,0,0,0
TW-7-122-2,1,0,0,0
TW-7-122-3,1,0,0,0
TW-7-122-4,0,0,0,0
TW-7-122-5,0,0,0,0
TW-7-122-6,0,0,0,0
TW-7-122-7,0,0,0,0
TW-7-122-8,0,0,0,0
TW-7-122-45,1,0,0,0
TW-8-439-1,1,0,0,0
TW-8-439-2,1,0,0,0
TW-8-439-3,1,0,0,0
TW-8-439-4,1,0,0,0
TW-8-439-5,1,0,0,0
TW-8-439-45,1,0,0,0
TW-8-576-1,1,0,0,0
TW-8-576-2,1,0,0,0
TW-8-576-3,1,0,0,0
TW-8-576-4,1,0,0,0
TW-8-576-5,0,0,0,0
TW-8-576-6,0,0,0,0
TW-8-576-45,1,0,0,0
TW-8-657-1,1,0,0,0
TW-8-657-2,1,0,0,0
TW-8-657-3,1,0,0,0
TW-8-657-4,1,0,0,0
TW-8-657-5,1,0,0,0
TW-8-657-6,0,0,0,0
TW-8-657-45,1,0,0,0
TW-9-103-1,0,0,0,0
TW-9-103-2,1,0,0,0
TW-9-103-3,0,0,0,0
TW-9-103-4,0,0,0,0
TW-9-103-5,0,0,0,0
TW-9-103-6,0,0,0,0
TW-9-103-7,0,0,0,0
TW-9-103-45,0,0,0,0
TW-9-228-1,1,1,0,0
TW-9-228-2,0,0,0,0
TW-9-228-3,1,0,0,0
TW-9-228-4,0,0,0,0
TW-9-228-5,0,0,0,0
TW-9-228-6,0,0,0,0
TW-9-228-7,0,0,0,0
TW-9-228-8,0,0,0,0
TW-9-228-45,0,0,0,0
TW-9-317-1,0,0,0,0
