standtree,maxyear
TW-15-76-2,2017
TW-15-76-3,2017
TW-15-76-4,2017
TW-15-76-45,2017
TW-15-76-5,2017
TW-15-76-6,2017
TW-15-76-7,2017
TW-16-34-1,2017
TW-16-34-2,2017
TW-16-34-3,2017
TW-16-34-4,2017
TW-16-34-45,2014
TW-16-34-5,2017
TW-16-34-6,2017
TW-16-34-7,2017
TW-16-34-8,2017
TW-16-44-1,2017
TW-16-44-2,2017
TW-16-44-3,2017
TW-16-44-4,2017
TW-16-44-45,2017
TW-16-44-5,2017
TW-16-44-6,2017
TW-16-44-7,2017
TW-16-44-8,2017
TW-16-44-9,2017
TW-16-55-1,2017
TW-16-55-2,2017
TW-16-55-3,2017
TW-16-55-4,2017
TW-16-55-45,2017
TW-16-55-5,2017
TW-16-55-6,2017
TW-16-55-7,2017
TW-16-55-8,2017
TW-17-117-1,2017
TW-17-117-2,2017
TW-17-117-3,2017
TW-17-117-4,2017
TW-17-117-45,2017
TW-17-117-5,2017
TW-17-117-6,2017
TW-17-117-7,2017
TW-17-117-8,2017
TW-17-163-1,2017
TW-17-163-2,2017
TW-17-163-3,2017
TW-17-163-4,2017
TW-17-163-45,2017
TW-17-163-5,2017
TW-17-163-6,2017
TW-17-163-7,2017
TW-17-19-1,2017
TW-17-19-2,2017
TW-17-19-3,2017
TW-17-19-4,2017
TW-17-19-45,2017
TW-17-19-5,2017
TW-17-19-7,2017
TW-18-111-1,2017
TW-18-111-2,2017
TW-18-111-3,2017
TW-18-111-4,2017
TW-18-111-45,2017
TW-18-111-5,2017
TW-18-111-6,2017
TW-18-111-7,2017
TW-18-111-8,2017
TW-18-117-2,2017
TW-18-117-3,2017
TW-18-117-4,2017
TW-18-117-45,2017
TW-18-117-5,2017
TW-18-117-6,2017
TW-18-117-7,2017
TW-18-67-1,2017
TW-18-67-2,2017
TW-18-67-3,2017
TW-18-67-4,2017
TW-18-67-45,2017
TW-18-67-5,2017
TW-18-67-6,2017
TW-18-67-7,2017
TW-18-67-8,2017
TW-2-119-1,2017
TW-2-119-2,2017
TW-2-119-3,2017
TW-2-119-4,2017
TW-2-119-45,2017
TW-2-119-5,2017
TW-2-119-6,2017
TW-2-119-7,2017
TW-2-211-1,2017
TW-2-211-2,2017
TW-2-211-3,2017
TW-2-211-4,2017
TW-2-211-45,2017
TW-2-211-5,2017
TW-2-211-6,2017
TW-2-316-1,2017
TW-2-316-2,2017
TW-2-316-3,2017
TW-2-316-4,2017
TW-2-316-45,2009
TW-2-316-5,2017
TW-2-316-6,2017
TW-3-152-1,2017
TW-3-152-2,2017
TW-3-152-3,2017
TW-3-152-4,2017
TW-3-152-45,2017
TW-3-152-5,2017
TW-3-152-6,2017
TW-3-192-1,2016
TW-3-192-2,2017
TW-3-192-3,2017
TW-3-192-4,2017
TW-3-192-45,2016
TW-3-192-5,2017
TW-3-192-6,2017
TW-3-216-1,2017
TW-3-216-2,2017
TW-3-216-3,2017
TW-3-216-4,2017
TW-3-216-45,2017
TW-3-216-5,2017
TW-3-216-6,2017
TW-3-216-7,2017
TW-4-327-1,2017
TW-4-327-2,2017
TW-4-327-3,2017
TW-4-327-4,2017
TW-4-327-45,2017
TW-4-434-1,2017
TW-4-434-2,2017
TW-4-434-3,2017
TW-4-434-4,2017
TW-4-434-45,2017
TW-4-434-5,2017
TW-4-472-1,2017
TW-4-472-2,2017
TW-4-472-3,2017
TW-4-472-4,2017
TW-4-472-45,2017
TW-4-472-5,2017
TW-5-235-1,2017
TW-5-235-2,2017
TW-5-235-3,2017
TW-5-235-4,2017
TW-5-235-45,2017
TW-5-235-5,2017
TW-5-235-6,2017
TW-5-366-1,2017
TW-5-366-2,2017
TW-5-366-3,2017
TW-5-366-4,2017
TW-5-366-45,2017
TW-5-366-5,2017
TW-5-366-6,2017
TW-5-403-1,2017
TW-5-403-2,2017
TW-5-403-4,2017
TW-5-403-45,2017
TW-6-237-1,2017
TW-6-237-2,2017
TW-6-237-3,2017
TW-6-237-4,2017
TW-6-237-45,2017
TW-6-237-5,2017
TW-6-260-1,2017
TW-6-260-2,2017
TW-6-260-3,2017
TW-6-260-4,2017
TW-6-260-45,2017
TW-6-260-5,2017
TW-6-260-6,2017
TW-6-278-1,2017
TW-6-278-2,2017
TW-6-278-3,2017
TW-6-278-4,2017
TW-6-278-45,2017
TW-6-278-5,2017
TW-7-122-1,2017
TW-7-122-2,2017
TW-7-122-3,2017
TW-7-122-4,2017
TW-7-122-45,2017
TW-7-122-5,2017
TW-7-122-6,2017
TW-7-122-7,2017
TW-7-122-8,2017
TW-7-93-1,2017
TW-7-93-2,2017
TW-7-93-3,2017
TW-7-93-4,2017
TW-7-93-45,2017
TW-7-93-5,2017
TW-7-93-6,2017
TW-7-98-1,2017
TW-7-98-2,2017
TW-7-98-3,2017
TW-7-98-4,2017
TW-7-98-45,2017
TW-7-98-5,2017
TW-7-98-6,2017
