"STATION","NAME","DATE","DSND","DSNW","EMSD","EMSN","EMXP","PRCP","SNOW"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1950-02",,,,,"0.54","1.37",
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1950-03",,,,,"0.58","0.97",
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1950-04","0","0","0","0.0","0.13","0.24","0.0"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1950-05","1","0","1","0.0","0.34","0.34","0.0"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1950-06","0","0","0","0.0","0.30","0.30","0.0"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1950-07","0","0","0","0.0",,,"0.0"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1950-08","0","0","0","0.0","0.43","1.22","0.0"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1950-10","0","0","0","0.0","0.00","0.00","0.0"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1950-11","0","0","0","0.0","0.42","0.42","0.0"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1950-12","0","0","0","0.0","0.00","0.00","0.0"
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1951-01",,,,,"0.28","0.41",
"USW00023166","FLAGSTAFF WEATHER BUREAU CITY, AZ US","1951-02",,,,,"0.30","1.19",
