"GSL","BA","DBH","DBHsd","TPH","DBHsample","SDsample"
6.89,10.9833333333333,51.02,3.19333333333333,57.6333333333333,54.19,1.13333333333333
13.77,16.0966666666667,46.8566666666667,1.34,93.3333333333333,42.4666666666667,0.783333333333333
18.37,24.15,39.25,1.72,200.433333333333,34.8,1.50666666666667
22.96,26.84,36.2366666666667,2,260.833333333333,31.8433333333333,0.73
27.55,31.5233333333333,33.84,2.03,345.966666666667,30.9566666666667,1.46
34.44,39.1633333333333,28.4566666666667,2.20333333333333,601.333333333333,23.8966666666667,0.793333333333333
