"TestID","SampleID","SiteID","PlotID","TreeID","Blank.Num","Failure","Drop","Quality","Velocity","MOR","MOE","MC","Dens","Ring","RPI","MOEd","Pith.Dist","Tree.Vel","CrownRatio","DBH","BA","GSL","Length","Width","Depth","WeightFullPiece","WeightAfterTest","WeightOD","Max.Load","PPL.Limit","PPL.Distance","Flitch.Max.Ring","Blank.Min.Ring","Blank.Max.Ring","Clear.Adj","HT","CBH","HT.2016","DBH.2016"
251,"TW-10-367-1","TW","10","10-367",1,2,"N",2,4250,65.5380277567298,7.3681968741673,12.2486305079328,0.481853566582778,11,16,8703.48004640142,0.6875,4.13,0.0980059669343718,9.5,168.7529412,150,15.938,1.003,1,126.507,126.429,112.633,454,226,0.145,83,0,22,0.2,42.0180163179,37.9,58.4,9.96062992125984
252,"TW-10-367-2","TW","10","10-367",2,2,"N",1,4937,78.8484851990158,8.56043295002602,12.8940291930102,0.4858319299552,45.5,22.5454545454545,11841.6523999382,2.0625,4.13,0.0980059669343718,9.5,168.7529412,150,15.938,0.991,0.991,125.609,125.528,111.191,530,318,0.1838,83,30,61,0,42.0180163179,37.9,58.4,9.96062992125984
273,"TW-10-391-1","TW","10","10-391",1,5,"N",3,3272,58.5297415981831,4.56542486986044,12.4148341560932,0.617077689378307,10.5,15.2727272727273,6606.42386924112,0.6875,3.78,0.268376068376068,8.6,168.7529412,150,15.938,0.991,0.998,159.987,110.216,98.044,399,214,0.226,88,0,21,0,58.5,42.8,58.5,9.01574803149606
269,"TW-10-391-2","TW","10","10-391",2,2,"N",1,5045,86.4815105967923,7.45809402223737,12.8619705426488,0.51172246218727,46.5,26.9090909090909,13024.372900652,2.0625,3.78,0.268376068376068,8.6,168.7529412,150,15.938,0.999,0.991,133.333,133.255,118.069,586,304,0.2,88,28,65,0,58.5,42.8,58.5,9.01574803149606
155,"TW-11-185-1","TW","11","11-185",1,3,"Y",3,4304,38.0471070069021,2.51073278261118,10.200765399101,0.783911009658843,5.5,8,14521.4936499004,0.6875,3.54,0.418005820100755,12.7,109.8897372,80,15.938,0.994,0.99,198.242,72.565,65.848,256,153.8,0.295,75,0,11,0,50.34414606186,29.3,63.8,13.4251968503937
134,"TW-11-185-2","TW","11","11-185",2,1,"N",2,4951,75.985364455906,5.69125905997224,10.0776678015767,0.516770514687231,26,18.9090909090909,12667.2860809898,2.0625,3.54,0.418005820100755,12.7,109.8897372,80,16,0.999,0.994,132.238,132.233,120.127,518,260,0.216,75,13,39,0,50.34414606186,29.3,63.8,13.4251968503937
131,"TW-11-185-3","TW","11","11-185",3,1,"N",1,4633,90.3518794808752,8.57156794913561,11.1634962636075,0.50163662074495,52,17.4545454545455,10767.4740553013,3.4375,3.54,0.418005820100755,12.7,109.8897372,80,16,0.997,0.991,128.981,128.973,116.021,611,255,0.1438,75,40,64,0,50.34414606186,29.3,63.8,13.4251968503937
146,"TW-11-60-1","TW","11","11-60",1,5,"N",4,3448,37.0821210804963,5.01209399089519,8.18710118505014,0.608381908366589,5,7.27272727272727,7232.8724275255,0.6875,4.09,0.504993463105183,15.3,109.8897372,80,16.031,0.996,0.988,151.922,151.912,140.416,249,218,0.206,91,0,10,0.3,58.98911998854,29.2,63.7,16.3779527559055
145,"TW-11-60-2","TW","11","11-60",2,2,"N",2,4617,99.728783662698,8.97822821934997,8.60192086733642,0.59002504455452,27,21.8181818181818,12577.3803769798,2.0625,4.09,0.504993463105183,15.3,109.8897372,80,16.031,0.991,0.99,147.458,147.451,135.772,669,359,0.19,91,12,42,0.3,58.98911998854,29.2,63.7,16.3779527559055
137,"TW-11-60-3","TW","11","11-60",3,2,"N",1,5218,100.667379750056,10.2262455331672,9.72548772912062,0.549379832887295,55,14.5454545454545,14958.2525850548,3.4375,4.09,0.504993463105183,15.3,109.8897372,80,16.031,0.999,0.988,139.557,139.539,127.171,678,405,0.19,91,45,65,0,58.98911998854,29.2,63.7,16.3779527559055
139,"TW-11-60-4","TW","11","11-60",4,2,"N",2,5163,101.461945402328,9.4609647577323,8.10819370981536,0.547699834613173,77.5,13.8181818181818,14599.7984326546,4.8125,4.09,0.504993463105183,15.3,109.8897372,80,16.031,0.993,0.99,136.533,136.532,126.292,682,376,0.1875,91,68,87,0,58.98911998854,29.2,63.7,16.3779527559055
117,"TW-11-73-1","TW","11","11-73",1,5,"N",3,2820,42.6110724956914,3.60889728603525,9.83112280082755,0.574093664381175,5.5,8,4565.42245662486,0.6875,3.48,0.463265306122449,11.3,109.8897372,80,16.031,0.997,1.001,147.6,68.483,62.353,294,202,0.259,64,0,11,0.3,49,26.3,52.1,11.7716535433071
154,"TW-11-73-2","TW","11","11-73",2,1,"N",1,4812,90.327927828907,8.10466981229724,11.1887539238433,0.475769595580693,29,20.3636363636364,11016.6086504118,2.0625,3.48,0.463265306122449,11.3,109.8897372,80,16.031,0.994,0.991,122.226,122.202,109.905,609,305,0.1825,64,15,43,0.25,49,26.3,52.1,11.7716535433071
156,"TW-12-21-1","TW","12","12-21",1,3,"Y",4,4687,29.3967420496843,1.94206261996081,9.15236034556279,0.565441802518008,4,5.81818181818182,12421.6079890197,0.6875,3.67,0.298231526400454,14.9,133.5108294,120,15.989,0.995,0.995,142.948,69.112,63.317,200,151.2,0.365,87,0,8,0,58.85131856688,41.3,76.9,15.0787401574803
149,"TW-12-21-2","TW","12","12-21",2,1,"N",2,3341,53.5020705304254,3.59151094567711,10.8717171717172,0.427559667901868,18.5,12.3636363636364,4772.54115738734,2.0625,3.67,0.298231526400454,14.9,133.5108294,120,15.989,0.995,0.995,109.792,109.763,99,364,191.2,0.254,87,10,27,0.8,58.85131856688,41.3,76.9,15.0787401574803
150,"TW-12-21-3","TW","12","12-21",3,1,"N",1,4721,76.3875450213703,7.10944443280127,10.9419326680818,0.436318779949797,37.5,13.8181818181818,9724.60359283507,3.4375,3.67,0.298231526400454,14.9,133.5108294,120,16,0.998,0.989,111.849,111.845,100.814,515,275,0.1875,87,28,47,0.25,58.85131856688,41.3,76.9,15.0787401574803
151,"TW-12-21-4","TW","12","12-21",4,2,"N",2,5077,83.7184826594875,8.42337892635247,10.7612704354049,0.471762303295695,61.5,16.7272727272727,12160.1116346263,4.8125,3.67,0.298231526400454,14.9,133.5108294,120,16,0.997,0.99,120.739,120.732,109.002,565,314,0.18,87,50,73,0.1,58.85131856688,41.3,76.9,15.0787401574803
152,"TW-12-238-1","TW","12","12-238",1,3,"Y",4,5305,34.3694712289721,2.42647066582331,10.1326984349287,0.492391501747707,5,7.27272727272727,13857.3863434733,0.6875,3.58,0.152230639087834,11.5,133.5108294,120,16,1.005,0.969,123.63,62.91,57.122,224,126.2,0.264,75,0,10,0,47.0646874488,39.9,62.5,11.9685039370079
164,"TW-12-238-2","TW","12","12-238",2,1,"N",1,4078,71.7883682879667,5.89967418492379,10.7598681430141,0.463163423447618,23,16,7702.44663766145,2.0625,3.58,0.152230639087834,11.5,133.5108294,120,15.938,0.996,0.99,117.959,117.936,106.479,484,249,0.204,75,12,34,0,47.0646874488,39.9,62.5,11.9685039370079
165,"TW-12-238-3","TW","12","12-238",3,2,"N",1,4725,84.1207154465071,8.31007435968289,10.1165286455392,0.501089468563252,48,16,11187.1355665925,3.4375,3.58,0.152230639087834,11.5,133.5108294,120,15.938,0.996,0.989,126.749,126.721,115.079,566,304,0.1762,75,37,59,0,47.0646874488,39.9,62.5,11.9685039370079
147,"TW-12-296-1","TW","12","12-296",1,3,"N",3,5391,42.0927012973184,2.89527821431293,9.44852390229282,0.51001356942895,5,7.27272727272727,14822.4636766988,0.6875,4.07,0.270863102844676,10.9,133.5108294,120,15.989,1.005,1.015,133.209,58.428,53.384,301,188.8,0.286,77,0,10,0,44.98469372208,32.8,65.7,11.2992125984252
148,"TW-12-296-2","TW","12","12-296",2,2,"N",1,5409,115.875305610187,9.93056530275041,10.613151875758,0.547476613123725,28.5,22.5454545454545,16017.6771110891,2.0625,4.07,0.270863102844676,10.9,133.5108294,120,15.938,0.983,0.979,135.903,135.896,122.857,754,434,0.221,77,13,44,0.1,44.98469372208,32.8,65.7,11.2992125984252
