[SAMPLE PARAMETERS]
Time/Date of Scan,          15-Mar-2018   15:01:28
Study ID,                   WQA
Sample ID,                  TW-17-117-8
File Name,                  TW-17-117-8
Species,                    PIPO
Operator,                   DV
Description,                Compression wood
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             20
Step Size,                        1
Sample Length,                85.00
Measured Length,              73.80
Sample Thickness,              2.28
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              553.80
Actual Density,              553.11
Early Wood Maximum Density,  424.85
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  278.68
Pos of EW Min Density,        67.38
Late Wood Maximum Density,   835.47
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.11
Pos of LW Min Density,        16.91
Avg % Late Wood in Sample,    73.28
Zero voltage,                  0.0464
Free air voltage,              7.0596
Mass Absorption Coefficient,   2.777017
Number of scanned data points,   8500
Number of used data points,      7261
[SAMPLE DATA]
    0,   3.110, 320.69, 20,E, 5.7623
    1,   3.120, 343.02, 20,E, 5.6815
    2,   3.130, 336.41, 20,E, 5.7053
    3,   3.140, 335.91, 20,E, 5.7071
    4,   3.150, 349.56, 20,E, 5.6580
    5,   3.160, 354.60, 20,E, 5.6400
    6,   3.170, 340.64, 20,E, 5.6900
    7,   3.180, 356.82, 20,E, 5.6320
    8,   3.190, 356.14, 20,E, 5.6345
    9,   3.200, 341.07, 20,E, 5.6885
   10,   3.210, 340.56, 20,E, 5.6903
   11,   3.220, 362.57, 20,E, 5.6116
   12,   3.230, 366.69, 20,E, 5.5969
   13,   3.240, 375.50, 20,E, 5.5658
   14,   3.250, 374.72, 20,E, 5.5685
   15,   3.260, 382.36, 20,E, 5.5417
   16,   3.270, 360.16, 20,E, 5.6201
   17,   3.280, 369.45, 20,E, 5.5872
