[SAMPLE PARAMETERS]
Time/Date of Scan,          06-Apr-2018   08:18:51
Study ID,                   TW
Sample ID,                  TW-13-176-6
File Name,                  TW-13-176-6
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2016
First Ring Type,                EW
Is pith present,                No
No. pith rings missing,           5
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             43
Step Size,                        1
Sample Length,                60.00
Measured Length,              51.10
Sample Thickness,              2.21
Late Wood Method,           Threshold
Late Wood Threshold,         450.00
Late Wood Deadband,           25.00
Target Density,              447.40
Actual Density,              447.75
Early Wood Maximum Density,  449.91
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  286.55
Pos of EW Min Density,        40.41
Late Wood Maximum Density,   858.52
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   450.00
Pos of LW Min Density,        39.99
Avg % Late Wood in Sample,    34.77
Zero voltage,                  0.0580
Free air voltage,              7.0572
Mass Absorption Coefficient,   2.781876
Number of scanned data points,   6000
Number of used data points,      4785
[SAMPLE DATA]
    0,   5.250, 818.52, 43,L, 4.2618
    1,   5.260, 820.85, 43,L, 4.2557
    2,   5.270, 826.21, 43,L, 4.2416
    3,   5.280, 800.26, 42,L, 4.3100
    4,   5.290, 771.22, 42,L, 4.3878
    5,   5.300, 754.04, 42,L, 4.4345
    6,   5.310, 737.04, 42,L, 4.4812
    7,   5.320, 668.13, 42,L, 4.6756
    8,   5.330, 661.26, 41,L, 4.6954
    9,   5.340, 640.50, 41,L, 4.7559
   10,   5.350, 635.62, 41,L, 4.7702
   11,   5.360, 591.27, 41,L, 4.9023
   12,   5.370, 563.43, 40,L, 4.9872
   13,   5.380, 541.14, 40,L, 5.0562
   14,   5.390, 516.45, 40,L, 5.1337
   15,   5.400, 518.18, 40,L, 5.1282
   16,   5.410, 521.95, 40,L, 5.1163
   17,   5.420, 522.73, 40,L, 5.1138
   18,   5.430, 492.60, 39,L, 5.2097
   19,   5.440, 488.61, 39,L, 5.2225
