[SAMPLE PARAMETERS]
Time/Date of Scan,          26-Mar-2018   12:55:55
Study ID,                   WQA
Sample ID,                  TW-6-260-6
File Name,                  TW-6-260-6
Species,                    PIPO
Operator,                   DV
Description,                North
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             23
Step Size,                        1
Sample Length,                55.00
Measured Length,              42.07
Sample Thickness,              2.27
Late Wood Method,           Threshold
Late Wood Threshold,         450.00
Late Wood Deadband,           25.00
Target Density,              443.30
Actual Density,              451.43
Early Wood Maximum Density,  449.83
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  273.33
Pos of EW Min Density,        23.18
Late Wood Maximum Density,  1353.29
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   450.23
Pos of LW Min Density,        14.13
Avg % Late Wood in Sample,    30.28
Zero voltage,                  0.0348
Free air voltage,              7.0313
Mass Absorption Coefficient,   2.515960
Number of scanned data points,   4824
Number of used data points,      3728
[SAMPLE DATA]
    0,   6.900,1169.24, 23,L, 3.6060
    1,   6.910,1180.98, 23,L, 3.5818
    2,   6.920,1197.02, 23,L, 3.5492
    3,   6.930,1231.38, 23,L, 3.4802
    4,   6.940,1204.26, 23,L, 3.5345
    5,   6.950,1228.00, 23,L, 3.4869
    6,   6.960,1247.26, 23,L, 3.4488
    7,   6.970,1235.53, 23,L, 3.4720
    8,   6.980,1242.00, 23,L, 3.4592
    9,   6.990,1240.15, 23,L, 3.4628
   10,   7.000,1233.37, 23,L, 3.4763
   11,   7.010,1256.12, 23,L, 3.4314
   12,   7.020,1277.11, 23,L, 3.3905
   13,   7.030,1237.22, 23,L, 3.4686
   14,   7.040,1219.44, 23,L, 3.5040
   15,   7.050,1260.95, 23,L, 3.4219
   16,   7.060,1265.64, 23,L, 3.4128
   17,   7.070,1278.53, 23,L, 3.3878
   18,   7.080,1322.77, 23,L, 3.3032
   19,   7.090,1353.29, 23,L, 3.2462
   20,   7.100,1280.74, 23,L, 3.3835
   21,   7.110,1225.40, 23,L, 3.4921
   22,   7.120,1215.18, 23,L, 3.5126
   23,   7.130,1159.34, 23,L, 3.6264
   24,   7.140,1120.14, 23,L, 3.7085
   25,   7.150,1066.37, 23,L, 3.8242
   26,   7.160,1050.37, 22,L, 3.8593
   27,   7.170,1070.00, 22,L, 3.8162
   28,   7.180,1012.84, 22,L, 3.9429
   29,   7.190, 978.35, 22,L, 4.0213
   30,   7.200, 948.44, 22,L, 4.0906
   31,   7.210, 933.10, 22,L, 4.1266
   32,   7.220, 931.16, 22,L, 4.1312
   33,   7.230, 864.29, 22,L, 4.2920
   34,   7.240, 815.30, 22,L, 4.4138
   35,   7.250, 779.00, 22,L, 4.5062
   36,   7.260, 703.34, 22,L, 4.7052
   37,   7.270, 663.49, 22,L, 4.8135
   38,   7.280, 627.88, 22,L, 4.9124
   39,   7.290, 612.07, 22,L, 4.9570
   40,   7.300, 550.02, 22,L, 5.1358
   41,   7.310, 537.47, 22,L, 5.1727
   42,   7.320, 502.70, 22,L, 5.2765
   43,   7.330, 463.15, 22,L, 5.3970
   44,   7.340, 478.56, 22,L, 5.3497
   45,   7.350, 453.08, 22,L, 5.4282
   46,   7.360, 458.60, 22,L, 5.4111
   47,   7.370, 446.30, 22,E, 5.4492
   48,   7.380, 444.73, 22,E, 5.4541
   49,   7.390, 417.71, 22,E, 5.5389
   50,   7.400, 412.70, 22,E, 5.5548
   51,   7.410, 417.51, 22,E, 5.5396
   52,   7.420, 411.73, 22,E, 5.5579
   53,   7.430, 416.84, 22,E, 5.5417
   54,   7.440, 416.93, 22,E, 5.5414
   55,   7.450, 402.53, 22,E, 5.5872
   56,   7.460, 399.09, 22,E, 5.5981
   57,   7.470, 379.73, 22,E, 5.6604
   58,   7.480, 379.35, 22,E, 5.6616
   59,   7.490, 359.36, 22,E, 5.7266
   60,   7.500, 340.80, 22,E, 5.7877
   61,   7.510, 366.18, 22,E, 5.7043
   62,   7.520, 375.01, 22,E, 5.6757
   63,   7.530, 348.38, 22,E, 5.7626
   64,   7.540, 358.80, 22,E, 5.7285
   65,   7.550, 356.84, 22,E, 5.7349
   66,   7.560, 393.75, 22,E, 5.6152
   67,   7.570, 370.12, 22,E, 5.6915
   68,   7.580, 387.39, 22,E, 5.6357
   69,   7.590, 376.05, 22,E, 5.6723
   70,   7.600, 415.78, 22,E, 5.5450
