[SAMPLE PARAMETERS]
Time/Date of Scan,          02-Apr-2018   14:08:50
Study ID,                   TW
Sample ID,                  TW-17-163-45
File Name,                  TW-17-163-45
Species,                    PIPO
Operator,                   DV
Description,                North
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             74
Step Size,                        1
Sample Length,               195.00
Measured Length,             185.78
Sample Thickness,              2.23
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              411.90
Actual Density,              411.89
Early Wood Maximum Density,  424.98
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  229.67
Pos of EW Min Density,       124.24
Late Wood Maximum Density,   818.56
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.07
Pos of LW Min Density,        92.88
Avg % Late Wood in Sample,    34.24
Zero voltage,                  0.0470
Free air voltage,              6.8912
Mass Absorption Coefficient,   3.082830
Number of scanned data points,  19500
Number of used data points,     18278
[SAMPLE DATA]
    0,   3.720, 319.99, 74,E, 5.5276
    1,   3.730, 323.60, 74,E, 5.5139
    2,   3.740, 323.68, 74,E, 5.5136
    3,   3.750, 306.91, 74,E, 5.5777
    4,   3.760, 312.32, 74,E, 5.5569
    5,   3.770, 337.73, 74,E, 5.4605
    6,   3.780, 315.43, 74,E, 5.5450
    7,   3.790, 291.51, 74,E, 5.6372
    8,   3.800, 298.44, 74,E, 5.6104
    9,   3.810, 274.79, 74,E, 5.7025
   10,   3.820, 309.61, 74,E, 5.5673
   11,   3.830, 275.88, 74,E, 5.6982
   12,   3.840, 278.91, 74,E, 5.6863
   13,   3.850, 282.97, 74,E, 5.6705
   14,   3.860, 295.68, 74,E, 5.6210
   15,   3.870, 286.57, 74,E, 5.6564
   16,   3.880, 292.37, 74,E, 5.6339
   17,   3.890, 279.93, 74,E, 5.6824
   18,   3.900, 290.33, 74,E, 5.6418
   19,   3.910, 280.39, 74,E, 5.6805
   20,   3.920, 288.76, 74,E, 5.6479
   21,   3.930, 277.04, 74,E, 5.6937
   22,   3.940, 280.39, 74,E, 5.6805
   23,   3.950, 281.56, 74,E, 5.6760
   24,   3.960, 278.13, 74,E, 5.6894
   25,   3.970, 303.74, 74,E, 5.5899
   26,   3.980, 293.47, 74,E, 5.6296
   27,   3.990, 293.40, 74,E, 5.6299
   28,   4.000, 310.65, 74,E, 5.5634
