[SAMPLE PARAMETERS]
Time/Date of Scan,          01-May-2018   12:54:01
Study ID,                   TW
Sample ID,                  TW-15-76-45
File Name,                  TW-15-76-45
Species,                    PIPO
Operator,                   DV
Description,                Broken near bark
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             88
Step Size,                        1
Sample Length,               175.00
Measured Length,             162.62
Sample Thickness,              2.23
Late Wood Method,           Threshold
Late Wood Threshold,         450.00
Late Wood Deadband,           25.00
Target Density,              430.70
Actual Density,              430.12
Early Wood Maximum Density,  449.96
Pos of EW Max Density,         0.00
Early Wood Minimum Density,   12.28
Pos of EW Min Density,       139.68
Late Wood Maximum Density,   983.33
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   450.06
Pos of LW Min Density,        33.92
Avg % Late Wood in Sample,    27.49
Zero voltage,                  0.0375
Free air voltage,              6.6245
Mass Absorption Coefficient,   2.797431
Number of scanned data points,  17491
Number of used data points,     15930
[SAMPLE DATA]
   93,   8.160, 335.09, 87,E, 5.3723
   94,   8.170, 347.22, 87,E, 5.3317
   95,   8.180, 327.75, 87,E, 5.3970
   96,   8.190, 330.83, 87,E, 5.3867
   97,   8.200, 295.96, 87,E, 5.5054
   98,   8.210, 323.96, 87,E, 5.4099
   99,   8.220, 338.64, 87,E, 5.3604
  100,   8.230, 320.17, 87,E, 5.4227
  101,   8.240, 312.72, 87,E, 5.4480
  102,   8.250, 317.20, 87,E, 5.4327
  103,   8.260, 315.95, 87,E, 5.4370
  104,   8.270, 324.14, 87,E, 5.4092
  105,   8.280, 326.39, 87,E, 5.4016
  106,   8.290, 327.48, 87,E, 5.3979
  107,   8.300, 307.26, 87,E, 5.4666
  108,   8.310, 314.51, 87,E, 5.4419
  109,   8.320, 328.11, 87,E, 5.3958
  110,   8.330, 326.21, 87,E, 5.4022
  111,   8.340, 309.23, 87,E, 5.4599
  112,   8.350, 321.97, 87,E, 5.4166
  113,   8.360, 320.35, 87,E, 5.4221
  114,   8.370, 332.46, 87,E, 5.3812
  115,   8.380, 326.67, 87,E, 5.4007
  116,   8.390, 306.37, 87,E, 5.4697
  117,   8.400, 329.83, 87,E, 5.3900
  118,   8.410, 331.10, 87,E, 5.3857
  119,   8.420, 294.01, 87,E, 5.5121
  120,   8.430, 304.85, 87,E, 5.4749
  121,   8.440, 330.38, 87,E, 5.3882
  122,   8.450, 325.85, 87,E, 5.4034
  123,   8.460, 315.50, 87,E, 5.4385
  124,   8.470, 326.39, 87,E, 5.4016
  125,   8.480, 327.84, 87,E, 5.3967
  126,   8.490, 292.42, 87,E, 5.5176
  127,   8.500, 271.07, 87,E, 5.5917
  128,   8.510, 334.82, 87,E, 5.3732
  129,   8.520, 343.02, 87,E, 5.3458
  130,   8.530, 316.04, 87,E, 5.4367
  131,   8.540, 292.69, 87,E, 5.5167
  132,   8.550, 337.73, 87,E, 5.3635
  133,   8.560, 353.74, 87,E, 5.3101
  134,   8.570, 318.55, 87,E, 5.4282
  135,   8.580, 296.41, 87,E, 5.5038
  136,   8.590, 322.15, 87,E, 5.4160
  137,   8.600, 334.46, 87,E, 5.3745
  138,   8.610, 339.92, 87,E, 5.3561
