"density"	"ring"	"newring"	"mm"	"cutoff"	"newEorL"	"boundary1"	"boundary2"
502.9	1	1	0.519999999999991	554.838	"EW"	0.76	"1.83"
521.22	1	1	0.529999999999982	554.838	"EW"	0.76	"1.83"
518.02	1	1	0.540000000000001	554.838	"EW"	0.76	"1.83"
514.56	1	1	0.549999999999992	554.838	"EW"	0.76	"1.83"
503.64	1	1	0.559999999999983	554.838	"EW"	0.76	"1.83"
521.22	1	1	0.570000000000002	554.838	"EW"	0.76	"1.83"
524.32	1	1	0.579999999999993	554.838	"EW"	0.76	"1.83"
516.9	1	1	0.589999999999984	554.838	"EW"	0.76	"1.83"
508.95	1	1	0.600000000000003	554.838	"EW"	0.76	"1.83"
500.76	1	1	0.609999999999994	554.838	"EW"	0.76	"1.83"
509.7	1	1	0.619999999999985	554.838	"EW"	0.76	"1.83"
523.76	1	1	0.630000000000005	554.838	"EW"	0.76	"1.83"
532.63	1	1	0.639999999999995	554.838	"EW"	0.76	"1.83"
545.27	1	1	0.649999999999986	554.838	"EW"	0.76	"1.83"
529.23	1	1	0.660000000000006	554.838	"EW"	0.76	"1.83"
542.22	1	1	0.669999999999997	554.838	"EW"	0.76	"1.83"
540.7	1	1	0.679999999999988	554.838	"EW"	0.76	"1.83"
543.46	1	1	0.690000000000007	554.838	"EW"	0.76	"1.83"
533.2	1	1	0.699999999999998	554.838	"EW"	0.76	"1.83"
542.7	1	1	0.709999999999989	554.838	"EW"	0.76	"1.83"
540.13	1	1	0.71999999999998	554.838	"EW"	0.76	"1.83"
548.81	1	1	0.729999999999999	554.838	"EW"	0.76	"1.83"
552.26	1	1	0.73999999999999	554.838	"EW"	0.76	"1.83"
531.68	1	1	0.749999999999981	554.838	"EW"	0.76	"1.83"
557.54	1	1	0.76	554.838	"LW"	0.76	"1.83"
567.57	1	1	0.769999999999991	554.838	"LW"	0.76	"1.83"
528.47	1	1	0.779999999999982	554.838	"LW"	0.76	"1.83"
538.42	1	1	0.790000000000001	554.838	"LW"	0.76	"1.83"
540.89	1	1	0.799999999999992	554.838	"LW"	0.76	"1.83"
559.08	1	1	0.809999999999983	554.838	"LW"	0.76	"1.83"
559.46	1	1	0.820000000000002	554.838	"LW"	0.76	"1.83"
543.84	1	1	0.829999999999993	554.838	"LW"	0.76	"1.83"
566.12	1	1	0.839999999999984	554.838	"LW"	0.76	"1.83"
537.28	1	1	0.850000000000003	554.838	"LW"	0.76	"1.83"
545.37	1	1	0.859999999999994	554.838	"LW"	0.76	"1.83"
546.8	1	1	0.869999999999985	554.838	"LW"	0.76	"1.83"
549.1	1	1	0.880000000000005	554.838	"LW"	0.76	"1.83"
551.49	1	1	0.889999999999995	554.838	"LW"	0.76	"1.83"
558.79	1	1	0.899999999999986	554.838	"LW"	0.76	"1.83"
538.13	1	1	0.910000000000006	554.838	"LW"	0.76	"1.83"
538.23	1	1	0.919999999999997	554.838	"LW"	0.76	"1.83"
535.76	1	1	0.929999999999988	554.838	"LW"	0.76	"1.83"
544.22	1	1	0.940000000000007	554.838	"LW"	0.76	"1.83"
534.81	1	1	0.949999999999998	554.838	"LW"	0.76	"1.83"
522.06	1	1	0.959999999999989	554.838	"LW"	0.76	"1.83"
543.84	1	1	0.96999999999998	554.838	"LW"	0.76	"1.83"
555.04	1	1	0.979999999999999	554.838	"LW"	0.76	"1.83"
544.13	1	1	0.98999999999999	554.838	"LW"	0.76	"1.83"
557.06	1	1	0.999999999999981	554.838	"LW"	0.76	"1.83"
535.09	1	1	1.01	554.838	"LW"	0.76	"1.83"
557.92	1	1	1.01999999999999	554.838	"LW"	0.76	"1.83"
574.07	1	1	1.02999999999998	554.838	"LW"	0.76	"1.83"
569.8	1	1	1.04	554.838	"LW"	0.76	"1.83"
563.32	1	1	1.04999999999999	554.838	"LW"	0.76	"1.83"
559.17	1	1	1.05999999999998	554.838	"LW"	0.76	"1.83"
564.67	1	1	1.07	554.838	"LW"	0.76	"1.83"
569.31	1	1	1.07999999999999	554.838	"LW"	0.76	"1.83"
558.5	1	1	1.08999999999998	554.838	"LW"	0.76	"1.83"
553.89	1	1	1.1	554.838	"LW"	0.76	"1.83"
578.15	1	1	1.10999999999999	554.838	"LW"	0.76	"1.83"
574.46	1	1	1.11999999999999	554.838	"LW"	0.76	"1.83"
561.1	1	1	1.13	554.838	"LW"	0.76	"1.83"
570.09	1	1	1.14	554.838	"LW"	0.76	"1.83"
563.99	1	1	1.14999999999999	554.838	"LW"	0.76	"1.83"
564.28	1	1	1.16000000000001	554.838	"LW"	0.76	"1.83"
545.18	1	1	1.17	554.838	"LW"	0.76	"1.83"
551.3	1	1	1.17999999999999	554.838	"LW"	0.76	"1.83"
543.56	1	1	1.19000000000001	554.838	"LW"	0.76	"1.83"
551.3	1	1	1.2	554.838	"LW"	0.76	"1.83"
538.13	1	1	1.20999999999999	554.838	"LW"	0.76	"1.83"
545.56	1	1	1.21999999999998	554.838	"LW"	0.76	"1.83"
555.13	1	1	1.23	554.838	"LW"	0.76	"1.83"
582.54	1	1	1.23999999999999	554.838	"LW"	0.76	"1.83"
554.08	1	1	1.24999999999998	554.838	"LW"	0.76	"1.83"
569.02	1	1	1.26	554.838	"LW"	0.76	"1.83"
565.25	1	1	1.26999999999999	554.838	"LW"	0.76	"1.83"
570.96	1	1	1.27999999999998	554.838	"LW"	0.76	"1.83"
556.77	1	1	1.29	554.838	"LW"	0.76	"1.83"
570.57	1	1	1.29999999999999	554.838	"LW"	0.76	"1.83"
577.96	1	1	1.30999999999998	554.838	"LW"	0.76	"1.83"
585.09	1	1	1.32	554.838	"LW"	0.76	"1.83"
560.23	1	1	1.32999999999999	554.838	"LW"	0.76	"1.83"
565.64	1	1	1.33999999999998	554.838	"LW"	0.76	"1.83"
563.41	1	1	1.35	554.838	"LW"	0.76	"1.83"
575.72	1	1	1.35999999999999	554.838	"LW"	0.76	"1.83"
588.32	1	1	1.36999999999999	554.838	"LW"	0.76	"1.83"
577.67	1	1	1.38	554.838	"LW"	0.76	"1.83"
569.8	1	1	1.39	554.838	"LW"	0.76	"1.83"
559.75	1	1	1.39999999999999	554.838	"LW"	0.76	"1.83"
557.25	1	1	1.41000000000001	554.838	"LW"	0.76	"1.83"
587.93	1	1	1.42	554.838	"LW"	0.76	"1.83"
593.33	1	1	1.42999999999999	554.838	"LW"	0.76	"1.83"
552.06	1	1	1.44000000000001	554.838	"LW"	0.76	"1.83"
574.36	1	1	1.45	554.838	"LW"	0.76	"1.83"
581.18	1	1	1.45999999999999	554.838	"LW"	0.76	"1.83"
556.29	1	1	1.46999999999998	554.838	"LW"	0.76	"1.83"
590.28	1	1	1.48	554.838	"LW"	0.76	"1.83"
559.46	1	1	1.48999999999999	554.838	"LW"	0.76	"1.83"
573.78	1	1	1.49999999999998	554.838	"LW"	0.76	"1.83"
570.67	1	1	1.51	554.838	"LW"	0.76	"1.83"
533.96	1	1	1.51999999999999	554.838	"LW"	0.76	"1.83"
564.19	1	1	1.52999999999998	554.838	"LW"	0.76	"1.83"
554.46	1	1	1.54	554.838	"LW"	0.76	"1.83"
557.63	1	1	1.54999999999999	554.838	"LW"	0.76	"1.83"
572.13	1	1	1.55999999999998	554.838	"LW"	0.76	"1.83"
561.58	1	1	1.57	554.838	"LW"	0.76	"1.83"
549.48	1	1	1.57999999999999	554.838	"LW"	0.76	"1.83"
529.51	1	1	1.58999999999998	554.838	"LW"	0.76	"1.83"
533.39	1	1	1.6	554.838	"LW"	0.76	"1.83"
