[SAMPLE PARAMETERS]
Time/Date of Scan,          28-Feb-2018   16:16:19
Study ID,                   WQA
Sample ID,                  TW-1-44-2
File Name,                  TW-1-44-2
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
  110,   4.450, 406.15, 87,E, 5.6989
  111,   4.460, 408.65, 87,E, 5.6894
  112,   4.470, 399.94, 87,E, 5.7224
  113,   4.480, 376.06, 87,E, 5.8136
  114,   4.490, 388.39, 87,E, 5.7663
  115,   4.500, 386.24, 87,E, 5.7745
  116,   4.510, 370.21, 87,E, 5.8362
  117,   4.520, 362.89, 87,E, 5.8646
  118,   4.530, 370.68, 87,E, 5.8344
  119,   4.540, 392.47, 87,E, 5.7507
  120,   4.550, 341.91, 87,E, 5.9467
  121,   4.560, 362.18, 87,E, 5.8673
  122,   4.570, 367.45, 87,E, 5.8469
  123,   4.580, 362.42, 87,E, 5.8664
  124,   4.590, 369.66, 87,E, 5.8383
  125,   4.600, 368.63, 87,E, 5.8423
  126,   4.610, 358.58, 87,E, 5.8813
  127,   4.620, 357.40, 87,E, 5.8859
  128,   4.630, 370.21, 87,E, 5.8362
  129,   4.640, 366.90, 87,E, 5.8490
  130,   4.650, 350.61, 87,E, 5.9125
  131,   4.660, 356.62, 87,E, 5.8890
  132,   4.670, 316.80, 87,E, 6.0464
  133,   4.680, 345.71, 87,E, 5.9317
  134,   4.690, 331.26, 87,E, 5.9888
  135,   4.700, 349.44, 87,E, 5.9171
  136,   4.710, 348.35, 87,E, 5.9213
  137,   4.720, 338.20, 87,E, 5.9613
  138,   4.730, 328.96, 87,E, 5.9979
  139,   4.740, 342.61, 87,E, 5.9439
  140,   4.750, 363.44, 87,E, 5.8624
  141,   4.760, 336.58, 87,E, 5.9677
  142,   4.770, 335.11, 87,E, 5.9735
  143,   4.780, 357.09, 87,E, 5.8871
  144,   4.790, 353.18, 87,E, 5.9024
  145,   4.800, 316.26, 87,E, 6.0486
  146,   4.810, 307.31, 87,E, 6.0846
  147,   4.820, 342.07, 87,E, 5.9460
  148,   4.830, 353.18, 87,E, 5.9024
  149,   4.840, 346.02, 87,E, 5.9305
  150,   4.850, 315.66, 87,E, 6.0510
  151,   4.860, 303.60, 87,E, 6.0995
  152,   4.870, 333.57, 87,E, 5.9796
  153,   4.880, 379.00, 87,E, 5.8023
  154,   4.890, 340.83, 87,E, 5.9509
  155,   4.900, 306.10, 87,E, 6.0895
  156,   4.910, 298.40, 87,E, 6.1206
  157,   4.920, 349.05, 87,E, 5.9186
  158,   4.930, 382.41, 87,E, 5.7892
  159,   4.940, 310.94, 87,E, 6.0699
  160,   4.950, 276.29, 87,E, 6.2109
  161,   4.960, 289.32, 87,E, 6.1575
