[SAMPLE PARAMETERS]
Time/Date of Scan,          27-Apr-2018   09:08:59
Study ID,                   TW
Sample ID,                  TW-16-44-6
File Name,                  TW-16-44-6
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,                No
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             46
Step Size,                        1
Sample Length,               180.00
Measured Length,             169.80
Sample Thickness,              2.23
Late Wood Method,           Threshold
Late Wood Threshold,         450.00
Late Wood Deadband,           25.00
Target Density,              489.70
Actual Density,              489.93
Early Wood Maximum Density,  450.00
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  252.44
Pos of EW Min Density,        14.73
Late Wood Maximum Density,   945.38
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   450.09
Pos of LW Min Density,        63.20
Avg % Late Wood in Sample,    41.45
Zero voltage,                  0.0528
Free air voltage,              6.8063
Mass Absorption Coefficient,   2.798913
Number of scanned data points,  17317
Number of used data points,     16839
[SAMPLE DATA]
    0,   2.060, 295.92, 46,E, 5.6561
    1,   2.070, 280.38, 46,E, 5.7114
    2,   2.080, 300.67, 46,E, 5.6393
    3,   2.090, 309.87, 46,E, 5.6070
    4,   2.100, 317.28, 46,E, 5.5811
    5,   2.110, 322.97, 46,E, 5.5612
    6,   2.120, 327.54, 46,E, 5.5453
    7,   2.130, 316.58, 46,E, 5.5835
    8,   2.140, 335.56, 46,E, 5.5176
    9,   2.150, 298.51, 46,E, 5.6470
   10,   2.160, 281.07, 46,E, 5.7089
   11,   2.170, 318.77, 46,E, 5.5759
   12,   2.180, 335.39, 46,E, 5.5182
   13,   2.190, 304.39, 46,E, 5.6262
   14,   2.200, 310.56, 46,E, 5.6046
   15,   2.210, 328.51, 46,E, 5.5420
   16,   2.220, 330.27, 46,E, 5.5359
   17,   2.230, 306.56, 46,E, 5.6186
   18,   2.240, 294.63, 46,E, 5.6607
   19,   2.250, 316.93, 46,E, 5.5823
   20,   2.260, 357.91, 46,E, 5.4410
   21,   2.270, 334.68, 46,E, 5.5206
   22,   2.280, 329.30, 46,E, 5.5392
   23,   2.290, 322.27, 46,E, 5.5637
   24,   2.300, 339.81, 46,E, 5.5029
   25,   2.310, 337.87, 46,E, 5.5096
   26,   2.320, 340.79, 46,E, 5.4996
   27,   2.330, 351.83, 46,E, 5.4617
   28,   2.340, 325.25, 46,E, 5.5533
   29,   2.350, 362.40, 46,E, 5.4257
   30,   2.360, 338.57, 46,E, 5.5072
   31,   2.370, 356.93, 46,E, 5.4443
   32,   2.380, 324.73, 46,E, 5.5551
   33,   2.390, 347.55, 46,E, 5.4764
   34,   2.400, 320.08, 46,E, 5.5713
   35,   2.410, 335.83, 46,E, 5.5167
   36,   2.420, 352.72, 46,E, 5.4587
   37,   2.430, 330.62, 46,E, 5.5347
   38,   2.440, 336.36, 46,E, 5.5148
   39,   2.450, 313.18, 46,E, 5.5954
   40,   2.460, 333.71, 46,E, 5.5240
   41,   2.470, 325.60, 46,E, 5.5521
   42,   2.480, 340.35, 46,E, 5.5011
   43,   2.490, 304.05, 46,E, 5.6274
   44,   2.500, 317.28, 46,E, 5.5811
   45,   2.510, 321.04, 46,E, 5.5679
   46,   2.520, 313.18, 46,E, 5.5954
   47,   2.530, 322.53, 46,E, 5.5627
   48,   2.540, 326.84, 46,E, 5.5478
   49,   2.550, 325.78, 46,E, 5.5515
   50,   2.560, 339.28, 46,E, 5.5048
   51,   2.570, 336.01, 46,E, 5.5161
   52,   2.580, 343.01, 46,E, 5.4919
   53,   2.590, 348.35, 46,E, 5.4736
   54,   2.600, 342.21, 46,E, 5.4947
   55,   2.610, 310.04, 46,E, 5.6064
   56,   2.620, 319.64, 46,E, 5.5728
   57,   2.630, 328.07, 46,E, 5.5435
   58,   2.640, 330.00, 46,E, 5.5368
   59,   2.650, 328.59, 46,E, 5.5417
   60,   2.660, 289.38, 46,E, 5.6793
   61,   2.670, 332.12, 46,E, 5.5295
   62,   2.680, 322.53, 46,E, 5.5627
   63,   2.690, 333.89, 46,E, 5.5234
   64,   2.700, 341.85, 46,E, 5.4959
   65,   2.710, 334.15, 46,E, 5.5225
   66,   2.720, 313.96, 46,E, 5.5927
   67,   2.730, 304.57, 46,E, 5.6256
   68,   2.740, 349.69, 46,E, 5.4691
   69,   2.750, 311.52, 46,E, 5.6012
   70,   2.760, 311.78, 46,E, 5.6003
   71,   2.770, 343.63, 46,E, 5.4898
   72,   2.780, 326.31, 46,E, 5.5496
   73,   2.790, 338.22, 46,E, 5.5084
   74,   2.800, 322.53, 46,E, 5.5627
   75,   2.810, 318.94, 46,E, 5.5753
   76,   2.820, 350.04, 46,E, 5.4678
   77,   2.830, 346.30, 46,E, 5.4807
   78,   2.840, 337.07, 46,E, 5.5124
   79,   2.850, 342.48, 46,E, 5.4938
   80,   2.860, 354.06, 46,E, 5.4541
   81,   2.870, 383.58, 46,E, 5.3543
   82,   2.880, 373.95, 46,E, 5.3867
   83,   2.890, 337.07, 46,E, 5.5124
   84,   2.900, 356.48, 46,E, 5.4459
   85,   2.910, 359.89, 46,E, 5.4343
   86,   2.920, 380.76, 46,E, 5.3638
   87,   2.930, 364.11, 46,E, 5.4199
   88,   2.940, 363.30, 46,E, 5.4227
   89,   2.950, 373.86, 46,E, 5.3870
   90,   2.960, 388.78, 46,E, 5.3369
   91,   2.970, 369.70, 46,E, 5.4010
   92,   2.980, 369.07, 46,E, 5.4031
   93,   2.990, 419.33, 46,E, 5.2359
   94,   3.000, 427.08, 45,E, 5.2106
   95,   3.010, 424.93, 45,E, 5.2176
   96,   3.020, 459.91, 45,L, 5.1047
   97,   3.030, 520.18, 45,L, 4.9158
   98,   3.040, 596.20, 45,L, 4.6875
   99,   3.050, 645.87, 45,L, 4.5441
  100,   3.060, 691.28, 45,L, 4.4168
  101,   3.070, 696.26, 45,L, 4.4031
  102,   3.080, 767.75, 45,L, 4.2105
  103,   3.090, 782.76, 45,L, 4.1711
  104,   3.100, 825.43, 45,L, 4.0613
  105,   3.110, 834.11, 45,L, 4.0393
  106,   3.120, 877.07, 45,L, 3.9322
  107,   3.130, 851.35, 45,L, 3.9960
  108,   3.140, 859.55, 45,L, 3.9755
  109,   3.150, 863.23, 45,L, 3.9664
  110,   3.160, 846.47, 45,L, 4.0082
  111,   3.170, 810.73, 45,L, 4.0988
  112,   3.180, 816.69, 45,L, 4.0836
  113,   3.190, 814.18, 45,L, 4.0900
  114,   3.200, 810.25, 45,L, 4.1000
  115,   3.210, 795.80, 45,L, 4.1373
  116,   3.220, 810.85, 45,L, 4.0985
  117,   3.230, 798.51, 45,L, 4.1302
  118,   3.240, 817.88, 45,L, 4.0805
  119,   3.250, 825.91, 45,L, 4.0601
  120,   3.260, 823.03, 45,L, 4.0674
  121,   3.270, 807.99, 45,L, 4.1058
  122,   3.280, 792.15, 45,L, 4.1467
  123,   3.290, 780.08, 45,L, 4.1782
  124,   3.300, 802.77, 45,L, 4.1193
  125,   3.310, 767.86, 45,L, 4.2102
  126,   3.320, 781.48, 45,L, 4.1745
  127,   3.330, 768.10, 45,L, 4.2096
  128,   3.340, 714.09, 45,L, 4.3542
  129,   3.350, 705.82, 45,L, 4.3768
  130,   3.360, 688.08, 45,L, 4.4257
  131,   3.370, 703.37, 45,L, 4.3835
  132,   3.380, 668.36, 45,L, 4.4806
  133,   3.390, 646.09, 45,L, 4.5435
  134,   3.400, 620.84, 45,L, 4.6158
  135,   3.410, 580.04, 45,L, 4.7351
  136,   3.420, 612.41, 45,L, 4.6402
  137,   3.430, 601.41, 45,L, 4.6722
  138,   3.440, 579.53, 45,L, 4.7366
  139,   3.450, 570.28, 45,L, 4.7641
  140,   3.460, 575.41, 45,L, 4.7488
  141,   3.470, 584.27, 45,L, 4.7226
  142,   3.480, 559.47, 45,L, 4.7964
  143,   3.490, 511.67, 45,L, 4.9420
  144,   3.500, 573.56, 45,L, 4.7543
  145,   3.510, 541.26, 45,L, 4.8514
  146,   3.520, 531.84, 45,L, 4.8801
  147,   3.530, 546.60, 45,L, 4.8352
  148,   3.540, 526.15, 45,L, 4.8975
  149,   3.550, 507.63, 45,L, 4.9545
  150,   3.560, 518.20, 45,L, 4.9219
