[SAMPLE PARAMETERS]
Time/Date of Scan,          12-Apr-2018   17:15:24
Study ID,                   TW
Sample ID,                  TW-10-391-45
File Name,                  TW-10-391-45
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             92
Step Size,                        1
Sample Length,                90.00
Measured Length,              78.87
Sample Thickness,              2.22
Late Wood Method,           Threshold
Late Wood Threshold,         450.00
Late Wood Deadband,           25.00
Target Density,              486.50
Actual Density,              486.82
Early Wood Maximum Density,  449.95
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  276.67
Pos of EW Min Density,        51.55
Late Wood Maximum Density,  1146.63
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   450.05
Pos of LW Min Density,        36.95
Avg % Late Wood in Sample,    44.28
Zero voltage,                  0.0406
Free air voltage,              6.6718
Mass Absorption Coefficient,   2.779489
Number of scanned data points,   8472
Number of used data points,      7633
[SAMPLE DATA]
    0,   3.540,1146.63, 92,L, 3.2883
    1,   3.550,1033.50, 92,L, 3.5260
    2,   3.560, 902.21, 92,L, 3.8235
    3,   3.570, 855.54, 92,L, 3.9352
    4,   3.580, 792.20, 92,L, 4.0921
    5,   3.590, 773.57, 92,L, 4.1394
    6,   3.600, 798.13, 91,L, 4.0771
    7,   3.610, 868.29, 91,L, 3.9044
    8,   3.620, 917.28, 91,L, 3.7881
    9,   3.630, 936.59, 91,L, 3.7433
   10,   3.640, 978.75, 91,L, 3.6472
   11,   3.650, 988.82, 91,L, 3.6246
   12,   3.660, 965.78, 91,L, 3.6765
   13,   3.670, 958.67, 91,L, 3.6926
   14,   3.680, 972.26, 91,L, 3.6618
   15,   3.690, 996.89, 91,L, 3.6066
   16,   3.700, 975.09, 91,L, 3.6554
   17,   3.710, 942.15, 91,L, 3.7305
   18,   3.720, 921.99, 91,L, 3.7772
   19,   3.730, 840.91, 91,L, 3.9709
   20,   3.740, 742.80, 91,L, 4.2188
   21,   3.750, 681.38, 91,L, 4.3817
   22,   3.760, 585.51, 91,L, 4.6487
   23,   3.770, 579.88, 91,L, 4.6649
   24,   3.780, 510.26, 91,L, 4.8697
   25,   3.790, 485.26, 91,L, 4.9454
   26,   3.800, 483.26, 91,L, 4.9515
   27,   3.810, 466.37, 91,L, 5.0034
   28,   3.820, 448.87, 91,E, 5.0577
   29,   3.830, 478.48, 91,L, 4.9661
   30,   3.840, 458.98, 91,L, 5.0262
   31,   3.850, 446.43, 91,E, 5.0653
   32,   3.860, 449.07, 91,E, 5.0571
   33,   3.870, 426.15, 91,E, 5.1291
   34,   3.880, 414.24, 91,E, 5.1669
   35,   3.890, 411.46, 91,E, 5.1758
   36,   3.900, 409.65, 91,E, 5.1816
   37,   3.910, 406.41, 91,E, 5.1920
   38,   3.920, 385.30, 91,E, 5.2600
   39,   3.930, 399.85, 91,E, 5.2130
   40,   3.940, 374.81, 91,E, 5.2942
   41,   3.950, 381.73, 91,E, 5.2716
   42,   3.960, 383.14, 91,E, 5.2670
   43,   3.970, 362.34, 91,E, 5.3351
   44,   3.980, 362.71, 91,E, 5.3339
   45,   3.990, 326.58, 91,E, 5.4541
   46,   4.000, 361.78, 91,E, 5.3369
   47,   4.010, 371.91, 91,E, 5.3036
   48,   4.020, 334.12, 91,E, 5.4288
   49,   4.030, 330.85, 91,E, 5.4398
   50,   4.040, 382.02, 91,E, 5.2707
   51,   4.050, 381.83, 91,E, 5.2713
   52,   4.060, 336.40, 91,E, 5.4211
   53,   4.070, 348.95, 91,E, 5.3793
   54,   4.080, 375.46, 91,E, 5.2921
   55,   4.090, 406.98, 91,E, 5.1901
   56,   4.100, 408.70, 91,E, 5.1846
   57,   4.110, 492.28, 91,L, 4.9240
   58,   4.120, 637.40, 90,L, 4.5023
   59,   4.130, 761.91, 90,L, 4.1693
   60,   4.140, 857.05, 90,L, 3.9316
   61,   4.150, 919.37, 90,L, 3.7833
   62,   4.160, 933.82, 90,L, 3.7497
   63,   4.170, 916.63, 90,L, 3.7897
   64,   4.180, 895.62, 90,L, 3.8391
   65,   4.190, 875.65, 90,L, 3.8867
   66,   4.200, 833.95, 90,L, 3.9880
   67,   4.210, 754.45, 90,L, 4.1885
   68,   4.220, 723.46, 90,L, 4.2694
   69,   4.230, 654.40, 90,L, 4.4553
   70,   4.240, 602.08, 90,L, 4.6014
   71,   4.250, 561.22, 90,L, 4.7189
   72,   4.260, 536.47, 90,L, 4.7916
   73,   4.270, 514.53, 90,L, 4.8569
   74,   4.280, 526.28, 90,L, 4.8218
   75,   4.290, 500.33, 90,L, 4.8996
   76,   4.300, 498.22, 90,L, 4.9060
   77,   4.310, 486.46, 90,L, 4.9417
   78,   4.320, 466.37, 90,L, 5.0034
   79,   4.330, 476.49, 90,L, 4.9722
   80,   4.340, 467.06, 90,L, 5.0012
   81,   4.350, 458.78, 90,L, 5.0269
   82,   4.360, 434.56, 90,E, 5.1025
   83,   4.370, 450.14, 90,L, 5.0537
   84,   4.380, 405.36, 90,E, 5.1953
   85,   4.390, 399.47, 90,E, 5.2142
   86,   4.400, 426.05, 90,E, 5.1294
   87,   4.410, 399.85, 90,E, 5.2130
   88,   4.420, 356.51, 90,E, 5.3543
   89,   4.430, 406.22, 90,E, 5.1926
   90,   4.440, 390.01, 90,E, 5.2448
   91,   4.450, 375.74, 90,E, 5.2911
   92,   4.460, 360.02, 90,E, 5.3427
   93,   4.470, 373.87, 90,E, 5.2972
   94,   4.480, 362.80, 90,E, 5.3336
   95,   4.490, 335.86, 90,E, 5.4230
   96,   4.500, 348.03, 90,E, 5.3824
   97,   4.510, 352.54, 90,E, 5.3674
   98,   4.520, 332.48, 90,E, 5.4343
   99,   4.530, 326.04, 90,E, 5.4559
  100,   4.540, 333.85, 90,E, 5.4297
  101,   4.550, 345.37, 90,E, 5.3912
  102,   4.560, 358.17, 90,E, 5.3488
  103,   4.570, 347.11, 90,E, 5.3854
  104,   4.580, 323.50, 90,E, 5.4645
  105,   4.590, 328.76, 90,E, 5.4468
  106,   4.600, 290.00, 90,E, 5.5786
  107,   4.610, 309.44, 90,E, 5.5121
  108,   4.620, 343.63, 90,E, 5.3970
  109,   4.630, 304.51, 90,E, 5.5289
  110,   4.640, 310.25, 90,E, 5.5093
  111,   4.650, 324.95, 90,E, 5.4596
  112,   4.660, 323.86, 90,E, 5.4633
  113,   4.670, 326.22, 90,E, 5.4553
  114,   4.680, 310.88, 90,E, 5.5072
  115,   4.690, 335.49, 90,E, 5.4242
  116,   4.700, 328.48, 90,E, 5.4477
  117,   4.710, 314.74, 90,E, 5.4941
  118,   4.720, 316.46, 90,E, 5.4883
  119,   4.730, 281.95, 90,E, 5.6064
  120,   4.740, 313.21, 90,E, 5.4993
  121,   4.750, 318.44, 90,E, 5.4816
  122,   4.760, 315.01, 90,E, 5.4932
  123,   4.770, 295.95, 90,E, 5.5582
  124,   4.780, 300.94, 90,E, 5.5411
  125,   4.790, 286.01, 90,E, 5.5923
  126,   4.800, 313.75, 90,E, 5.4974
  127,   4.810, 300.40, 90,E, 5.5429
  128,   4.820, 319.70, 90,E, 5.4773
  129,   4.830, 294.97, 90,E, 5.5615
  130,   4.840, 288.67, 90,E, 5.5832
  131,   4.850, 320.97, 90,E, 5.4730
  132,   4.860, 316.64, 90,E, 5.4877
  133,   4.870, 300.94, 90,E, 5.5411
  134,   4.880, 305.86, 90,E, 5.5243
  135,   4.890, 287.43, 90,E, 5.5875
  136,   4.900, 307.47, 90,E, 5.5188
  137,   4.910, 307.11, 90,E, 5.5200
  138,   4.920, 326.76, 90,E, 5.4535
  139,   4.930, 430.59, 90,E, 5.1151
  140,   4.940, 561.96, 89,L, 4.7168
  141,   4.950, 708.58, 89,L, 4.3088
  142,   4.960, 835.93, 89,L, 3.9832
  143,   4.970, 907.52, 89,L, 3.8110
  144,   4.980, 936.06, 89,L, 3.7445
  145,   4.990, 929.34, 89,L, 3.7601
  146,   5.000, 928.42, 89,L, 3.7622
  147,   5.010, 922.25, 89,L, 3.7766
  148,   5.020, 909.86, 89,L, 3.8055
  149,   5.030, 889.58, 89,L, 3.8535
  150,   5.040, 887.53, 89,L, 3.8583
  151,   5.050, 836.43, 89,L, 3.9819
  152,   5.060, 797.28, 89,L, 4.0793
  153,   5.070, 789.18, 89,L, 4.0997
  154,   5.080, 769.40, 89,L, 4.1501
  155,   5.090, 801.90, 89,L, 4.0677
  156,   5.100, 820.85, 89,L, 4.0204
  157,   5.110, 870.32, 89,L, 3.8995
  158,   5.120, 918.85, 89,L, 3.7845
  159,   5.130, 936.59, 89,L, 3.7433
  160,   5.140, 948.26, 89,L, 3.7164
  161,   5.150, 924.22, 89,L, 3.7720
  162,   5.160, 910.64, 89,L, 3.8037
  163,   5.170, 815.33, 89,L, 4.0341
  164,   5.180, 725.66, 89,L, 4.2636
  165,   5.190, 651.19, 89,L, 4.4641
  166,   5.200, 609.41, 89,L, 4.5807
  167,   5.210, 590.62, 89,L, 4.6341
  168,   5.220, 553.07, 89,L, 4.7427
  169,   5.230, 541.02, 89,L, 4.7781
  170,   5.240, 518.20, 89,L, 4.8459
  171,   5.250, 488.57, 89,L, 4.9353
  172,   5.260, 486.86, 89,L, 4.9405
  173,   5.270, 491.98, 89,L, 4.9249
  174,   5.280, 490.37, 89,L, 4.9298
  175,   5.290, 488.77, 89,L, 4.9347
  176,   5.300, 467.95, 89,L, 4.9985
  177,   5.310, 470.33, 89,L, 4.9911
  178,   5.320, 442.33, 89,E, 5.0781
  179,   5.330, 440.48, 89,E, 5.0839
  180,   5.340, 405.07, 89,E, 5.1962
  181,   5.350, 443.70, 89,E, 5.0739
  182,   5.360, 402.03, 89,E, 5.2060
  183,   5.370, 414.43, 89,E, 5.1663
  184,   5.380, 408.12, 89,E, 5.1865
  185,   5.390, 410.22, 89,E, 5.1797
  186,   5.400, 397.38, 89,E, 5.2209
  187,   5.410, 399.18, 89,E, 5.2151
  188,   5.420, 387.56, 89,E, 5.2527
  189,   5.430, 417.30, 89,E, 5.1572
  190,   5.440, 467.76, 89,L, 4.9991
  191,   5.450, 560.70, 88,L, 4.7205
  192,   5.460, 700.11, 88,L, 4.3314
  193,   5.470, 801.78, 88,L, 4.0680
  194,   5.480, 883.82, 88,L, 3.8672
  195,   5.490, 890.35, 88,L, 3.8516
  196,   5.500, 856.05, 88,L, 3.9340
  197,   5.510, 820.98, 88,L, 4.0201
  198,   5.520, 815.45, 88,L, 4.0338
  199,   5.530, 820.36, 88,L, 4.0216
  200,   5.540, 821.35, 88,L, 4.0192
  201,   5.550, 801.78, 88,L, 4.0680
  202,   5.560, 790.39, 88,L, 4.0967
  203,   5.570, 834.81, 88,L, 3.9859
  204,   5.580, 891.12, 88,L, 3.8498
  205,   5.590, 890.99, 88,L, 3.8501
  206,   5.600, 885.22, 88,L, 3.8638
  207,   5.610, 822.21, 88,L, 4.0170
  208,   5.620, 713.64, 88,L, 4.2953
  209,   5.630, 676.20, 88,L, 4.3958
  210,   5.640, 585.51, 88,L, 4.6487
  211,   5.650, 528.03, 88,L, 4.8166
  212,   5.660, 520.85, 88,L, 4.8380
  213,   5.670, 479.67, 88,L, 4.9625
  214,   5.680, 491.98, 88,L, 4.9249
  215,   5.690, 463.61, 88,L, 5.0119
  216,   5.700, 454.26, 88,L, 5.0409
  217,   5.710, 454.06, 88,L, 5.0415
  218,   5.720, 438.05, 88,E, 5.0916
  219,   5.730, 402.79, 88,E, 5.2036
  220,   5.740, 382.95, 88,E, 5.2676
  221,   5.750, 408.41, 88,E, 5.1855
  222,   5.760, 429.82, 88,E, 5.1175
  223,   5.770, 509.75, 87,L, 4.8712
  224,   5.780, 648.53, 87,L, 4.4714
  225,   5.790, 711.34, 87,L, 4.3015
  226,   5.800, 780.76, 87,L, 4.1211
  227,   5.810, 836.43, 87,L, 3.9819
  228,   5.820, 890.86, 87,L, 3.8504
  229,   5.830, 896.27, 87,L, 3.8376
  230,   5.840, 889.97, 87,L, 3.8525
  231,   5.850, 947.99, 87,L, 3.7170
  232,   5.860, 948.52, 87,L, 3.7158
  233,   5.870, 935.14, 87,L, 3.7466
  234,   5.880, 946.13, 87,L, 3.7213
  235,   5.890, 967.27, 87,L, 3.6731
  236,   5.900, 925.66, 87,L, 3.7686
  237,   5.910, 863.99, 87,L, 3.9148
  238,   5.920, 821.71, 87,L, 4.0182
  239,   5.930, 736.72, 87,L, 4.2346
  240,   5.940, 685.45, 87,L, 4.3707
  241,   5.950, 621.33, 87,L, 4.5471
  242,   5.960, 583.17, 87,L, 4.6555
  243,   5.970, 552.65, 87,L, 4.7440
  244,   5.980, 540.50, 87,L, 4.7797
  245,   5.990, 481.57, 87,L, 4.9567
  246,   6.000, 498.92, 87,L, 4.9039
  247,   6.010, 473.60, 87,L, 4.9811
  248,   6.020, 462.92, 86,L, 5.0140
  249,   6.030, 445.45, 86,E, 5.0684
  250,   6.040, 466.87, 86,L, 5.0018
  251,   6.050, 479.67, 86,L, 4.9625
  252,   6.060, 492.08, 86,L, 4.9246
  253,   6.070, 512.70, 86,L, 4.8624
  254,   6.080, 577.97, 86,L, 4.6704
  255,   6.090, 656.62, 86,L, 4.4492
  256,   6.100, 696.80, 86,L, 4.3402
  257,   6.110, 769.04, 86,L, 4.1510
  258,   6.120, 809.94, 86,L, 4.0475
  259,   6.130, 879.22, 86,L, 3.8782
  260,   6.140, 962.83, 86,L, 3.6832
  261,   6.150, 953.59, 86,L, 3.7042
  262,   6.160, 939.50, 86,L, 3.7366
  263,   6.170, 874.25, 86,L, 3.8901
  264,   6.180, 830.60, 86,L, 3.9963
  265,   6.190, 790.87, 86,L, 4.0955
  266,   6.200, 727.98, 86,L, 4.2575
  267,   6.210, 708.58, 86,L, 4.3088
  268,   6.220, 693.73, 86,L, 4.3484
  269,   6.230, 635.31, 86,L, 4.5081
  270,   6.240, 625.25, 86,L, 4.5361
  271,   6.250, 585.72, 86,L, 4.6481
  272,   6.260, 572.79, 86,L, 4.6854
  273,   6.270, 574.38, 86,L, 4.6808
  274,   6.280, 538.22, 86,L, 4.7864
  275,   6.290, 551.40, 86,L, 4.7476
  276,   6.300, 551.92, 86,L, 4.7461
  277,   6.310, 524.23, 86,L, 4.8279
  278,   6.320, 498.42, 86,L, 4.9054
  279,   6.330, 505.59, 86,L, 4.8837
  280,   6.340, 471.92, 86,L, 4.9863
  281,   6.350, 461.04, 86,L, 5.0198
  282,   6.360, 455.04, 86,L, 5.0385
  283,   6.370, 429.14, 86,E, 5.1196
  284,   6.380, 418.45, 86,E, 5.1535
  285,   6.390, 442.33, 86,E, 5.0781
  286,   6.400, 406.88, 86,E, 5.1904
  287,   6.410, 378.36, 86,E, 5.2826
  288,   6.420, 390.20, 86,E, 5.2441
  289,   6.430, 411.75, 86,E, 5.1749
  290,   6.440, 420.66, 86,E, 5.1465
  291,   6.450, 379.76, 86,E, 5.2780
  292,   6.460, 366.51, 86,E, 5.3214
  293,   6.470, 365.58, 86,E, 5.3244
  294,   6.480, 391.43, 86,E, 5.2402
  295,   6.490, 358.45, 86,E, 5.3479
  296,   6.500, 394.92, 86,E, 5.2289
  297,   6.510, 419.70, 86,E, 5.1495
  298,   6.520, 415.77, 86,E, 5.1620
  299,   6.530, 453.57, 86,L, 5.0430
  300,   6.540, 493.08, 85,L, 4.9216
  301,   6.550, 490.57, 85,L, 4.9292
  302,   6.560, 559.76, 85,L, 4.7232
  303,   6.570, 639.71, 85,L, 4.4958
  304,   6.580, 719.87, 85,L, 4.2789
  305,   6.590, 836.43, 85,L, 3.9819
  306,   6.600, 899.11, 85,L, 3.8309
  307,   6.610, 884.20, 85,L, 3.8663
  308,   6.620, 908.69, 85,L, 3.8083
  309,   6.630, 915.32, 85,L, 3.7927
  310,   6.640, 885.48, 85,L, 3.8632
  311,   6.650, 864.49, 85,L, 3.9136
  312,   6.660, 845.77, 85,L, 3.9590
  313,   6.670, 852.15, 85,L, 3.9435
  314,   6.680, 855.67, 85,L, 3.9349
  315,   6.690, 854.16, 85,L, 3.9386
  316,   6.700, 858.19, 85,L, 3.9288
  317,   6.710, 836.80, 85,L, 3.9810
  318,   6.720, 852.91, 85,L, 3.9417
  319,   6.730, 802.38, 85,L, 4.0665
  320,   6.740, 818.03, 85,L, 4.0274
