[SAMPLE PARAMETERS]
Time/Date of Scan,          03-Apr-2018   11:04:11
Study ID,                   TW
Sample ID,                  TW-7-98-5
File Name,                  TW-7-98-5
Species,                    PIPO
Operator,                   DV
Description,                North. Grooves
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             30
Step Size,                        1
Sample Length,               125.00
Measured Length,             110.30
Sample Thickness,              2.23
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              443.30
Actual Density,              442.89
Early Wood Maximum Density,  424.92
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  230.93
Pos of EW Min Density,        98.58
Late Wood Maximum Density,   852.26
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.01
Pos of LW Min Density,        34.19
Avg % Late Wood in Sample,    42.30
Zero voltage,                  0.0439
Free air voltage,              6.8805
Mass Absorption Coefficient,   2.939364
Number of scanned data points,  11502
Number of used data points,     10402
[SAMPLE DATA]
    0,   7.010, 387.22, 31,E, 5.3381
    1,   7.020, 406.35, 31,E, 5.2716
    2,   7.030, 407.94, 31,E, 5.2661
    3,   7.040, 407.24, 31,E, 5.2686
    4,   7.050, 387.39, 31,E, 5.3375
    5,   7.060, 387.31, 31,E, 5.3378
    6,   7.070, 393.60, 31,E, 5.3159
    7,   7.080, 425.37, 31,L, 5.2063
    8,   7.090, 414.85, 31,E, 5.2423
    9,   7.100, 436.59, 31,L, 5.1682
   10,   7.110, 446.71, 31,L, 5.1340
   11,   7.120, 452.89, 31,L, 5.1132
   12,   7.130, 460.83, 31,L, 5.0867
   13,   7.140, 439.11, 31,L, 5.1596
   14,   7.150, 408.47, 31,E, 5.2643
   15,   7.160, 428.59, 31,L, 5.1953
   16,   7.170, 401.41, 31,E, 5.2887
   17,   7.180, 388.96, 31,E, 5.3320
   18,   7.190, 363.51, 31,E, 5.4218
   19,   7.200, 377.22, 31,E, 5.3732
   20,   7.210, 367.20, 31,E, 5.4086
   21,   7.220, 374.71, 31,E, 5.3821
   22,   7.230, 357.51, 31,E, 5.4431
   23,   7.240, 350.25, 31,E, 5.4691
   24,   7.250, 380.95, 31,E, 5.3601
   25,   7.260, 354.94, 31,E, 5.4523
   26,   7.270, 352.04, 31,E, 5.4626
   27,   7.280, 363.51, 31,E, 5.4218
   28,   7.290, 367.38, 31,E, 5.4080
   29,   7.300, 376.53, 31,E, 5.3757
   30,   7.310, 347.11, 31,E, 5.4803
   31,   7.320, 369.79, 31,E, 5.3995
   32,   7.330, 351.96, 31,E, 5.4630
   33,   7.340, 369.36, 31,E, 5.4010
   34,   7.350, 349.83, 31,E, 5.4706
   35,   7.360, 369.36, 31,E, 5.4010
   36,   7.370, 339.06, 31,E, 5.5093
   37,   7.380, 353.07, 31,E, 5.4590
   38,   7.390, 370.22, 31,E, 5.3979
   39,   7.400, 354.94, 31,E, 5.4523
   40,   7.410, 354.69, 31,E, 5.4532
   41,   7.420, 344.48, 31,E, 5.4898
   42,   7.430, 345.83, 31,E, 5.4849
   43,   7.440, 364.88, 31,E, 5.4169
   44,   7.450, 366.26, 31,E, 5.4120
   45,   7.460, 350.68, 31,E, 5.4675
   46,   7.470, 363.25, 31,E, 5.4227
   47,   7.480, 369.19, 31,E, 5.4016
   48,   7.490, 342.78, 31,E, 5.4959
   49,   7.500, 360.16, 31,E, 5.4337
   50,   7.510, 372.81, 31,E, 5.3888
   51,   7.520, 380.52, 31,E, 5.3616
   52,   7.530, 360.76, 31,E, 5.4315
   53,   7.540, 359.48, 31,E, 5.4361
   54,   7.550, 342.87, 31,E, 5.4956
   55,   7.560, 364.88, 31,E, 5.4169
   56,   7.570, 371.17, 31,E, 5.3946
   57,   7.580, 359.13, 31,E, 5.4373
   58,   7.590, 383.30, 31,E, 5.3519
   59,   7.600, 367.55, 31,E, 5.4074
   60,   7.610, 372.64, 31,E, 5.3894
   61,   7.620, 352.04, 31,E, 5.4626
   62,   7.630, 368.84, 31,E, 5.4028
   63,   7.640, 347.11, 31,E, 5.4803
   64,   7.650, 394.56, 31,E, 5.3125
   65,   7.660, 373.07, 31,E, 5.3879
   66,   7.670, 364.02, 31,E, 5.4199
   67,   7.680, 371.00, 31,E, 5.3952
   68,   7.690, 376.44, 31,E, 5.3760
   69,   7.700, 394.13, 31,E, 5.3140
   70,   7.710, 389.40, 31,E, 5.3305
   71,   7.720, 356.05, 31,E, 5.4483
   72,   7.730, 373.33, 31,E, 5.3870
   73,   7.740, 367.29, 31,E, 5.4083
   74,   7.750, 375.06, 31,E, 5.3809
   75,   7.760, 360.59, 31,E, 5.4321
   76,   7.770, 379.65, 31,E, 5.3647
   77,   7.780, 399.04, 31,E, 5.2969
   78,   7.790, 382.78, 31,E, 5.3537
