[SAMPLE PARAMETERS]
Time/Date of Scan,          09-Apr-2018   14:24:49
Study ID,                   TW
Sample ID,                  TW-9-103-5
File Name,                  TW-9-103-5
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             45
Step Size,                        1
Sample Length,               125.00
Measured Length,             115.52
Sample Thickness,              2.23
Late Wood Method,           Threshold
Late Wood Threshold,         430.00
Late Wood Deadband,           25.00
Target Density,              436.80
Actual Density,              436.89
Early Wood Maximum Density,  430.00
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  272.39
Pos of EW Min Density,        92.05
Late Wood Maximum Density,   901.66
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   430.10
Pos of LW Min Density,        57.91
Avg % Late Wood in Sample,    32.63
Zero voltage,                  0.0391
Free air voltage,              6.7490
Mass Absorption Coefficient,   2.709537
Number of scanned data points,  12056
Number of used data points,     11026
[SAMPLE DATA]
    0,   4.670, 516.71, 45,L, 4.9356
    1,   4.680, 493.09, 45,L, 5.0067
    2,   4.690, 461.89, 45,L, 5.1022
    3,   4.700, 443.23, 45,L, 5.1602
    4,   4.710, 470.90, 45,L, 5.0745
    5,   4.720, 480.36, 45,L, 5.0455
    6,   4.730, 475.77, 45,L, 5.0595
    7,   4.740, 482.66, 45,L, 5.0385
    8,   4.750, 491.59, 45,L, 5.0113
    9,   4.760, 478.66, 45,L, 5.0507
   10,   4.770, 457.65, 45,L, 5.1154
   11,   4.780, 494.40, 45,L, 5.0027
   12,   4.790, 480.06, 45,L, 5.0464
   13,   4.800, 500.05, 45,L, 4.9857
   14,   4.810, 525.93, 45,L, 4.9081
   15,   4.820, 521.21, 45,L, 4.9222
   16,   4.830, 494.40, 45,L, 5.0027
   17,   4.840, 475.57, 45,L, 5.0601
   18,   4.850, 501.77, 45,L, 4.9805
   19,   4.860, 500.96, 45,L, 4.9829
   20,   4.870, 427.09, 45,E, 5.2109
   21,   4.880, 412.65, 45,E, 5.2567
   22,   4.890, 428.35, 45,E, 5.2069
   23,   4.900, 459.03, 45,L, 5.1111
   24,   4.910, 471.59, 45,L, 5.0723
   25,   4.920, 434.95, 45,L, 5.1862
   26,   4.930, 387.35, 45,E, 5.3378
   27,   4.940, 355.83, 45,E, 5.4407
   28,   4.950, 407.20, 45,E, 5.2740
   29,   4.960, 456.56, 45,L, 5.1187
   30,   4.970, 394.44, 45,E, 5.3149
   31,   4.980, 341.81, 45,E, 5.4871
   32,   4.990, 348.26, 45,E, 5.4657
   33,   5.000, 393.30, 45,E, 5.3186
   34,   5.010, 382.16, 45,E, 5.3546
   35,   5.020, 361.03, 45,E, 5.4236
   36,   5.030, 352.78, 45,E, 5.4507
   37,   5.040, 364.28, 45,E, 5.4129
   38,   5.050, 396.34, 45,E, 5.3088
   39,   5.060, 414.95, 45,E, 5.2493
   40,   5.070, 411.12, 45,E, 5.2615
   41,   5.080, 429.51, 45,E, 5.2032
   42,   5.090, 390.18, 45,E, 5.3287
   43,   5.100, 423.42, 45,E, 5.2225
   44,   5.110, 461.49, 44,L, 5.1035
   45,   5.120, 462.08, 44,L, 5.1016
   46,   5.130, 487.77, 44,L, 5.0229
   47,   5.140, 517.23, 44,L, 4.9341
   48,   5.150, 504.61, 44,L, 4.9719
   49,   5.160, 474.78, 44,L, 5.0626
   50,   5.170, 548.78, 44,L, 4.8407
   51,   5.180, 554.51, 44,L, 4.8239
   52,   5.190, 563.63, 44,L, 4.7974
   53,   5.200, 573.85, 44,L, 4.7678
   54,   5.210, 659.20, 44,L, 4.5276
   55,   5.220, 721.47, 44,L, 4.3600
   56,   5.230, 763.25, 44,L, 4.2511
   57,   5.240, 763.84, 44,L, 4.2496
   58,   5.250, 749.09, 44,L, 4.2877
   59,   5.260, 722.74, 44,L, 4.3567
   60,   5.270, 716.27, 44,L, 4.3738
   61,   5.280, 691.80, 44,L, 4.4391
   62,   5.290, 676.32, 44,L, 4.4809
   63,   5.300, 670.82, 44,L, 4.4958
   64,   5.310, 646.56, 44,L, 4.5624
   65,   5.320, 639.18, 44,L, 4.5828
   66,   5.330, 616.14, 44,L, 4.6472
   67,   5.340, 606.73, 44,L, 4.6738
   68,   5.350, 587.86, 44,L, 4.7275
   69,   5.360, 617.76, 44,L, 4.6426
   70,   5.370, 637.75, 44,L, 4.5868
   71,   5.380, 659.53, 44,L, 4.5267
