[SAMPLE PARAMETERS]
Time/Date of Scan,          12-Apr-2018   16:58:38
Study ID,                   TW
Sample ID,                  TW-10-391-6
File Name,                  TW-10-391-6
Species,                    PIPO
Operator,                   DV
Description,                Branch near pith, can't tell where pith is
First Ring Year,               2017
First Ring Type,                EW
Is pith present,                No
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             25
Step Size,                        1
Sample Length,                75.00
Measured Length,              62.11
Sample Thickness,              2.21
Late Wood Method,           Threshold
Late Wood Threshold,         400.00
Late Wood Deadband,           25.00
Target Density,              428.40
Actual Density,              429.79
Early Wood Maximum Density,  399.94
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  215.14
Pos of EW Min Density,        27.49
Late Wood Maximum Density,   853.35
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   400.03
Pos of LW Min Density,        13.17
Avg % Late Wood in Sample,    43.08
Zero voltage,                  0.0476
Free air voltage,              6.6586
Mass Absorption Coefficient,   3.375190
Number of scanned data points,   6600
Number of used data points,      5272
[SAMPLE DATA]
    0,   4.160, 845.94, 25,L, 3.5428
    1,   4.170, 853.35, 25,L, 3.5233
    2,   4.180, 837.54, 25,L, 3.5651
    3,   4.190, 842.82, 25,L, 3.5510
    4,   4.200, 837.31, 25,L, 3.5657
    5,   4.210, 820.43, 25,L, 3.6108
    6,   4.220, 802.42, 25,L, 3.6597
    7,   4.230, 807.46, 25,L, 3.6459
    8,   4.240, 800.86, 25,L, 3.6639
    9,   4.250, 773.67, 24,L, 3.7390
   10,   4.260, 788.30, 24,L, 3.6984
   11,   4.270, 776.08, 24,L, 3.7323
   12,   4.280, 798.29, 24,L, 3.6710
   13,   4.290, 761.69, 24,L, 3.7726
   14,   4.300, 753.79, 24,L, 3.7949
   15,   4.310, 751.42, 24,L, 3.8016
   16,   4.320, 718.05, 24,L, 3.8974
   17,   4.330, 722.57, 24,L, 3.8843
   18,   4.340, 704.05, 24,L, 3.9383
   19,   4.350, 673.96, 24,L, 4.0277
   20,   4.360, 676.80, 24,L, 4.0192
   21,   4.370, 669.39, 24,L, 4.0414
   22,   4.380, 654.39, 24,L, 4.0869
   23,   4.390, 654.99, 24,L, 4.0851
   24,   4.400, 626.85, 24,L, 4.1718
   25,   4.410, 619.03, 24,L, 4.1962
   26,   4.420, 594.49, 24,L, 4.2737
   27,   4.430, 588.76, 24,L, 4.2920
   28,   4.440, 566.91, 24,L, 4.3625
   29,   4.450, 577.37, 24,L, 4.3286
   30,   4.460, 579.92, 24,L, 4.3204
   31,   4.470, 574.06, 24,L, 4.3393
   32,   4.480, 576.14, 24,L, 4.3326
   33,   4.490, 560.46, 24,L, 4.3835
   34,   4.500, 546.81, 24,L, 4.4284
   35,   4.510, 576.70, 24,L, 4.3307
   36,   4.520, 578.03, 24,L, 4.3265
   37,   4.530, 570.30, 24,L, 4.3515
   38,   4.540, 584.00, 24,L, 4.3073
   39,   4.550, 582.19, 24,L, 4.3130
   40,   4.560, 554.50, 24,L, 4.4031
   41,   4.570, 539.81, 24,L, 4.4516
   42,   4.580, 532.38, 24,L, 4.4763
   43,   4.590, 528.09, 24,L, 4.4907
   44,   4.600, 520.73, 24,L, 4.5154
   45,   4.610, 511.52, 24,L, 4.5465
   46,   4.620, 524.09, 24,L, 4.5041
   47,   4.630, 503.63, 24,L, 4.5734
   48,   4.640, 496.40, 24,L, 4.5981
   49,   4.650, 473.03, 24,L, 4.6790
   50,   4.660, 470.49, 24,L, 4.6878
   51,   4.670, 481.71, 24,L, 4.6487
   52,   4.680, 437.39, 24,L, 4.8050
   53,   4.690, 445.68, 24,L, 4.7754
   54,   4.700, 430.51, 24,L, 4.8297
   55,   4.710, 438.67, 24,L, 4.8004
   56,   4.720, 417.28, 24,L, 4.8776
   57,   4.730, 420.55, 24,L, 4.8657
   58,   4.740, 414.43, 24,L, 4.8880
   59,   4.750, 405.50, 24,L, 4.9207
   60,   4.760, 420.05, 24,L, 4.8676
   61,   4.770, 412.26, 24,L, 4.8959
   62,   4.780, 398.70, 24,E, 4.9457
   63,   4.790, 403.84, 24,L, 4.9268
   64,   4.800, 386.52, 24,E, 4.9908
   65,   4.810, 412.51, 24,L, 4.8950
   66,   4.820, 402.27, 24,L, 4.9326
   67,   4.830, 388.65, 24,E, 4.9829
   68,   4.840, 380.87, 24,E, 5.0119
   69,   4.850, 405.25, 24,L, 4.9216
   70,   4.860, 385.86, 24,E, 4.9933
   71,   4.870, 394.08, 24,E, 4.9628
   72,   4.880, 396.80, 24,E, 4.9527
   73,   4.890, 391.69, 24,E, 4.9716
   74,   4.900, 394.00, 24,E, 4.9631
   75,   4.910, 382.83, 24,E, 5.0046
   76,   4.920, 379.32, 24,E, 5.0177
   77,   4.930, 384.63, 24,E, 4.9979
   78,   4.940, 363.11, 24,E, 5.0787
   79,   4.950, 373.06, 24,E, 5.0412
   80,   4.960, 378.26, 24,E, 5.0217
   81,   4.970, 373.06, 24,E, 5.0412
   82,   4.980, 381.69, 24,E, 5.0089
   83,   4.990, 367.55, 24,E, 5.0620
   84,   5.000, 376.15, 24,E, 5.0296
   85,   5.010, 365.61, 24,E, 5.0693
   86,   5.020, 377.61, 24,E, 5.0241
   87,   5.030, 356.84, 24,E, 5.1025
   88,   5.040, 358.93, 24,E, 5.0946
   89,   5.050, 378.26, 24,E, 5.0217
   90,   5.060, 364.24, 24,E, 5.0745
   91,   5.070, 356.12, 24,E, 5.1053
   92,   5.080, 357.40, 24,E, 5.1004
   93,   5.090, 359.73, 24,E, 5.0916
   94,   5.100, 345.35, 24,E, 5.1465
