[SAMPLE PARAMETERS]
Time/Date of Scan,          17-Apr-2018   16:30:48
Study ID,                   TW
Sample ID,                  TW-12-296-6
File Name,                  TW-12-296-6
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             40
Step Size,                        1
Sample Length,                90.00
Measured Length,              79.91
Sample Thickness,              2.25
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              407.60
Actual Density,              406.81
Early Wood Maximum Density,  424.92
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  236.05
Pos of EW Min Density,        63.02
Late Wood Maximum Density,   791.80
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.02
Pos of LW Min Density,        32.31
Avg % Late Wood in Sample,    29.12
Zero voltage,                  0.0391
Free air voltage,              6.6809
Mass Absorption Coefficient,   2.804620
Number of scanned data points,   8248
Number of used data points,      7290
[SAMPLE DATA]
    0,   5.220, 464.83, 40,L, 4.9792
    1,   5.230, 454.10, 40,L, 5.0131
    2,   5.240, 476.99, 40,L, 4.9411
    3,   5.250, 469.10, 40,L, 4.9658
    4,   5.260, 467.06, 40,L, 4.9722
    5,   5.270, 429.09, 40,L, 5.0931
    6,   5.280, 441.74, 40,L, 5.0525
    7,   5.290, 433.73, 40,L, 5.0781
    8,   5.300, 422.00, 40,E, 5.1160
    9,   5.310, 432.21, 40,L, 5.0830
   10,   5.320, 426.72, 40,L, 5.1007
   11,   5.330, 401.19, 40,E, 5.1837
   12,   5.340, 402.22, 40,E, 5.1804
   13,   5.350, 408.75, 40,E, 5.1590
   14,   5.360, 414.75, 40,E, 5.1395
   15,   5.370, 415.22, 40,E, 5.1379
   16,   5.380, 426.43, 40,L, 5.1016
   17,   5.390, 439.83, 40,L, 5.0586
   18,   5.400, 435.16, 39,L, 5.0735
   19,   5.410, 442.02, 39,L, 5.0516
   20,   5.420, 455.74, 39,L, 5.0079
   21,   5.430, 468.03, 39,L, 4.9692
   22,   5.440, 499.41, 39,L, 4.8715
   23,   5.450, 507.15, 39,L, 4.8477
   24,   5.460, 537.40, 39,L, 4.7559
   25,   5.470, 538.01, 39,L, 4.7540
   26,   5.480, 569.48, 39,L, 4.6603
   27,   5.490, 587.71, 39,L, 4.6069
   28,   5.500, 602.65, 39,L, 4.5636
   29,   5.510, 636.42, 39,L, 4.4672
   30,   5.520, 654.13, 39,L, 4.4174
   31,   5.530, 671.70, 39,L, 4.3686
   32,   5.540, 678.34, 39,L, 4.3503
   33,   5.550, 687.69, 39,L, 4.3246
   34,   5.560, 658.72, 39,L, 4.4046
   35,   5.570, 683.79, 39,L, 4.3353
   36,   5.580, 690.26, 39,L, 4.3176
   37,   5.590, 677.24, 39,L, 4.3533
   38,   5.600, 661.57, 39,L, 4.3967
   39,   5.610, 637.83, 39,L, 4.4632
   40,   5.620, 626.41, 39,L, 4.4955
   41,   5.630, 617.85, 39,L, 4.5200
   42,   5.640, 618.38, 39,L, 4.5184
   43,   5.650, 609.33, 39,L, 4.5444
   44,   5.660, 558.24, 39,L, 4.6936
   45,   5.670, 550.55, 39,L, 4.7165
   46,   5.680, 521.96, 39,L, 4.8026
   47,   5.690, 515.84, 39,L, 4.8212
   48,   5.700, 513.94, 39,L, 4.8270
   49,   5.710, 494.37, 39,L, 4.8871
   50,   5.720, 457.28, 39,L, 5.0031
   51,   5.730, 442.31, 39,L, 5.0507
   52,   5.740, 455.65, 39,L, 5.0082
   53,   5.750, 413.25, 39,E, 5.1443
   54,   5.760, 441.35, 39,L, 5.0537
   55,   5.770, 449.40, 39,L, 5.0281
   56,   5.780, 416.06, 39,E, 5.1352
   57,   5.790, 413.15, 39,E, 5.1447
   58,   5.800, 418.23, 39,E, 5.1282
   59,   5.810, 388.40, 39,E, 5.2258
   60,   5.820, 402.96, 39,E, 5.1779
