[SAMPLE PARAMETERS]
Time/Date of Scan,          17-Apr-2018   13:17:46
Study ID,                   TW
Sample ID,                  TW-11-60-6
File Name,                  TW-11-60-6
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             43
Step Size,                        1
Sample Length,               130.00
Measured Length,             118.05
Sample Thickness,              2.27
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              402.70
Actual Density,              401.28
Early Wood Maximum Density,  424.96
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  253.46
Pos of EW Min Density,        65.50
Late Wood Maximum Density,   874.20
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.06
Pos of LW Min Density,        38.92
Avg % Late Wood in Sample,    22.80
Zero voltage,                  0.0415
Free air voltage,              6.6733
Mass Absorption Coefficient,   2.729468
Number of scanned data points,  12174
Number of used data points,     11496
[SAMPLE DATA]
    0,   4.210, 286.62, 43,E, 5.5875
    1,   4.220, 316.69, 43,E, 5.4843
    2,   4.230, 255.80, 43,E, 5.6952
    3,   4.240, 308.90, 43,E, 5.5109
    4,   4.250, 307.92, 43,E, 5.5142
    5,   4.260, 299.36, 43,E, 5.5435
    6,   4.270, 290.68, 43,E, 5.5734
    7,   4.280, 312.57, 43,E, 5.4984
    8,   4.290, 290.50, 43,E, 5.5740
    9,   4.300, 309.52, 43,E, 5.5087
   10,   4.310, 298.39, 43,E, 5.5469
   11,   4.320, 310.24, 43,E, 5.5063
   12,   4.330, 319.03, 43,E, 5.4764
   13,   4.340, 295.10, 43,E, 5.5582
   14,   4.350, 309.52, 43,E, 5.5087
   15,   4.360, 274.24, 43,E, 5.6305
   16,   4.370, 308.00, 43,E, 5.5139
   17,   4.380, 291.56, 43,E, 5.5704
   18,   4.390, 281.34, 43,E, 5.6058
   19,   4.400, 292.18, 43,E, 5.5682
   20,   4.410, 273.62, 43,E, 5.6326
   21,   4.420, 285.83, 43,E, 5.5902
   22,   4.430, 285.91, 43,E, 5.5899
   23,   4.440, 279.06, 43,E, 5.6137
   24,   4.450, 296.34, 43,E, 5.5539
   25,   4.460, 262.82, 43,E, 5.6705
   26,   4.470, 277.13, 43,E, 5.6204
   27,   4.480, 280.02, 43,E, 5.6104
   28,   4.490, 282.48, 43,E, 5.6018
   29,   4.500, 288.56, 43,E, 5.5807
   30,   4.510, 286.62, 43,E, 5.5875
   31,   4.520, 280.02, 43,E, 5.6104
   32,   4.530, 267.08, 43,E, 5.6555
   33,   4.540, 282.13, 43,E, 5.6030
   34,   4.550, 290.59, 43,E, 5.5737
   35,   4.560, 292.45, 43,E, 5.5673
   36,   4.570, 302.83, 43,E, 5.5316
   37,   4.580, 292.36, 43,E, 5.5676
   38,   4.590, 317.86, 43,E, 5.4803
   39,   4.600, 293.77, 43,E, 5.5627
   40,   4.610, 285.03, 43,E, 5.5930
   41,   4.620, 320.11, 43,E, 5.4727
   42,   4.630, 295.28, 43,E, 5.5576
   43,   4.640, 323.89, 43,E, 5.4599
   44,   4.650, 318.04, 43,E, 5.4797
   45,   4.660, 331.13, 43,E, 5.4355
   46,   4.670, 313.19, 43,E, 5.4962
   47,   4.680, 312.66, 43,E, 5.4980
   48,   4.690, 330.49, 43,E, 5.4376
   49,   4.700, 307.74, 43,E, 5.5148
   50,   4.710, 330.04, 43,E, 5.4391
   51,   4.720, 356.70, 43,E, 5.3500
   52,   4.730, 342.22, 43,E, 5.3983
   53,   4.740, 332.94, 43,E, 5.4294
   54,   4.750, 325.34, 43,E, 5.4550
   55,   4.760, 336.30, 43,E, 5.4181
   56,   4.770, 338.21, 43,E, 5.4117
   57,   4.780, 349.35, 43,E, 5.3745
   58,   4.790, 358.73, 43,E, 5.3433
   59,   4.800, 340.67, 43,E, 5.4034
   60,   4.810, 314.54, 43,E, 5.4916
   61,   4.820, 336.48, 43,E, 5.4175
   62,   4.830, 326.87, 43,E, 5.4498
   63,   4.840, 340.85, 43,E, 5.4028
   64,   4.850, 318.67, 43,E, 5.4776
   65,   4.860, 334.12, 43,E, 5.4254
   66,   4.870, 313.10, 43,E, 5.4965
   67,   4.880, 325.88, 43,E, 5.4532
   68,   4.890, 320.56, 43,E, 5.4712
   69,   4.900, 323.89, 43,E, 5.4599
   70,   4.910, 329.59, 43,E, 5.4407
   71,   4.920, 288.65, 43,E, 5.5804
   72,   4.930, 290.77, 43,E, 5.5731
   73,   4.940, 321.91, 43,E, 5.4666
   74,   4.950, 333.03, 43,E, 5.4291
   75,   4.960, 326.33, 43,E, 5.4517
   76,   4.970, 324.80, 43,E, 5.4568
   77,   4.980, 308.45, 43,E, 5.5124
   78,   4.990, 305.33, 43,E, 5.5231
   79,   5.000, 323.98, 43,E, 5.4596
   80,   5.010, 322.63, 43,E, 5.4642
   81,   5.020, 329.68, 43,E, 5.4404
   82,   5.030, 329.50, 43,E, 5.4410
   83,   5.040, 347.06, 43,E, 5.3821
   84,   5.050, 309.17, 43,E, 5.5099
   85,   5.060, 303.46, 43,E, 5.5295
   86,   5.070, 349.26, 43,E, 5.3748
   87,   5.080, 331.40, 43,E, 5.4346
   88,   5.090, 338.67, 43,E, 5.4102
   89,   5.100, 321.73, 43,E, 5.4672
   90,   5.110, 333.48, 43,E, 5.4276
   91,   5.120, 331.49, 43,E, 5.4343
   92,   5.130, 307.47, 43,E, 5.5157
   93,   5.140, 327.51, 43,E, 5.4477
   94,   5.150, 317.86, 43,E, 5.4803
   95,   5.160, 308.81, 43,E, 5.5112
   96,   5.170, 335.48, 43,E, 5.4208
   97,   5.180, 320.20, 43,E, 5.4724
   98,   5.190, 336.30, 43,E, 5.4181
   99,   5.200, 345.87, 43,E, 5.3860
  100,   5.210, 322.18, 43,E, 5.4657
  101,   5.220, 325.16, 43,E, 5.4556
  102,   5.230, 325.70, 43,E, 5.4538
  103,   5.240, 295.37, 43,E, 5.5573
  104,   5.250, 329.22, 43,E, 5.4419
  105,   5.260, 343.50, 43,E, 5.3940
  106,   5.270, 342.68, 43,E, 5.3967
  107,   5.280, 347.89, 43,E, 5.3793
  108,   5.290, 332.12, 43,E, 5.4321
  109,   5.300, 335.30, 43,E, 5.4214
  110,   5.310, 358.45, 43,E, 5.3442
  111,   5.320, 357.81, 43,E, 5.3464
  112,   5.330, 345.14, 43,E, 5.3885
  113,   5.340, 351.83, 43,E, 5.3662
  114,   5.350, 345.05, 43,E, 5.3888
  115,   5.360, 363.16, 43,E, 5.3287
  116,   5.370, 371.13, 43,E, 5.3024
  117,   5.380, 376.34, 43,E, 5.2853
  118,   5.390, 391.79, 43,E, 5.2350
  119,   5.400, 404.92, 42,E, 5.1926
  120,   5.410, 430.06, 42,L, 5.1123
  121,   5.420, 470.55, 42,L, 4.9857
  122,   5.430, 471.24, 42,L, 4.9835
  123,   5.440, 472.92, 42,L, 4.9783
  124,   5.450, 494.23, 42,L, 4.9130
  125,   5.460, 525.10, 42,L, 4.8199
  126,   5.470, 542.78, 42,L, 4.7675
  127,   5.480, 556.58, 42,L, 4.7269
  128,   5.490, 579.88, 42,L, 4.6591
  129,   5.500, 600.95, 42,L, 4.5987
  130,   5.510, 619.69, 42,L, 4.5456
  131,   5.520, 675.58, 42,L, 4.3909
  132,   5.530, 669.87, 42,L, 4.4064
  133,   5.540, 697.83, 42,L, 4.3307
  134,   5.550, 698.18, 42,L, 4.3298
  135,   5.560, 692.95, 42,L, 4.3439
  136,   5.570, 706.04, 42,L, 4.3088
  137,   5.580, 742.81, 42,L, 4.2117
  138,   5.590, 748.79, 42,L, 4.1962
  139,   5.600, 737.21, 42,L, 4.2264
  140,   5.610, 759.15, 42,L, 4.1693
  141,   5.620, 765.42, 42,L, 4.1531
  142,   5.630, 761.75, 42,L, 4.1626
  143,   5.640, 754.67, 42,L, 4.1809
  144,   5.650, 771.36, 42,L, 4.1379
  145,   5.660, 782.59, 42,L, 4.1092
  146,   5.670, 772.20, 42,L, 4.1357
  147,   5.680, 777.56, 42,L, 4.1220
  148,   5.690, 748.43, 42,L, 4.1971
  149,   5.700, 739.54, 42,L, 4.2203
  150,   5.710, 738.14, 42,L, 4.2239
  151,   5.720, 751.02, 42,L, 4.1904
  152,   5.730, 733.60, 42,L, 4.2358
  153,   5.740, 693.63, 42,L, 4.3420
  154,   5.750, 697.38, 42,L, 4.3320
  155,   5.760, 707.65, 42,L, 4.3045
  156,   5.770, 674.01, 42,L, 4.3951
  157,   5.780, 659.40, 42,L, 4.4351
  158,   5.790, 667.53, 42,L, 4.4128
  159,   5.800, 664.63, 42,L, 4.4208
  160,   5.810, 647.23, 42,L, 4.4687
  161,   5.820, 640.30, 42,L, 4.4879
  162,   5.830, 638.22, 42,L, 4.4937
  163,   5.840, 620.67, 42,L, 4.5428
  164,   5.850, 618.82, 42,L, 4.5480
  165,   5.860, 588.36, 42,L, 4.6347
  166,   5.870, 600.62, 42,L, 4.5996
  167,   5.880, 575.65, 42,L, 4.6713
  168,   5.890, 577.24, 42,L, 4.6667
  169,   5.900, 554.29, 42,L, 4.7336
  170,   5.910, 560.44, 42,L, 4.7156
  171,   5.920, 572.91, 42,L, 4.6793
  172,   5.930, 582.20, 42,L, 4.6524
  173,   5.940, 556.99, 42,L, 4.7256
  174,   5.950, 553.56, 42,L, 4.7357
  175,   5.960, 556.99, 42,L, 4.7256
  176,   5.970, 578.19, 42,L, 4.6640
  177,   5.980, 573.97, 42,L, 4.6762
  178,   5.990, 561.69, 42,L, 4.7119
  179,   6.000, 581.67, 42,L, 4.6539
  180,   6.010, 542.98, 42,L, 4.7668
  181,   6.020, 546.19, 42,L, 4.7574
  182,   6.030, 532.99, 42,L, 4.7964
  183,   6.040, 537.00, 42,L, 4.7845
  184,   6.050, 529.81, 42,L, 4.8059
  185,   6.060, 525.72, 42,L, 4.8181
  186,   6.070, 497.54, 42,L, 4.9030
  187,   6.080, 460.99, 42,L, 5.0153
  188,   6.090, 483.84, 42,L, 4.9448
  189,   6.100, 474.31, 42,L, 4.9741
  190,   6.110, 443.61, 42,L, 5.0696
  191,   6.120, 446.33, 42,L, 5.0610
  192,   6.130, 424.00, 42,E, 5.1315
  193,   6.140, 426.60, 42,L, 5.1233
  194,   6.150, 443.31, 42,L, 5.0705
  195,   6.160, 428.62, 42,L, 5.1169
  196,   6.170, 433.34, 42,L, 5.1019
  197,   6.180, 412.81, 42,E, 5.1672
  198,   6.190, 391.69, 42,E, 5.2353
  199,   6.200, 429.29, 42,L, 5.1147
  200,   6.210, 414.91, 42,E, 5.1605
  201,   6.220, 408.34, 42,E, 5.1816
  202,   6.230, 409.19, 42,E, 5.1788
  203,   6.240, 400.09, 42,E, 5.2081
  204,   6.250, 412.53, 42,E, 5.1682
  205,   6.260, 389.81, 42,E, 5.2414
  206,   6.270, 397.16, 42,E, 5.2176
  207,   6.280, 368.99, 42,E, 5.3094
  208,   6.290, 422.47, 42,E, 5.1364
  209,   6.300, 384.28, 42,E, 5.2594
  210,   6.310, 384.47, 42,E, 5.2588
  211,   6.320, 377.74, 42,E, 5.2808
  212,   6.330, 379.88, 42,E, 5.2737
  213,   6.340, 381.19, 42,E, 5.2695
  214,   6.350, 398.95, 42,E, 5.2118
  215,   6.360, 394.24, 42,E, 5.2271
  216,   6.370, 397.35, 42,E, 5.2170
  217,   6.380, 386.62, 42,E, 5.2518
  218,   6.390, 387.65, 42,E, 5.2484
  219,   6.400, 388.03, 42,E, 5.2472
  220,   6.410, 379.70, 42,E, 5.2744
  221,   6.420, 390.85, 42,E, 5.2380
  222,   6.430, 381.56, 42,E, 5.2682
  223,   6.440, 360.66, 42,E, 5.3369
  224,   6.450, 379.98, 42,E, 5.2734
  225,   6.460, 371.78, 42,E, 5.3003
  226,   6.470, 372.34, 42,E, 5.2985
  227,   6.480, 369.55, 42,E, 5.3076
  228,   6.490, 367.23, 42,E, 5.3152
  229,   6.500, 367.60, 42,E, 5.3140
  230,   6.510, 355.69, 42,E, 5.3534
  231,   6.520, 353.94, 42,E, 5.3592
  232,   6.530, 361.03, 42,E, 5.3357
  233,   6.540, 347.52, 42,E, 5.3806
  234,   6.550, 366.40, 42,E, 5.3180
  235,   6.560, 351.46, 42,E, 5.3674
  236,   6.570, 347.25, 42,E, 5.3815
  237,   6.580, 383.25, 42,E, 5.2628
  238,   6.590, 365.93, 42,E, 5.3195
  239,   6.600, 353.39, 42,E, 5.3610
  240,   6.610, 343.59, 42,E, 5.3937
  241,   6.620, 337.21, 42,E, 5.4150
  242,   6.630, 333.21, 42,E, 5.4285
  243,   6.640, 368.34, 42,E, 5.3116
  244,   6.650, 336.48, 42,E, 5.4175
  245,   6.660, 320.29, 42,E, 5.4721
  246,   6.670, 351.19, 42,E, 5.3683
  247,   6.680, 344.69, 42,E, 5.3900
  248,   6.690, 365.38, 42,E, 5.3214
  249,   6.700, 344.50, 42,E, 5.3906
  250,   6.710, 342.95, 42,E, 5.3958
  251,   6.720, 356.24, 42,E, 5.3516
  252,   6.730, 365.01, 42,E, 5.3226
  253,   6.740, 360.11, 42,E, 5.3387
  254,   6.750, 353.94, 42,E, 5.3592
  255,   6.760, 361.50, 42,E, 5.3342
  256,   6.770, 346.97, 42,E, 5.3824
  257,   6.780, 363.62, 42,E, 5.3271
  258,   6.790, 367.32, 42,E, 5.3149
  259,   6.800, 366.67, 42,E, 5.3171
  260,   6.810, 364.36, 42,E, 5.3247
  261,   6.820, 306.22, 42,E, 5.5200
  262,   6.830, 351.74, 42,E, 5.3665
  263,   6.840, 362.70, 42,E, 5.3302
  264,   6.850, 327.33, 42,E, 5.4483
  265,   6.860, 344.96, 42,E, 5.3891
  266,   6.870, 363.99, 42,E, 5.3259
  267,   6.880, 380.82, 42,E, 5.2707
  268,   6.890, 340.76, 42,E, 5.4031
  269,   6.900, 358.91, 42,E, 5.3427
  270,   6.910, 329.59, 42,E, 5.4407
  271,   6.920, 342.95, 42,E, 5.3958
  272,   6.930, 327.42, 42,E, 5.4480
  273,   6.940, 331.04, 42,E, 5.4358
  274,   6.950, 339.21, 42,E, 5.4083
  275,   6.960, 347.89, 42,E, 5.3793
  276,   6.970, 330.67, 42,E, 5.4370
  277,   6.980, 324.34, 42,E, 5.4584
  278,   6.990, 328.14, 42,E, 5.4456
  279,   7.000, 326.96, 42,E, 5.4495
  280,   7.010, 321.19, 42,E, 5.4691
  281,   7.020, 303.99, 42,E, 5.5276
  282,   7.030, 319.30, 42,E, 5.4755
  283,   7.040, 309.61, 42,E, 5.5084
  284,   7.050, 313.37, 42,E, 5.4956
  285,   7.060, 311.85, 42,E, 5.5008
  286,   7.070, 312.66, 42,E, 5.4980
  287,   7.080, 319.84, 42,E, 5.4736
  288,   7.090, 314.09, 42,E, 5.4932
  289,   7.100, 311.40, 42,E, 5.5023
  290,   7.110, 315.62, 42,E, 5.4880
  291,   7.120, 309.70, 42,E, 5.5081
  292,   7.130, 320.02, 42,E, 5.4730
  293,   7.140, 308.72, 42,E, 5.5115
  294,   7.150, 320.02, 42,E, 5.4730
  295,   7.160, 301.05, 42,E, 5.5377
  296,   7.170, 316.78, 42,E, 5.4840
  297,   7.180, 329.68, 42,E, 5.4404
  298,   7.190, 310.95, 42,E, 5.5038
