[SAMPLE PARAMETERS]
Time/Date of Scan,          17-Apr-2018   08:34:45
Study ID,                   TW
Sample ID,                  TW-11-60-5
File Name,                  TW-11-60-5
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             59
Step Size,                        1
Sample Length,               165.00
Measured Length,             161.62
Sample Thickness,              2.25
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              410.20
Actual Density,              409.52
Early Wood Maximum Density,  425.00
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  235.09
Pos of EW Min Density,        96.86
Late Wood Maximum Density,   908.55
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.08
Pos of LW Min Density,        45.76
Avg % Late Wood in Sample,    22.92
Zero voltage,                  0.0552
Free air voltage,              6.9037
Mass Absorption Coefficient,   2.915508
Number of scanned data points,  16500
Number of used data points,     15088
[SAMPLE DATA]
    0,   2.270, 334.50, 59,E, 5.5435
    1,   2.280, 286.91, 59,E, 5.7193
    2,   2.290, 291.80, 59,E, 5.7010
    3,   2.300, 287.64, 59,E, 5.7166
    4,   2.310, 298.42, 59,E, 5.6763
    5,   2.320, 292.04, 59,E, 5.7001
    6,   2.330, 269.92, 59,E, 5.7834
    7,   2.340, 267.59, 59,E, 5.7922
    8,   2.350, 247.41, 59,E, 5.8694
    9,   2.360, 243.29, 59,E, 5.8853
   10,   2.370, 271.13, 59,E, 5.7788
   11,   2.380, 274.59, 59,E, 5.7657
   12,   2.390, 272.34, 59,E, 5.7742
   13,   2.400, 276.53, 59,E, 5.7584
   14,   2.410, 265.18, 59,E, 5.8014
   15,   2.420, 280.09, 59,E, 5.7449
   16,   2.430, 249.94, 59,E, 5.8597
   17,   2.440, 278.23, 59,E, 5.7520
   18,   2.450, 283.17, 59,E, 5.7333
   19,   2.460, 280.90, 59,E, 5.7419
   20,   2.470, 297.52, 59,E, 5.6796
   21,   2.480, 294.49, 59,E, 5.6909
   22,   2.490, 282.20, 59,E, 5.7370
   23,   2.500, 311.67, 59,E, 5.6271
   24,   2.510, 293.10, 59,E, 5.6961
   25,   2.520, 312.67, 59,E, 5.6235
   26,   2.530, 330.64, 59,E, 5.5576
   27,   2.540, 311.84, 59,E, 5.6265
   28,   2.550, 307.63, 59,E, 5.6421
   29,   2.560, 320.96, 59,E, 5.5930
   30,   2.570, 360.05, 59,E, 5.4514
   31,   2.580, 320.96, 59,E, 5.5930
   32,   2.590, 282.20, 59,E, 5.7370
   33,   2.600, 306.31, 59,E, 5.6470
   34,   2.610, 330.56, 59,E, 5.5579
   35,   2.620, 352.90, 59,E, 5.4770
   36,   2.630, 328.88, 59,E, 5.5640
   37,   2.640, 301.70, 59,E, 5.6641
   38,   2.650, 298.50, 59,E, 5.6760
   39,   2.660, 314.82, 59,E, 5.6155
   40,   2.670, 314.24, 59,E, 5.6177
   41,   2.680, 326.13, 59,E, 5.5740
   42,   2.690, 318.22, 59,E, 5.6030
   43,   2.700, 343.59, 59,E, 5.5106
   44,   2.710, 306.80, 59,E, 5.6451
   45,   2.720, 315.90, 59,E, 5.6116
   46,   2.730, 323.38, 59,E, 5.5841
   47,   2.740, 342.41, 59,E, 5.5148
   48,   2.750, 304.99, 59,E, 5.6519
   49,   2.760, 328.38, 59,E, 5.5658
   50,   2.770, 335.67, 59,E, 5.5392
   51,   2.780, 330.22, 59,E, 5.5591
   52,   2.790, 341.65, 59,E, 5.5176
   53,   2.800, 329.64, 59,E, 5.5612
   54,   2.810, 310.35, 59,E, 5.6320
   55,   2.820, 317.89, 59,E, 5.6042
   56,   2.830, 352.05, 59,E, 5.4800
