[SAMPLE PARAMETERS]
Time/Date of Scan,          06-Mar-2018   17:16:04
Study ID,                   WQA
Sample ID,                  TW-3-152-3
File Name,                  TW-3-152-3
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             71
Step Size,                        1
Sample Length,               190.00
Measured Length,             187.09
Sample Thickness,              2.27
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              417.70
Actual Density,              416.62
Early Wood Maximum Density,  424.95
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  217.79
Pos of EW Min Density,        31.60
Late Wood Maximum Density,   909.46
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.04
Pos of LW Min Density,       179.83
Avg % Late Wood in Sample,    30.75
Zero voltage,                  0.0415
Free air voltage,              7.2552
Mass Absorption Coefficient,   2.757676
Number of scanned data points,  19000
Number of used data points,     17761
[SAMPLE DATA]
    0,   2.480, 230.00, 71,E, 6.2823
    1,   2.490, 217.79, 71,E, 6.3306
    2,   2.500, 245.60, 71,E, 6.2213
    3,   2.510, 270.24, 71,E, 6.1261
    4,   2.520, 252.35, 71,E, 6.1951
    5,   2.530, 235.99, 71,E, 6.2589
    6,   2.540, 279.58, 71,E, 6.0904
    7,   2.550, 309.96, 71,E, 5.9756
    8,   2.560, 279.18, 71,E, 6.0919
    9,   2.570, 249.84, 71,E, 6.2048
   10,   2.580, 273.42, 71,E, 6.1139
   11,   2.590, 285.35, 71,E, 6.0684
   12,   2.600, 282.22, 71,E, 6.0803
   13,   2.610, 275.82, 71,E, 6.1047
   14,   2.620, 292.68, 71,E, 6.0406
   15,   2.630, 274.30, 71,E, 6.1105
   16,   2.640, 310.45, 71,E, 5.9738
   17,   2.650, 298.66, 71,E, 6.0181
   18,   2.660, 299.31, 71,E, 6.0156
   19,   2.670, 294.78, 71,E, 6.0327
   20,   2.680, 311.51, 71,E, 5.9698
   21,   2.690, 308.17, 71,E, 5.9824
   22,   2.700, 309.39, 71,E, 5.9778
   23,   2.710, 315.44, 71,E, 5.9552
   24,   2.720, 300.28, 71,E, 6.0120
   25,   2.730, 315.44, 71,E, 5.9552
   26,   2.740, 282.70, 71,E, 6.0785
   27,   2.750, 309.88, 71,E, 5.9760
   28,   2.760, 290.98, 71,E, 6.0471
   29,   2.770, 315.60, 71,E, 5.9546
   30,   2.780, 288.89, 71,E, 6.0550
   31,   2.790, 306.05, 71,E, 5.9903
   32,   2.800, 311.76, 71,E, 5.9689
   33,   2.810, 298.34, 71,E, 6.0193
   34,   2.820, 312.08, 71,E, 5.9677
   35,   2.830, 311.10, 71,E, 5.9714
   36,   2.840, 310.53, 71,E, 5.9735
   37,   2.850, 321.18, 71,E, 5.9338
   38,   2.860, 331.73, 71,E, 5.8948
   39,   2.870, 317.73, 71,E, 5.9467
   40,   2.880, 350.61, 71,E, 5.8255
   41,   2.890, 380.94, 71,E, 5.7159
   42,   2.900, 410.81, 70,E, 5.6100
   43,   2.910, 441.52, 70,L, 5.5032
   44,   2.920, 490.91, 70,L, 5.3357
   45,   2.930, 504.12, 70,L, 5.2917
   46,   2.940, 544.24, 70,L, 5.1605
   47,   2.950, 579.29, 70,L, 5.0485
   48,   2.960, 600.87, 70,L, 4.9808
   49,   2.970, 645.13, 70,L, 4.8447
   50,   2.980, 666.61, 70,L, 4.7800
   51,   2.990, 690.34, 70,L, 4.7095
   52,   3.000, 701.35, 70,L, 4.6771
   53,   3.010, 718.12, 70,L, 4.6283
   54,   3.020, 741.89, 70,L, 4.5599
   55,   3.030, 751.43, 70,L, 4.5328
   56,   3.040, 772.98, 70,L, 4.4720
   57,   3.050, 750.46, 70,L, 4.5355
   58,   3.060, 721.18, 70,L, 4.6194
   59,   3.070, 736.23, 70,L, 4.5761
   60,   3.080, 721.91, 70,L, 4.6173
   61,   3.090, 722.86, 70,L, 4.6146
   62,   3.100, 690.34, 70,L, 4.7095
   63,   3.110, 689.20, 70,L, 4.7128
   64,   3.120, 650.17, 70,L, 4.8294
   65,   3.130, 621.56, 70,L, 4.9167
   66,   3.140, 610.59, 70,L, 4.9506
   67,   3.150, 602.24, 70,L, 4.9765
   68,   3.160, 576.59, 70,L, 5.0571
   69,   3.170, 569.66, 70,L, 5.0790
   70,   3.180, 575.62, 70,L, 5.0601
   71,   3.190, 541.22, 70,L, 5.1703
   72,   3.200, 526.76, 70,L, 5.2173
   73,   3.210, 513.55, 70,L, 5.2606
   74,   3.220, 480.07, 70,L, 5.3720
   75,   3.230, 467.87, 70,L, 5.4132
   76,   3.240, 439.22, 70,L, 5.5112
   77,   3.250, 443.83, 70,L, 5.4953
   78,   3.260, 419.27, 70,E, 5.5804
   79,   3.270, 390.61, 70,E, 5.6815
