[SAMPLE PARAMETERS]
Time/Date of Scan,          28-Mar-2018   14:28:36
Study ID,                   TW
Sample ID,                  TW-6-237-3
File Name,                  TW-6-237-3
Species,                    PIPO
Operator,                   DV
Description,                North
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             66
Step Size,                        1
Sample Length,               120.00
Measured Length,             109.14
Sample Thickness,              2.29
Late Wood Method,           Threshold
Late Wood Threshold,         400.00
Late Wood Deadband,           25.00
Target Density,              428.20
Actual Density,              428.81
Early Wood Maximum Density,  399.93
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  253.29
Pos of EW Min Density,        36.12
Late Wood Maximum Density,   797.35
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   400.10
Pos of LW Min Density,        10.02
Avg % Late Wood in Sample,    47.36
Zero voltage,                  0.0439
Free air voltage,              6.9376
Mass Absorption Coefficient,   2.894129
Number of scanned data points,  12000
Number of used data points,     10701
[SAMPLE DATA]
    0,   3.290, 797.35, 66,L, 4.0945
    1,   3.300, 777.42, 66,L, 4.1489
    2,   3.310, 766.45, 66,L, 4.1791
    3,   3.320, 716.28, 66,L, 4.3201
    4,   3.330, 730.12, 66,L, 4.2807
    5,   3.340, 698.01, 66,L, 4.3726
    6,   3.350, 690.43, 66,L, 4.3945
    7,   3.360, 684.98, 65,L, 4.4104
    8,   3.370, 629.71, 65,L, 4.5746
    9,   3.380, 620.86, 65,L, 4.6014
   10,   3.390, 643.29, 65,L, 4.5337
   11,   3.400, 609.87, 65,L, 4.6350
   12,   3.410, 580.00, 65,L, 4.7275
   13,   3.420, 584.59, 65,L, 4.7131
   14,   3.430, 553.77, 65,L, 4.8102
   15,   3.440, 539.36, 65,L, 4.8563
   16,   3.450, 525.64, 65,L, 4.9005
   17,   3.460, 533.86, 65,L, 4.8740
   18,   3.470, 512.98, 65,L, 4.9417
   19,   3.480, 478.91, 65,L, 5.0543
   20,   3.490, 495.25, 65,L, 5.0000
   21,   3.500, 455.80, 65,L, 5.1321
   22,   3.510, 443.36, 65,L, 5.1746
   23,   3.520, 443.36, 65,L, 5.1746
   24,   3.530, 440.51, 65,L, 5.1843
   25,   3.540, 438.19, 65,L, 5.1923
   26,   3.550, 423.42, 65,L, 5.2432
   27,   3.560, 398.03, 65,E, 5.3320
   28,   3.570, 379.87, 65,E, 5.3964
   29,   3.580, 389.05, 65,E, 5.3638
   30,   3.590, 402.36, 65,L, 5.3168
   31,   3.600, 407.75, 65,L, 5.2979
   32,   3.610, 389.74, 65,E, 5.3613
   33,   3.620, 388.36, 65,E, 5.3662
   34,   3.630, 392.41, 65,E, 5.3519
   35,   3.640, 372.79, 65,E, 5.4218
   36,   3.650, 371.43, 65,E, 5.4266
   37,   3.660, 354.77, 65,E, 5.4868
   38,   3.670, 376.71, 65,E, 5.4077
   39,   3.680, 350.24, 65,E, 5.5032
   40,   3.690, 364.56, 65,E, 5.4514
   41,   3.700, 370.50, 65,E, 5.4300
   42,   3.710, 361.18, 65,E, 5.4636
   43,   3.720, 357.97, 65,E, 5.4752
   44,   3.730, 367.10, 65,E, 5.4422
   45,   3.740, 375.86, 65,E, 5.4108
   46,   3.750, 362.95, 65,E, 5.4572
   47,   3.760, 347.97, 65,E, 5.5115
   48,   3.770, 349.48, 65,E, 5.5060
   49,   3.780, 333.72, 65,E, 5.5637
   50,   3.790, 346.05, 65,E, 5.5185
   51,   3.800, 382.10, 65,E, 5.3885
   52,   3.810, 392.07, 65,E, 5.3531
   53,   3.820, 373.47, 65,E, 5.4193
   54,   3.830, 383.21, 65,E, 5.3845
   55,   3.840, 389.83, 65,E, 5.3610
   56,   3.850, 372.54, 65,E, 5.4227
   57,   3.860, 402.27, 64,L, 5.3171
   58,   3.870, 396.64, 64,E, 5.3369
   59,   3.880, 399.58, 64,E, 5.3265
   60,   3.890, 400.45, 64,L, 5.3235
   61,   3.900, 438.73, 64,L, 5.1904
   62,   3.910, 446.03, 64,L, 5.1654
   63,   3.920, 450.87, 64,L, 5.1489
   64,   3.930, 469.35, 64,L, 5.0864
   65,   3.940, 474.08, 64,L, 5.0705
   66,   3.950, 523.29, 64,L, 4.9081
   67,   3.960, 513.17, 64,L, 4.9411
   68,   3.970, 532.15, 64,L, 4.8795
   69,   3.980, 550.71, 64,L, 4.8199
   70,   3.990, 570.08, 64,L, 4.7586
   71,   4.000, 572.02, 64,L, 4.7525
   72,   4.010, 605.10, 64,L, 4.6497
   73,   4.020, 628.50, 64,L, 4.5782
   74,   4.030, 618.06, 64,L, 4.6100
   75,   4.040, 646.96, 64,L, 4.5227
   76,   4.050, 662.86, 64,L, 4.4754
   77,   4.060, 653.40, 64,L, 4.5035
   78,   4.070, 667.61, 64,L, 4.4614
   79,   4.080, 672.69, 64,L, 4.4464
   80,   4.090, 678.09, 64,L, 4.4305
   81,   4.100, 682.47, 64,L, 4.4177
   82,   4.110, 667.30, 64,L, 4.4623
   83,   4.120, 688.23, 64,L, 4.4009
   84,   4.130, 670.82, 64,L, 4.4519
   85,   4.140, 666.78, 64,L, 4.4638
   86,   4.150, 659.36, 64,L, 4.4858
   87,   4.160, 651.25, 64,L, 4.5099
   88,   4.170, 631.13, 64,L, 4.5703
   89,   4.180, 652.89, 64,L, 4.5050
   90,   4.190, 616.65, 64,L, 4.6143
   91,   4.200, 615.96, 64,L, 4.6164
   92,   4.210, 604.70, 64,L, 4.6509
   93,   4.220, 581.17, 64,L, 4.7238
   94,   4.230, 557.62, 64,L, 4.7980
   95,   4.240, 545.36, 64,L, 4.8370
   96,   4.250, 545.93, 64,L, 4.8352
   97,   4.260, 535.09, 64,L, 4.8700
   98,   4.270, 519.25, 64,L, 4.9213
   99,   4.280, 508.04, 64,L, 4.9579
  100,   4.290, 492.85, 64,L, 5.0079
  101,   4.300, 453.38, 64,L, 5.1404
  102,   4.310, 450.60, 64,L, 5.1498
  103,   4.320, 475.72, 64,L, 5.0650
  104,   4.330, 447.29, 64,L, 5.1611
  105,   4.340, 411.59, 64,L, 5.2844
  106,   4.350, 423.07, 64,L, 5.2444
  107,   4.360, 393.88, 64,E, 5.3467
  108,   4.370, 414.21, 64,L, 5.2753
  109,   4.380, 390.60, 64,E, 5.3583
  110,   4.390, 404.10, 64,L, 5.3107
  111,   4.400, 397.16, 64,E, 5.3351
  112,   4.410, 360.25, 64,E, 5.4669
  113,   4.420, 362.44, 64,E, 5.4590
  114,   4.430, 360.42, 64,E, 5.4663
  115,   4.440, 339.04, 64,E, 5.5441
  116,   4.450, 327.93, 64,E, 5.5850
  117,   4.460, 346.05, 64,E, 5.5185
  118,   4.470, 313.21, 64,E, 5.6396
  119,   4.480, 311.74, 64,E, 5.6451
  120,   4.490, 319.20, 64,E, 5.6174
  121,   4.500, 313.37, 64,E, 5.6390
  122,   4.510, 328.67, 64,E, 5.5823
  123,   4.520, 304.32, 64,E, 5.6729
  124,   4.530, 319.93, 64,E, 5.6146
  125,   4.540, 304.15, 64,E, 5.6735
  126,   4.550, 303.18, 64,E, 5.6772
  127,   4.560, 289.26, 64,E, 5.7297
  128,   4.570, 302.93, 64,E, 5.6781
  129,   4.580, 320.26, 64,E, 5.6134
  130,   4.590, 290.55, 64,E, 5.7248
  131,   4.600, 290.63, 64,E, 5.7245
  132,   4.610, 276.83, 64,E, 5.7770
  133,   4.620, 306.27, 64,E, 5.6656
  134,   4.630, 291.20, 64,E, 5.7224
  135,   4.640, 279.47, 64,E, 5.7669
  136,   4.650, 277.07, 64,E, 5.7761
  137,   4.660, 298.07, 64,E, 5.6964
  138,   4.670, 276.19, 64,E, 5.7794
  139,   4.680, 273.80, 64,E, 5.7886
  140,   4.690, 307.90, 64,E, 5.6595
  141,   4.700, 288.78, 64,E, 5.7315
  142,   4.710, 287.65, 64,E, 5.7358
  143,   4.720, 270.13, 64,E, 5.8026
  144,   4.730, 291.20, 64,E, 5.7224
  145,   4.740, 293.21, 64,E, 5.7147
  146,   4.750, 277.39, 64,E, 5.7748
  147,   4.760, 271.25, 64,E, 5.7983
  148,   4.770, 276.59, 64,E, 5.7779
  149,   4.780, 281.07, 64,E, 5.7608
