[SAMPLE PARAMETERS]
Time/Date of Scan,          07-Mar-2018   12:38:02
Study ID,                   WQA
Sample ID,                  TW-3-216-3
File Name,                  TW-3-216-3
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             73
Step Size,                        1
Sample Length,               180.00
Measured Length,             171.16
Sample Thickness,              2.28
Late Wood Method,           Threshold
Late Wood Threshold,         400.00
Late Wood Deadband,           25.00
Target Density,              379.00
Actual Density,              378.97
Early Wood Maximum Density,  400.00
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  209.55
Pos of EW Min Density,        43.51
Late Wood Maximum Density,   886.10
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   400.08
Pos of LW Min Density,       163.97
Avg % Late Wood in Sample,    26.89
Zero voltage,                  0.0497
Free air voltage,              7.2449
Mass Absorption Coefficient,   2.825612
Number of scanned data points,  17654
Number of used data points,     16794
[SAMPLE DATA]
    0,   3.150, 477.01, 74,L, 5.3281
    1,   3.160, 458.97, 74,L, 5.3903
    2,   3.170, 416.59, 74,L, 5.5396
    3,   3.180, 386.10, 74,E, 5.6494
    4,   3.190, 373.91, 74,E, 5.6940
    5,   3.200, 347.76, 74,E, 5.7907
    6,   3.210, 353.90, 74,E, 5.7678
    7,   3.220, 299.20, 74,E, 5.9747
    8,   3.230, 296.98, 74,E, 5.9833
    9,   3.240, 279.82, 74,E, 6.0498
   10,   3.250, 299.36, 74,E, 5.9741
   11,   3.260, 293.74, 74,E, 5.9958
   12,   3.270, 229.13, 74,E, 6.2506
   13,   3.280, 236.35, 74,E, 6.2216
   14,   3.290, 293.58, 74,E, 5.9964
   15,   3.300, 380.16, 74,E, 5.6711
   16,   3.310, 461.61, 73,L, 5.3812
   17,   3.320, 494.89, 73,L, 5.2670
   18,   3.330, 522.57, 73,L, 5.1740
   19,   3.340, 602.98, 73,L, 4.9127
   20,   3.350, 621.12, 73,L, 4.8557
   21,   3.360, 654.25, 73,L, 4.7531
   22,   3.370, 681.40, 73,L, 4.6707
   23,   3.380, 695.86, 73,L, 4.6274
   24,   3.390, 704.90, 73,L, 4.6005
   25,   3.400, 707.48, 73,L, 4.5929
   26,   3.410, 711.61, 73,L, 4.5807
   27,   3.420, 684.54, 73,L, 4.6613
   28,   3.430, 698.43, 73,L, 4.6198
   29,   3.440, 694.94, 73,L, 4.6301
   30,   3.450, 689.22, 73,L, 4.6472
   31,   3.460, 683.73, 73,L, 4.6637
   32,   3.470, 662.54, 73,L, 4.7278
   33,   3.480, 615.38, 73,L, 4.8737
   34,   3.490, 682.51, 73,L, 4.6674
   35,   3.500, 656.15, 73,L, 4.7473
   36,   3.510, 661.44, 73,L, 4.7311
   37,   3.520, 654.05, 73,L, 4.7537
   38,   3.530, 666.66, 73,L, 4.7153
   39,   3.540, 676.64, 73,L, 4.6851
   40,   3.550, 685.15, 73,L, 4.6594
   41,   3.560, 686.88, 73,L, 4.6542
   42,   3.570, 696.07, 73,L, 4.6268
   43,   3.580, 668.47, 73,L, 4.7098
   44,   3.590, 665.35, 73,L, 4.7192
   45,   3.600, 643.13, 73,L, 4.7873
   46,   3.610, 620.44, 73,L, 4.8578
   47,   3.620, 609.36, 73,L, 4.8926
   48,   3.630, 574.04, 73,L, 5.0052
   49,   3.640, 521.83, 73,L, 5.1764
   50,   3.650, 493.99, 73,L, 5.2701
   51,   3.660, 488.52, 73,L, 5.2887
   52,   3.670, 484.94, 73,L, 5.3009
   53,   3.680, 476.92, 73,L, 5.3284
   54,   3.690, 429.03, 73,L, 5.4953
   55,   3.700, 415.82, 73,L, 5.5423
   56,   3.710, 418.13, 73,L, 5.5341
   57,   3.720, 370.83, 73,E, 5.7053
   58,   3.730, 355.71, 73,E, 5.7611
   59,   3.740, 381.16, 73,E, 5.6674
   60,   3.750, 365.11, 73,E, 5.7263
   61,   3.760, 337.40, 73,E, 5.8295
   62,   3.770, 335.78, 73,E, 5.8356
   63,   3.780, 340.17, 73,E, 5.8191
   64,   3.790, 349.48, 73,E, 5.7843
   65,   3.800, 329.38, 73,E, 5.8597
   66,   3.810, 348.74, 73,E, 5.7870
   67,   3.820, 329.38, 73,E, 5.8597
   68,   3.830, 312.97, 73,E, 5.9219
   69,   3.840, 325.10, 73,E, 5.8759
   70,   3.850, 323.81, 73,E, 5.8807
