[SAMPLE PARAMETERS]
Time/Date of Scan,          09-Apr-2018   14:53:35
Study ID,                   TW
Sample ID,                  TW-9-103-4
File Name,                  TW-9-103-4
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             60
Step Size,                        1
Sample Length,               125.00
Measured Length,             114.44
Sample Thickness,              2.25
Late Wood Method,           Threshold
Late Wood Threshold,         450.00
Late Wood Deadband,           25.00
Target Density,              448.30
Actual Density,              448.44
Early Wood Maximum Density,  449.95
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  250.58
Pos of EW Min Density,        61.15
Late Wood Maximum Density,   997.45
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   450.14
Pos of LW Min Density,        37.95
Avg % Late Wood in Sample,    28.90
Zero voltage,                  0.0418
Free air voltage,              6.7300
Mass Absorption Coefficient,   2.681635
Number of scanned data points,  12500
Number of used data points,     11026
[SAMPLE DATA]
    0,   4.850, 997.45, 61,L, 3.6917
    1,   4.860, 919.53, 61,L, 3.8690
    2,   4.870, 839.47, 61,L, 4.0601
    3,   4.880, 748.14, 61,L, 4.2896
    4,   4.890, 639.84, 61,L, 4.5786
    5,   4.900, 562.50, 61,L, 4.7968
    6,   4.910, 578.11, 61,L, 4.7519
    7,   4.920, 605.00, 61,L, 4.6756
    8,   4.930, 578.86, 61,L, 4.7498
    9,   4.940, 507.21, 60,L, 4.9591
   10,   4.950, 490.13, 60,L, 5.0104
   11,   4.960, 605.65, 60,L, 4.6738
   12,   4.970, 707.74, 60,L, 4.3951
   13,   4.980, 736.25, 60,L, 4.3204
   14,   4.990, 725.37, 60,L, 4.3488
   15,   5.000, 726.89, 60,L, 4.3448
   16,   5.010, 799.26, 60,L, 4.1595
   17,   5.020, 864.88, 60,L, 3.9984
   18,   5.030, 910.12, 60,L, 3.8910
   19,   5.040, 936.25, 60,L, 3.8303
   20,   5.050, 872.51, 60,L, 3.9801
   21,   5.060, 863.24, 60,L, 4.0024
   22,   5.070, 849.36, 60,L, 4.0359
   23,   5.080, 837.97, 60,L, 4.0637
   24,   5.090, 818.26, 60,L, 4.1122
   25,   5.100, 834.36, 60,L, 4.0726
   26,   5.110, 779.87, 60,L, 4.2084
   27,   5.120, 792.21, 60,L, 4.1772
   28,   5.130, 799.26, 60,L, 4.1595
   29,   5.140, 767.63, 60,L, 4.2395
   30,   5.150, 708.09, 60,L, 4.3942
   31,   5.160, 717.93, 60,L, 4.3683
   32,   5.170, 746.84, 60,L, 4.2929
   33,   5.180, 731.09, 60,L, 4.3338
   34,   5.190, 714.22, 60,L, 4.3781
   35,   5.200, 734.02, 60,L, 4.3262
   36,   5.210, 744.95, 60,L, 4.2978
   37,   5.220, 742.83, 60,L, 4.3033
   38,   5.230, 761.19, 60,L, 4.2560
   39,   5.240, 727.82, 60,L, 4.3423
   40,   5.250, 729.22, 60,L, 4.3387
   41,   5.260, 728.17, 60,L, 4.3414
   42,   5.270, 697.86, 60,L, 4.4214
   43,   5.280, 659.66, 60,L, 4.5242
   44,   5.290, 639.73, 60,L, 4.5789
   45,   5.300, 605.97, 60,L, 4.6729
   46,   5.310, 610.32, 60,L, 4.6606
   47,   5.320, 585.17, 60,L, 4.7318
   48,   5.330, 532.34, 60,L, 4.8846
   49,   5.340, 479.94, 60,L, 5.0412
   50,   5.350, 470.12, 60,L, 5.0711
   51,   5.360, 431.68, 60,E, 5.1898
   52,   5.370, 460.45, 60,L, 5.1007
   53,   5.380, 490.23, 60,L, 5.0101
   54,   5.390, 485.28, 60,L, 5.0250
   55,   5.400, 470.82, 60,L, 5.0690
   56,   5.410, 506.80, 60,L, 4.9603
   57,   5.420, 503.13, 60,L, 4.9713
   58,   5.430, 490.63, 60,L, 5.0089
   59,   5.440, 512.13, 60,L, 4.9445
   60,   5.450, 507.72, 60,L, 4.9576
   61,   5.460, 493.57, 60,L, 5.0000
   62,   5.470, 502.11, 60,L, 4.9744
   63,   5.480, 470.02, 60,L, 5.0714
   64,   5.490, 465.72, 60,L, 5.0845
   65,   5.500, 480.14, 60,L, 5.0406
   66,   5.510, 499.67, 60,L, 4.9817
   67,   5.520, 489.62, 60,L, 5.0119
   68,   5.530, 473.02, 60,L, 5.0623
   69,   5.540, 475.42, 60,L, 5.0549
   70,   5.550, 461.04, 60,L, 5.0989
   71,   5.560, 445.80, 60,E, 5.1459
