[SAMPLE PARAMETERS]
Time/Date of Scan,          12-Mar-2018   12:43:50
Study ID,                   WQA
Sample ID,                  TW-5-366-2
File Name,                  TW-5-366-2
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             81
Step Size,                        1
Sample Length,               110.00
Measured Length,             101.01
Sample Thickness,              2.27
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              462.20
Actual Density,              462.74
Early Wood Maximum Density,  424.99
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  259.51
Pos of EW Min Density,        27.08
Late Wood Maximum Density,   974.54
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.08
Pos of LW Min Density,        31.82
Avg % Late Wood in Sample,    48.35
Zero voltage,                  0.0418
Free air voltage,              7.2003
Mass Absorption Coefficient,   2.695416
Number of scanned data points,  10995
Number of used data points,      9884
[SAMPLE DATA]
    0,   4.920, 451.30, 81,L, 5.4663
    1,   4.930, 426.07, 81,L, 5.5511
    2,   4.940, 392.91, 81,E, 5.6647
    3,   4.950, 383.23, 81,E, 5.6982
    4,   4.960, 368.82, 81,E, 5.7486
    5,   4.970, 346.54, 81,E, 5.8273
    6,   4.980, 338.67, 81,E, 5.8554
    7,   4.990, 359.63, 81,E, 5.7809
    8,   5.000, 377.71, 81,E, 5.7175
    9,   5.010, 348.68, 81,E, 5.8197
   10,   5.020, 343.03, 81,E, 5.8398
   11,   5.030, 345.60, 81,E, 5.8307
   12,   5.040, 410.03, 81,E, 5.6058
   13,   5.050, 463.41, 80,L, 5.4260
   14,   5.060, 537.95, 80,L, 5.1846
   15,   5.070, 574.12, 80,L, 5.0714
   16,   5.080, 605.57, 80,L, 4.9750
   17,   5.090, 618.48, 80,L, 4.9359
   18,   5.100, 628.84, 80,L, 4.9048
   19,   5.110, 645.85, 80,L, 4.8541
   20,   5.120, 633.94, 80,L, 4.8895
   21,   5.130, 591.16, 80,L, 5.0189
   22,   5.140, 577.87, 80,L, 5.0598
   23,   5.150, 552.87, 80,L, 5.1376
   24,   5.160, 518.97, 80,L, 5.2451
   25,   5.170, 506.54, 80,L, 5.2850
   26,   5.180, 475.99, 80,L, 5.3845
   27,   5.190, 453.77, 80,L, 5.4581
   28,   5.200, 447.09, 80,L, 5.4803
   29,   5.210, 431.03, 80,L, 5.5344
   30,   5.220, 391.67, 80,E, 5.6689
   31,   5.230, 391.50, 80,E, 5.6696
   32,   5.240, 395.38, 80,E, 5.6561
   33,   5.250, 399.45, 80,E, 5.6421
   34,   5.260, 371.00, 80,E, 5.7410
   35,   5.270, 405.04, 80,E, 5.6229
   36,   5.280, 391.41, 80,E, 5.6699
   37,   5.290, 383.23, 80,E, 5.6982
   38,   5.300, 416.73, 80,E, 5.5829
   39,   5.310, 446.55, 79,L, 5.4822
   40,   5.320, 517.26, 79,L, 5.2505
   41,   5.330, 558.91, 79,L, 5.1187
   42,   5.340, 574.71, 79,L, 5.0696
   43,   5.350, 557.06, 79,L, 5.1245
   44,   5.360, 582.12, 79,L, 5.0467
   45,   5.370, 590.46, 79,L, 5.0211
   46,   5.380, 578.96, 79,L, 5.0565
   47,   5.390, 593.15, 79,L, 5.0128
   48,   5.400, 622.84, 79,L, 4.9228
   49,   5.410, 630.47, 79,L, 4.8999
   50,   5.420, 622.43, 79,L, 4.9240
   51,   5.430, 653.38, 79,L, 4.8318
   52,   5.440, 667.20, 79,L, 4.7913
   53,   5.450, 644.40, 79,L, 4.8584
   54,   5.460, 681.34, 79,L, 4.7501
   55,   5.470, 677.14, 79,L, 4.7623
   56,   5.480, 752.75, 79,L, 4.5474
   57,   5.490, 761.79, 79,L, 4.5224
   58,   5.500, 845.12, 79,L, 4.2981
   59,   5.510, 844.42, 79,L, 4.2999
   60,   5.520, 818.01, 79,L, 4.3698
   61,   5.530, 766.44, 79,L, 4.5096
   62,   5.540, 738.20, 79,L, 4.5880
   63,   5.550, 687.99, 79,L, 4.7308
   64,   5.560, 662.40, 79,L, 4.8053
   65,   5.570, 664.59, 79,L, 4.7989
   66,   5.580, 607.98, 79,L, 4.9677
   67,   5.590, 555.98, 79,L, 5.1279
   68,   5.600, 549.56, 79,L, 5.1480
   69,   5.610, 531.31, 79,L, 5.2057
   70,   5.620, 532.37, 79,L, 5.2023
   71,   5.630, 533.33, 79,L, 5.1993
   72,   5.640, 501.81, 79,L, 5.3003
   73,   5.650, 498.99, 79,L, 5.3094
   74,   5.660, 471.54, 79,L, 5.3992
   75,   5.670, 476.36, 79,L, 5.3833
   76,   5.680, 449.83, 79,L, 5.4712
   77,   5.690, 444.27, 79,L, 5.4898
   78,   5.700, 458.44, 79,L, 5.4425
   79,   5.710, 431.39, 79,L, 5.5331
   80,   5.720, 409.67, 79,E, 5.6070
   81,   5.730, 392.82, 79,E, 5.6650
   82,   5.740, 396.80, 79,E, 5.6512
   83,   5.750, 391.41, 79,E, 5.6699
   84,   5.760, 373.61, 79,E, 5.7318
   85,   5.770, 376.49, 79,E, 5.7217
   86,   5.780, 355.31, 79,E, 5.7962
   87,   5.790, 374.83, 79,E, 5.7275
   88,   5.800, 364.57, 79,E, 5.7635
   89,   5.810, 346.02, 79,E, 5.8292
   90,   5.820, 345.51, 79,E, 5.8310
   91,   5.830, 357.81, 79,E, 5.7874
   92,   5.840, 345.00, 79,E, 5.8328
   93,   5.850, 346.62, 79,E, 5.8270
   94,   5.860, 382.27, 79,E, 5.7016
   95,   5.870, 354.10, 79,E, 5.8005
   96,   5.880, 332.45, 79,E, 5.8777
   97,   5.890, 317.46, 79,E, 5.9317
   98,   5.900, 342.17, 79,E, 5.8429
   99,   5.910, 335.00, 79,E, 5.8685
  100,   5.920, 297.36, 79,E, 6.0049
  101,   5.930, 313.34, 79,E, 5.9467
  102,   5.940, 355.23, 79,E, 5.7965
  103,   5.950, 337.90, 79,E, 5.8582
  104,   5.960, 324.30, 79,E, 5.9070
  105,   5.970, 329.90, 79,E, 5.8868
  106,   5.980, 346.02, 79,E, 5.8292
  107,   5.990, 329.56, 79,E, 5.8881
  108,   6.000, 326.76, 79,E, 5.8981
  109,   6.010, 326.59, 79,E, 5.8987
  110,   6.020, 347.83, 79,E, 5.8228
  111,   6.030, 328.45, 79,E, 5.8920
  112,   6.040, 322.02, 79,E, 5.9152
  113,   6.050, 322.27, 79,E, 5.9143
  114,   6.060, 331.51, 79,E, 5.8810
  115,   6.070, 322.10, 79,E, 5.9149
  116,   6.080, 315.52, 79,E, 5.9387
  117,   6.090, 326.84, 79,E, 5.8978
  118,   6.100, 337.73, 79,E, 5.8588
  119,   6.110, 333.64, 79,E, 5.8734
  120,   6.120, 336.70, 79,E, 5.8624
  121,   6.130, 324.64, 79,E, 5.9058
  122,   6.140, 349.11, 79,E, 5.8182
  123,   6.150, 365.69, 79,E, 5.7596
  124,   6.160, 334.32, 79,E, 5.8710
  125,   6.170, 317.88, 79,E, 5.9302
  126,   6.180, 349.89, 79,E, 5.8154
  127,   6.190, 351.87, 79,E, 5.8084
  128,   6.200, 332.36, 79,E, 5.8780
  129,   6.210, 342.68, 79,E, 5.8411
  130,   6.220, 371.26, 79,E, 5.7401
  131,   6.230, 396.35, 79,E, 5.6528
  132,   6.240, 451.75, 79,L, 5.4648
  133,   6.250, 493.16, 78,L, 5.3284
  134,   6.260, 558.13, 78,L, 5.1212
  135,   6.270, 548.88, 78,L, 5.1501
  136,   6.280, 656.59, 78,L, 4.8224
  137,   6.290, 725.61, 78,L, 4.6234
  138,   6.300, 738.74, 78,L, 4.5865
  139,   6.310, 761.90, 78,L, 4.5221
  140,   6.320, 792.13, 78,L, 4.4394
  141,   6.330, 792.92, 78,L, 4.4373
  142,   6.340, 821.33, 78,L, 4.3610
  143,   6.350, 809.34, 78,L, 4.3930
  144,   6.360, 793.04, 78,L, 4.4370
  145,   6.370, 798.23, 78,L, 4.4229
  146,   6.380, 745.40, 78,L, 4.5679
  147,   6.390, 763.45, 78,L, 4.5178
  148,   6.400, 746.50, 78,L, 4.5648
  149,   6.410, 715.80, 78,L, 4.6512
  150,   6.420, 696.78, 78,L, 4.7055
  151,   6.430, 689.15, 78,L, 4.7275
  152,   6.440, 653.69, 78,L, 4.8309
  153,   6.450, 633.33, 78,L, 4.8914
  154,   6.460, 623.85, 78,L, 4.9197
  155,   6.470, 604.16, 78,L, 4.9792
  156,   6.480, 591.86, 78,L, 5.0168
  157,   6.490, 601.75, 78,L, 4.9866
  158,   6.500, 609.99, 78,L, 4.9615
  159,   6.510, 612.41, 78,L, 4.9542
  160,   6.520, 623.55, 78,L, 4.9207
  161,   6.530, 677.45, 78,L, 4.7614
  162,   6.540, 713.86, 78,L, 4.6567
  163,   6.550, 727.34, 78,L, 4.6185
  164,   6.560, 742.12, 78,L, 4.5770
  165,   6.570, 726.04, 78,L, 4.6222
  166,   6.580, 719.99, 78,L, 4.6393
  167,   6.590, 703.27, 78,L, 4.6869
  168,   6.600, 697.74, 78,L, 4.7028
  169,   6.610, 651.21, 78,L, 4.8383
  170,   6.620, 640.09, 78,L, 4.8712
  171,   6.630, 582.72, 78,L, 5.0449
  172,   6.640, 557.64, 78,L, 5.1227
  173,   6.650, 558.42, 78,L, 5.1202
  174,   6.660, 494.19, 78,L, 5.3250
  175,   6.670, 485.77, 78,L, 5.3525
  176,   6.680, 493.44, 78,L, 5.3275
  177,   6.690, 472.93, 78,L, 5.3946
  178,   6.700, 454.96, 78,L, 5.4541
  179,   6.710, 472.00, 78,L, 5.3976
  180,   6.720, 446.00, 78,L, 5.4840
  181,   6.730, 435.10, 78,L, 5.5206
  182,   6.740, 431.30, 78,L, 5.5334
  183,   6.750, 444.27, 78,L, 5.4898
  184,   6.760, 428.95, 78,L, 5.5414
  185,   6.770, 414.23, 78,E, 5.5914
  186,   6.780, 421.30, 78,E, 5.5673
  187,   6.790, 424.36, 78,E, 5.5569
  188,   6.800, 428.23, 78,L, 5.5438
  189,   6.810, 401.23, 78,E, 5.6360
  190,   6.820, 414.94, 78,E, 5.5890
  191,   6.830, 404.69, 78,E, 5.6241
  192,   6.840, 427.96, 78,L, 5.5447
  193,   6.850, 403.27, 78,E, 5.6290
  194,   6.860, 409.23, 78,E, 5.6085
  195,   6.870, 402.82, 78,E, 5.6305
  196,   6.880, 411.72, 78,E, 5.6000
  197,   6.890, 409.32, 78,E, 5.6082
  198,   6.900, 381.65, 78,E, 5.7037
  199,   6.910, 385.78, 78,E, 5.6894
  200,   6.920, 384.37, 78,E, 5.6943
  201,   6.930, 381.65, 78,E, 5.7037
  202,   6.940, 398.66, 78,E, 5.6448
  203,   6.950, 389.82, 78,E, 5.6754
  204,   6.960, 387.98, 78,E, 5.6818
  205,   6.970, 369.34, 78,E, 5.7468
  206,   6.980, 378.41, 78,E, 5.7150
  207,   6.990, 397.15, 78,E, 5.6500
  208,   7.000, 350.75, 78,E, 5.8124
  209,   7.010, 369.08, 78,E, 5.7477
  210,   7.020, 389.74, 78,E, 5.6757
  211,   7.030, 374.40, 78,E, 5.7291
  212,   7.040, 361.62, 78,E, 5.7739
  213,   7.050, 354.62, 78,E, 5.7986
  214,   7.060, 382.18, 78,E, 5.7019
  215,   7.070, 365.43, 78,E, 5.7605
  216,   7.080, 361.19, 78,E, 5.7755
  217,   7.090, 375.79, 78,E, 5.7242
  218,   7.100, 348.26, 78,E, 5.8212
  219,   7.110, 357.47, 78,E, 5.7886
  220,   7.120, 347.14, 78,E, 5.8252
  221,   7.130, 369.26, 78,E, 5.7471
