[SAMPLE PARAMETERS]
Time/Date of Scan,          19-Apr-2018   16:46:13
Study ID,                   TW
Sample ID,                  TW-14-237-4
File Name,                  TW-14-237-4
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             55
Step Size,                        1
Sample Length,               155.00
Measured Length,             144.78
Sample Thickness,              2.25
Late Wood Method,           Threshold
Late Wood Threshold,         400.00
Late Wood Deadband,           25.00
Target Density,              394.50
Actual Density,              394.42
Early Wood Maximum Density,  399.92
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  216.01
Pos of EW Min Density,        57.82
Late Wood Maximum Density,   856.98
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   400.10
Pos of LW Min Density,        46.45
Avg % Late Wood in Sample,    30.90
Zero voltage,                  0.0473
Free air voltage,              6.6513
Mass Absorption Coefficient,   2.913840
Number of scanned data points,  14911
Number of used data points,     14142
[SAMPLE DATA]
    0,   3.480, 339.19, 55,E, 5.3278
    1,   3.490, 338.66, 55,E, 5.3296
    2,   3.500, 310.73, 55,E, 5.4279
    3,   3.510, 308.50, 55,E, 5.4358
    4,   3.520, 301.39, 55,E, 5.4611
    5,   3.530, 319.44, 55,E, 5.3970
    6,   3.540, 276.48, 55,E, 5.5508
    7,   3.550, 283.90, 55,E, 5.5240
    8,   3.560, 290.41, 55,E, 5.5005
    9,   3.570, 279.68, 55,E, 5.5392
   10,   3.580, 279.68, 55,E, 5.5392
   11,   3.590, 270.36, 55,E, 5.5731
   12,   3.600, 284.40, 55,E, 5.5222
   13,   3.610, 278.50, 55,E, 5.5435
   14,   3.620, 278.75, 55,E, 5.5426
   15,   3.630, 289.31, 55,E, 5.5045
   16,   3.640, 287.36, 55,E, 5.5115
   17,   3.650, 271.37, 55,E, 5.5695
   18,   3.660, 280.35, 55,E, 5.5368
   19,   3.670, 281.11, 55,E, 5.5341
   20,   3.680, 287.70, 55,E, 5.5103
   21,   3.690, 267.60, 55,E, 5.5832
   22,   3.700, 270.28, 55,E, 5.5734
   23,   3.710, 273.88, 55,E, 5.5603
   24,   3.720, 255.37, 55,E, 5.6281
   25,   3.730, 255.45, 55,E, 5.6277
   26,   3.740, 270.86, 55,E, 5.5713
   27,   3.750, 269.86, 55,E, 5.5750
