[SAMPLE PARAMETERS]
Time/Date of Scan,          17-Mar-2018   15:26:26
Study ID,                   WQA
Sample ID,                  TW-8-439-5
File Name,                  TW-8-439-5
Species,                    PIPO
Operator,                   DV
Description,                North
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             33
Step Size,                        1
Sample Length,                70.00
Measured Length,              57.08
Sample Thickness,              2.26
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              412.50
Actual Density,              412.76
Early Wood Maximum Density,  424.96
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  240.94
Pos of EW Min Density,        19.47
Late Wood Maximum Density,   899.78
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.05
Pos of LW Min Density,         7.76
Avg % Late Wood in Sample,    32.34
Zero voltage,                  0.0400
Free air voltage,              7.0367
Mass Absorption Coefficient,   2.843889
Number of scanned data points,   7000
Number of used data points,      5476
[SAMPLE DATA]
    0,   2.870, 315.08, 33,E, 5.7468
    1,   2.880, 314.75, 33,E, 5.7480
    2,   2.890, 313.02, 33,E, 5.7544
    3,   2.900, 313.51, 33,E, 5.7526
    4,   2.910, 330.94, 33,E, 5.6885
    5,   2.920, 332.28, 33,E, 5.6836
    6,   2.930, 315.33, 33,E, 5.7458
    7,   2.940, 307.33, 33,E, 5.7755
    8,   2.950, 311.45, 33,E, 5.7602
    9,   2.960, 313.59, 33,E, 5.7523
   10,   2.970, 324.20, 33,E, 5.7132
   11,   2.980, 315.49, 33,E, 5.7452
   12,   2.990, 319.22, 33,E, 5.7315
   13,   3.000, 327.77, 33,E, 5.7001
   14,   3.010, 308.40, 33,E, 5.7715
   15,   3.020, 337.38, 33,E, 5.6650
   16,   3.030, 330.94, 33,E, 5.6885
   17,   3.040, 331.19, 33,E, 5.6876
   18,   3.050, 396.49, 33,E, 5.4538
   19,   3.060, 398.50, 33,E, 5.4468
   20,   3.070, 434.83, 33,L, 5.3210
   21,   3.080, 440.82, 32,L, 5.3006
   22,   3.090, 463.93, 32,L, 5.2225
   23,   3.100, 466.29, 32,L, 5.2145
   24,   3.110, 485.44, 32,L, 5.1508
   25,   3.120, 520.59, 32,L, 5.0357
   26,   3.130, 515.69, 32,L, 5.0516
   27,   3.140, 529.10, 32,L, 5.0082
   28,   3.150, 542.91, 32,L, 4.9640
   29,   3.160, 634.10, 32,L, 4.6814
   30,   3.170, 659.25, 32,L, 4.6063
   31,   3.180, 669.60, 32,L, 4.5758
   32,   3.190, 617.86, 32,L, 4.7305
   33,   3.200, 594.84, 32,L, 4.8010
   34,   3.210, 553.85, 32,L, 4.9292
   35,   3.220, 539.75, 32,L, 4.9741
