[SAMPLE PARAMETERS]
Time/Date of Scan,          26-Mar-2018   13:17:34
Study ID,                   WQA
Sample ID,                  TW-5-235-45
File Name,                  TW-5-235-45
Species,                    PIPO
Operator,                   DV
Description,                North
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             93
Step Size,                        1
Sample Length,               105.00
Measured Length,              88.31
Sample Thickness,              2.29
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              499.00
Actual Density,              500.22
Early Wood Maximum Density,  424.91
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  281.97
Pos of EW Min Density,        17.74
Late Wood Maximum Density,   925.42
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.00
Pos of LW Min Density,        15.50
Avg % Late Wood in Sample,    65.76
Zero voltage,                  0.0446
Free air voltage,              7.0236
Mass Absorption Coefficient,   2.714243
Number of scanned data points,  10312
Number of used data points,      8640
[SAMPLE DATA]
    0,   2.990, 451.62, 93,L, 5.3046
    1,   3.000, 418.37, 93,E, 5.4153
    2,   3.010, 379.94, 93,E, 5.5463
    3,   3.020, 331.63, 93,E, 5.7153
    4,   3.030, 310.29, 93,E, 5.7916
    5,   3.040, 282.89, 93,E, 5.8911
    6,   3.050, 293.76, 93,E, 5.8514
    7,   3.060, 297.79, 93,E, 5.8368
    8,   3.070, 315.22, 93,E, 5.7739
    9,   3.080, 390.15, 93,E, 5.5112
   10,   3.090, 487.94, 93,L, 5.1862
   11,   3.100, 552.36, 92,L, 4.9826
   12,   3.110, 584.11, 92,L, 4.8853
   13,   3.120, 637.75, 92,L, 4.7250
   14,   3.130, 742.73, 92,L, 4.4266
   15,   3.140, 827.44, 92,L, 4.1995
   16,   3.150, 882.27, 92,L, 4.0588
   17,   3.160, 924.67, 92,L, 3.9532
   18,   3.170, 909.72, 92,L, 3.9902
   19,   3.180, 870.33, 92,L, 4.0891
   20,   3.190, 845.91, 92,L, 4.1516
   21,   3.200, 829.20, 92,L, 4.1949
   22,   3.210, 786.35, 92,L, 4.3082
   23,   3.220, 779.30, 92,L, 4.3271
   24,   3.230, 708.82, 92,L, 4.5209
   25,   3.240, 690.89, 92,L, 4.5715
   26,   3.250, 647.97, 92,L, 4.6951
