[SAMPLE PARAMETERS]
Time/Date of Scan,          05-Mar-2018   09:54:01
Study ID,                   WQA
Sample ID,                  TW-3-192-5
File Name,                  TW-3-192-5
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             55
Step Size,                        1
Sample Length,               127.00
Measured Length,             120.98
Sample Thickness,              2.27
Late Wood Method,           Threshold
Late Wood Threshold,         375.00
Late Wood Deadband,           25.00
Target Density,              366.00
Actual Density,              366.15
Early Wood Maximum Density,  375.00
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  191.81
Pos of EW Min Density,        57.72
Late Wood Maximum Density,   826.29
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   375.07
Pos of LW Min Density,        82.00
Avg % Late Wood in Sample,    31.05
Zero voltage,                  0.0424
Free air voltage,              7.4243
Mass Absorption Coefficient,   3.122907
Number of scanned data points,  12621
Number of used data points,     11707
[SAMPLE DATA]
    0,   4.910, 451.54, 56,L, 5.3906
    1,   4.920, 437.64, 56,L, 5.4440
    2,   4.930, 429.75, 56,L, 5.4745
    3,   4.940, 416.91, 56,L, 5.5246
    4,   4.950, 363.85, 56,E, 5.7364
    5,   4.960, 354.79, 56,E, 5.7733
    6,   4.970, 336.72, 56,E, 5.8478
    7,   4.980, 359.35, 56,E, 5.7547
    8,   4.990, 388.45, 56,L, 5.6372
    9,   5.000, 411.78, 56,L, 5.5447
   10,   5.010, 406.36, 56,L, 5.5661
   11,   5.020, 448.59, 56,L, 5.4019
   12,   5.030, 452.74, 55,L, 5.3860
   13,   5.040, 500.79, 55,L, 5.2057
   14,   5.050, 552.07, 55,L, 5.0198
   15,   5.060, 531.81, 55,L, 5.0925
   16,   5.070, 519.43, 55,L, 5.1373
   17,   5.080, 529.19, 55,L, 5.1019
   18,   5.090, 520.69, 55,L, 5.1328
   19,   5.100, 512.75, 55,L, 5.1617
   20,   5.110, 508.17, 55,L, 5.1785
