[SAMPLE PARAMETERS]
Time/Date of Scan,          10-Apr-2018   10:19:20
Study ID,                   TW
Sample ID,                  TW-9-103-1
File Name,                  TW-9-103-1
Species,                    PIPO
Operator,                   DV
Description,                Bad; very curved rings; CW
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             97
Step Size,                        1
Sample Length,               145.00
Measured Length,             132.91
Sample Thickness,              2.23
Late Wood Method,           Threshold
Late Wood Threshold,         500.00
Late Wood Deadband,           25.00
Target Density,              524.10
Actual Density,              524.84
Early Wood Maximum Density,  499.92
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  301.66
Pos of EW Min Density,        18.17
Late Wood Maximum Density,  1036.25
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   500.02
Pos of LW Min Density,        27.03
Avg % Late Wood in Sample,    47.77
Zero voltage,                  0.0467
Free air voltage,              6.8057
Mass Absorption Coefficient,   2.720490
Number of scanned data points,  13672
Number of used data points,     13137
[SAMPLE DATA]
    0,   4.740, 989.35, 97,L, 3.7393
    1,   4.750,1006.70, 97,L, 3.7003
    2,   4.760,1001.66, 97,L, 3.7115
    3,   4.770,1026.85, 97,L, 3.6554
    4,   4.780,1008.20, 97,L, 3.6969
    5,   4.790, 997.46, 97,L, 3.7210
    6,   4.800, 988.40, 97,L, 3.7415
    7,   4.810,1004.25, 97,L, 3.7057
    8,   4.820, 986.92, 97,L, 3.7448
    9,   4.830, 991.64, 97,L, 3.7341
   10,   4.840,1010.38, 97,L, 3.6920
   11,   4.850, 987.86, 97,L, 3.7427
   12,   4.860,1022.71, 97,L, 3.6646
   13,   4.870,1026.16, 97,L, 3.6569
   14,   4.880,1036.25, 97,L, 3.6346
   15,   4.890,1006.29, 97,L, 3.7012
   16,   4.900, 975.65, 97,L, 3.7704
   17,   4.910,1012.70, 97,L, 3.6868
   18,   4.920, 996.37, 97,L, 3.7234
   19,   4.930, 952.28, 97,L, 3.8242
   20,   4.940, 985.71, 97,L, 3.7476
   21,   4.950, 983.69, 97,L, 3.7521
   22,   4.960, 966.18, 97,L, 3.7921
   23,   4.970, 974.72, 97,L, 3.7726
   24,   4.980, 996.10, 97,L, 3.7241
   25,   4.990, 992.18, 97,L, 3.7329
   26,   5.000, 967.65, 97,L, 3.7888
   27,   5.010, 958.89, 97,L, 3.8089
   28,   5.020, 944.92, 97,L, 3.8412
   29,   5.030, 955.72, 97,L, 3.8162
   30,   5.040, 939.68, 97,L, 3.8535
   31,   5.050, 956.11, 97,L, 3.8153
   32,   5.060, 946.76, 97,L, 3.8370
   33,   5.070, 949.52, 97,L, 3.8306
   34,   5.080, 953.07, 97,L, 3.8223
   35,   5.090, 897.44, 97,L, 3.9532
   36,   5.100, 905.11, 97,L, 3.9349
   37,   5.110, 901.52, 97,L, 3.9435
   38,   5.120, 917.19, 97,L, 3.9063
   39,   5.130, 904.08, 97,L, 3.9374
   40,   5.140, 909.85, 97,L, 3.9236
   41,   5.150, 891.71, 97,L, 3.9670
   42,   5.160, 869.37, 97,L, 4.0210
   43,   5.170, 857.12, 97,L, 4.0509
   44,   5.180, 848.43, 97,L, 4.0723
   45,   5.190, 861.86, 97,L, 4.0393
   46,   5.200, 873.38, 97,L, 4.0112
   47,   5.210, 872.38, 97,L, 4.0137
   48,   5.220, 864.98, 97,L, 4.0317
   49,   5.230, 837.33, 97,L, 4.0997
   50,   5.240, 826.91, 97,L, 4.1257
   51,   5.250, 815.83, 97,L, 4.1534
   52,   5.260, 868.74, 97,L, 4.0225
   53,   5.270, 845.34, 97,L, 4.0799
   54,   5.280, 804.70, 97,L, 4.1815
   55,   5.290, 832.29, 97,L, 4.1122
   56,   5.300, 826.42, 96,L, 4.1269
   57,   5.310, 816.19, 96,L, 4.1525
   58,   5.320, 813.64, 96,L, 4.1589
   59,   5.330, 793.76, 96,L, 4.2093
   60,   5.340, 827.64, 96,L, 4.1238
   61,   5.350, 829.11, 96,L, 4.1202
   62,   5.360, 821.66, 96,L, 4.1388
   63,   5.370, 835.24, 96,L, 4.1049
   64,   5.380, 819.35, 96,L, 4.1446
   65,   5.390, 816.07, 96,L, 4.1528
   66,   5.400, 830.21, 96,L, 4.1174
   67,   5.410, 831.80, 96,L, 4.1135
   68,   5.420, 804.58, 96,L, 4.1818
   69,   5.430, 823.37, 96,L, 4.1345
   70,   5.440, 782.54, 96,L, 4.2380
   71,   5.450, 804.58, 96,L, 4.1818
   72,   5.460, 805.90, 96,L, 4.1785
   73,   5.470, 781.47, 96,L, 4.2407
   74,   5.480, 773.05, 96,L, 4.2624
   75,   5.490, 806.63, 96,L, 4.1766
   76,   5.500, 734.82, 96,L, 4.3622
   77,   5.510, 785.16, 96,L, 4.2313
   78,   5.520, 778.03, 96,L, 4.2496
   79,   5.530, 779.57, 96,L, 4.2456
   80,   5.540, 792.44, 96,L, 4.2126
   81,   5.550, 768.33, 96,L, 4.2746
   82,   5.560, 777.31, 96,L, 4.2514
   83,   5.570, 736.09, 96,L, 4.3588
   84,   5.580, 756.57, 96,L, 4.3051
   85,   5.590, 759.50, 96,L, 4.2975
   86,   5.600, 731.47, 96,L, 4.3710
   87,   5.610, 738.17, 96,L, 4.3533
   88,   5.620, 736.44, 96,L, 4.3579
   89,   5.630, 728.59, 96,L, 4.3787
   90,   5.640, 732.62, 96,L, 4.3680
   91,   5.650, 726.98, 96,L, 4.3829
   92,   5.660, 705.49, 96,L, 4.4403
   93,   5.670, 705.26, 96,L, 4.4409
   94,   5.680, 685.07, 96,L, 4.4955
   95,   5.690, 668.33, 96,L, 4.5413
   96,   5.700, 631.77, 96,L, 4.6429
   97,   5.710, 631.88, 96,L, 4.6426
   98,   5.720, 636.66, 96,L, 4.6292
   99,   5.730, 628.08, 96,L, 4.6533
  100,   5.740, 607.41, 96,L, 4.7119
  101,   5.750, 581.72, 96,L, 4.7858
  102,   5.760, 589.42, 96,L, 4.7635
  103,   5.770, 542.57, 96,L, 4.9005
  104,   5.780, 545.77, 96,L, 4.8911
  105,   5.790, 544.32, 96,L, 4.8953
  106,   5.800, 568.50, 96,L, 4.8242
  107,   5.810, 546.69, 96,L, 4.8883
  108,   5.820, 563.07, 96,L, 4.8401
  109,   5.830, 583.51, 96,L, 4.7806
  110,   5.840, 594.72, 96,L, 4.7482
  111,   5.850, 579.93, 96,L, 4.7910
  112,   5.860, 601.85, 96,L, 4.7278
  113,   5.870, 559.43, 96,L, 4.8508
  114,   5.880, 559.84, 96,L, 4.8495
  115,   5.890, 571.63, 96,L, 4.8151
  116,   5.900, 570.27, 96,L, 4.8190
  117,   5.910, 573.41, 96,L, 4.8099
  118,   5.920, 584.35, 96,L, 4.7781
  119,   5.930, 565.99, 96,L, 4.8315
  120,   5.940, 582.66, 96,L, 4.7830
  121,   5.950, 577.61, 96,L, 4.7977
  122,   5.960, 582.35, 96,L, 4.7839
  123,   5.970, 560.57, 96,L, 4.8474
  124,   5.980, 561.30, 96,L, 4.8453
  125,   5.990, 554.45, 96,L, 4.8654
  126,   6.000, 544.94, 96,L, 4.8935
  127,   6.010, 557.04, 96,L, 4.8578
  128,   6.020, 544.43, 96,L, 4.8950
  129,   6.030, 551.86, 96,L, 4.8730
  130,   6.040, 520.19, 96,L, 4.9673
  131,   6.050, 530.78, 96,L, 4.9356
  132,   6.060, 533.44, 96,L, 4.9277
  133,   6.070, 532.83, 96,L, 4.9295
  134,   6.080, 535.28, 96,L, 4.9222
  135,   6.090, 556.52, 96,L, 4.8593
  136,   6.100, 552.27, 96,L, 4.8718
  137,   6.110, 553.10, 96,L, 4.8694
  138,   6.120, 527.93, 96,L, 4.9442
  139,   6.130, 538.57, 96,L, 4.9124
  140,   6.140, 522.94, 96,L, 4.9591
  141,   6.150, 519.69, 96,L, 4.9689
  142,   6.160, 499.22, 96,E, 5.0308
  143,   6.170, 481.08, 96,E, 5.0864
  144,   6.180, 490.02, 96,E, 5.0589
  145,   6.190, 515.13, 96,L, 4.9826
  146,   6.200, 501.32, 96,L, 5.0244
  147,   6.210, 473.76, 96,E, 5.1089
  148,   6.220, 467.65, 96,E, 5.1279
  149,   6.230, 447.81, 96,E, 5.1898
  150,   6.240, 486.74, 96,E, 5.0690
  151,   6.250, 479.29, 96,E, 5.0919
  152,   6.260, 485.64, 96,E, 5.0723
  153,   6.270, 455.70, 96,E, 5.1651
  154,   6.280, 459.90, 96,E, 5.1520
  155,   6.290, 469.82, 96,E, 5.1212
  156,   6.300, 458.04, 96,E, 5.1578
  157,   6.310, 467.36, 96,E, 5.1288
  158,   6.320, 439.77, 96,E, 5.2151
  159,   6.330, 444.22, 96,E, 5.2011
  160,   6.340, 463.92, 96,E, 5.1395
  161,   6.350, 486.74, 96,E, 5.0690
  162,   6.360, 458.14, 96,E, 5.1575
  163,   6.370, 448.88, 96,E, 5.1865
  164,   6.380, 455.80, 96,E, 5.1648
  165,   6.390, 466.37, 96,E, 5.1318
  166,   6.400, 500.62, 96,L, 5.0266
  167,   6.410, 480.19, 96,E, 5.0891
  168,   6.420, 508.66, 96,L, 5.0021
  169,   6.430, 498.62, 96,E, 5.0327
  170,   6.440, 465.20, 96,E, 5.1355
  171,   6.450, 475.04, 96,E, 5.1050
  172,   6.460, 467.55, 96,E, 5.1282
  173,   6.470, 505.24, 96,L, 5.0125
  174,   6.480, 516.75, 96,L, 4.9777
  175,   6.490, 489.33, 96,E, 5.0610
  176,   6.500, 509.17, 96,L, 5.0006
  177,   6.510, 508.87, 95,L, 5.0015
  178,   6.520, 499.02, 95,E, 5.0314
  179,   6.530, 509.17, 95,L, 5.0006
  180,   6.540, 517.36, 95,L, 4.9759
  181,   6.550, 542.16, 95,L, 4.9017
  182,   6.560, 542.57, 95,L, 4.9005
  183,   6.570, 546.28, 95,L, 4.8895
  184,   6.580, 536.72, 95,L, 4.9179
  185,   6.590, 562.76, 95,L, 4.8410
  186,   6.600, 533.54, 95,L, 4.9274
  187,   6.610, 529.15, 95,L, 4.9405
  188,   6.620, 559.12, 95,L, 4.8517
  189,   6.630, 557.56, 95,L, 4.8563
  190,   6.640, 591.54, 95,L, 4.7574
  191,   6.650, 562.86, 95,L, 4.8407
  192,   6.660, 553.10, 95,L, 4.8694
  193,   6.670, 562.55, 95,L, 4.8416
  194,   6.680, 583.82, 95,L, 4.7797
  195,   6.690, 578.77, 95,L, 4.7943
  196,   6.700, 603.13, 95,L, 4.7241
  197,   6.710, 597.28, 95,L, 4.7409
  198,   6.720, 597.28, 95,L, 4.7409
  199,   6.730, 597.38, 95,L, 4.7406
