[SAMPLE PARAMETERS]
Time/Date of Scan,          14-Mar-2018   15:52:33
Study ID,                   WQA
Sample ID,                  TW-17-19-5
File Name,                  TW-17-19-5
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             43
Step Size,                        1
Sample Length,               150.00
Measured Length,             137.93
Sample Thickness,              2.29
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              422.20
Actual Density,              424.02
Early Wood Maximum Density,  425.00
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  251.14
Pos of EW Min Density,        99.00
Late Wood Maximum Density,   940.10
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.09
Pos of LW Min Density,        25.46
Avg % Late Wood in Sample,    32.48
Zero voltage,                  0.0427
Free air voltage,              7.0999
Mass Absorption Coefficient,   2.682200
Number of scanned data points,  15000
Number of used data points,     13548
[SAMPLE DATA]
    0,   3.180, 322.71, 43,E, 5.8258
    1,   3.190, 329.65, 43,E, 5.8011
    2,   3.200, 327.25, 43,E, 5.8096
    3,   3.210, 325.37, 43,E, 5.8163
    4,   3.220, 313.34, 43,E, 5.8594
    5,   3.230, 294.83, 43,E, 5.9262
    6,   3.240, 320.15, 43,E, 5.8350
    7,   3.250, 308.25, 43,E, 5.8777
    8,   3.260, 304.78, 43,E, 5.8902
    9,   3.270, 300.98, 43,E, 5.9039
   10,   3.280, 287.12, 43,E, 5.9543
   11,   3.290, 307.57, 43,E, 5.8801
   12,   3.300, 321.18, 43,E, 5.8313
   13,   3.310, 299.46, 43,E, 5.9094
   14,   3.320, 298.20, 43,E, 5.9140
   15,   3.330, 304.27, 43,E, 5.8920
   16,   3.340, 320.49, 43,E, 5.8337
   17,   3.350, 306.47, 43,E, 5.8841
   18,   3.360, 291.73, 43,E, 5.9375
   19,   3.370, 296.09, 43,E, 5.9216
   20,   3.380, 295.17, 43,E, 5.9250
   21,   3.390, 300.14, 43,E, 5.9070
   22,   3.400, 295.84, 43,E, 5.9225
   23,   3.410, 325.88, 43,E, 5.8145
   24,   3.420, 314.19, 43,E, 5.8563
   25,   3.430, 335.50, 43,E, 5.7803
   26,   3.440, 314.10, 43,E, 5.8566
   27,   3.450, 318.10, 43,E, 5.8423
   28,   3.460, 313.42, 43,E, 5.8591
   29,   3.470, 318.27, 43,E, 5.8417
   30,   3.480, 295.67, 43,E, 5.9232
   31,   3.490, 310.96, 43,E, 5.8679
   32,   3.500, 299.04, 43,E, 5.9109
   33,   3.510, 311.30, 43,E, 5.8667
   34,   3.520, 301.65, 43,E, 5.9015
   35,   3.530, 318.36, 43,E, 5.8414
   36,   3.540, 290.22, 43,E, 5.9430
   37,   3.550, 310.88, 43,E, 5.8682
   38,   3.560, 307.91, 43,E, 5.8789
   39,   3.570, 309.69, 43,E, 5.8725
   40,   3.580, 328.71, 43,E, 5.8044
   41,   3.590, 290.64, 43,E, 5.9415
   42,   3.600, 299.55, 43,E, 5.9091
   43,   3.610, 336.79, 43,E, 5.7758
   44,   3.620, 312.06, 43,E, 5.8640
   45,   3.630, 322.80, 43,E, 5.8255
   46,   3.640, 326.74, 43,E, 5.8115
   47,   3.650, 312.83, 43,E, 5.8612
   48,   3.660, 297.61, 43,E, 5.9161
   49,   3.670, 305.20, 43,E, 5.8887
   50,   3.680, 339.38, 43,E, 5.7666
   51,   3.690, 308.84, 43,E, 5.8755
   52,   3.700, 301.06, 43,E, 5.9036
   53,   3.710, 299.55, 43,E, 5.9091
   54,   3.720, 314.87, 43,E, 5.8539
   55,   3.730, 304.86, 43,E, 5.8899
   56,   3.740, 311.72, 43,E, 5.8652
   57,   3.750, 309.52, 43,E, 5.8731
   58,   3.760, 329.31, 43,E, 5.8023
   59,   3.770, 319.81, 43,E, 5.8362
   60,   3.780, 313.34, 43,E, 5.8594
   61,   3.790, 302.92, 43,E, 5.8969
   62,   3.800, 318.45, 43,E, 5.8411
   63,   3.810, 347.26, 43,E, 5.7388
   64,   3.820, 333.52, 43,E, 5.7874
   65,   3.830, 311.98, 43,E, 5.8643
   66,   3.840, 327.08, 43,E, 5.8102
   67,   3.850, 309.52, 43,E, 5.8731
   68,   3.860, 331.80, 43,E, 5.7935
   69,   3.870, 368.92, 43,E, 5.6631
   70,   3.880, 344.14, 43,E, 5.7498
   71,   3.890, 325.45, 43,E, 5.8160
   72,   3.900, 346.56, 43,E, 5.7413
   73,   3.910, 368.74, 43,E, 5.6638
   74,   3.920, 386.69, 43,E, 5.6018
   75,   3.930, 403.75, 42,E, 5.5435
   76,   3.940, 447.08, 42,L, 5.3983
   77,   3.950, 507.11, 42,L, 5.2032
   78,   3.960, 558.83, 42,L, 5.0409
   79,   3.970, 591.66, 42,L, 4.9405
   80,   3.980, 623.00, 42,L, 4.8465
   81,   3.990, 696.02, 42,L, 4.6344
   82,   4.000, 770.31, 42,L, 4.4281
   83,   4.010, 837.11, 42,L, 4.2505
   84,   4.020, 849.93, 42,L, 4.2172
   85,   4.030, 874.43, 42,L, 4.1544
   86,   4.040, 853.83, 42,L, 4.2072
   87,   4.050, 846.27, 42,L, 4.2267
   88,   4.060, 823.46, 42,L, 4.2862
   89,   4.070, 784.54, 42,L, 4.3896
   90,   4.080, 812.23, 42,L, 4.3158
   91,   4.090, 787.61, 42,L, 4.3814
   92,   4.100, 774.93, 42,L, 4.4156
   93,   4.110, 780.13, 42,L, 4.4016
   94,   4.120, 772.68, 42,L, 4.4217
   95,   4.130, 777.75, 42,L, 4.4080
   96,   4.140, 753.53, 42,L, 4.4739
   97,   4.150, 751.09, 42,L, 4.4806
   98,   4.160, 761.68, 42,L, 4.4516
   99,   4.170, 750.98, 42,L, 4.4809
  100,   4.180, 740.12, 42,L, 4.5108
  101,   4.190, 732.41, 42,L, 4.5322
  102,   4.200, 744.32, 42,L, 4.4992
  103,   4.210, 719.28, 42,L, 4.5688
  104,   4.220, 701.83, 42,L, 4.6179
  105,   4.230, 700.43, 42,L, 4.6219
  106,   4.240, 695.37, 42,L, 4.6362
  107,   4.250, 671.70, 42,L, 4.7040
  108,   4.260, 687.12, 42,L, 4.6597
  109,   4.270, 687.34, 42,L, 4.6591
  110,   4.280, 674.99, 42,L, 4.6945
  111,   4.290, 641.08, 42,L, 4.7931
  112,   4.300, 621.46, 42,L, 4.8511
  113,   4.310, 642.95, 42,L, 4.7876
  114,   4.320, 632.48, 42,L, 4.8184
  115,   4.330, 589.04, 42,L, 4.9484
  116,   4.340, 578.91, 42,L, 4.9792
  117,   4.350, 522.98, 42,L, 5.1529
  118,   4.360, 507.69, 42,L, 5.2014
  119,   4.370, 499.47, 42,L, 5.2277
  120,   4.380, 464.70, 42,L, 5.3403
  121,   4.390, 461.63, 42,L, 5.3503
  122,   4.400, 457.35, 42,L, 5.3644
  123,   4.410, 442.75, 42,L, 5.4126
  124,   4.420, 432.30, 42,L, 5.4474
  125,   4.430, 420.37, 42,E, 5.4874
  126,   4.440, 416.92, 42,E, 5.4990
  127,   4.450, 387.22, 42,E, 5.6000
  128,   4.460, 388.64, 42,E, 5.5951
  129,   4.470, 406.27, 42,E, 5.5350
  130,   4.480, 375.26, 42,E, 5.6412
  131,   4.490, 353.43, 42,E, 5.7172
  132,   4.500, 399.27, 42,E, 5.5588
  133,   4.510, 400.25, 42,E, 5.5554
  134,   4.520, 378.44, 42,E, 5.6302
  135,   4.530, 394.88, 42,E, 5.5737
  136,   4.540, 377.91, 42,E, 5.6320
  137,   4.550, 372.97, 42,E, 5.6491
  138,   4.560, 368.74, 42,E, 5.6638
  139,   4.570, 364.79, 42,E, 5.6775
  140,   4.580, 365.84, 42,E, 5.6738
  141,   4.590, 371.29, 42,E, 5.6549
  142,   4.600, 371.29, 42,E, 5.6549
  143,   4.610, 344.48, 42,E, 5.7486
  144,   4.620, 358.31, 42,E, 5.7001
  145,   4.630, 384.38, 42,E, 5.6097
  146,   4.640, 376.41, 42,E, 5.6372
  147,   4.650, 366.11, 42,E, 5.6729
  148,   4.660, 388.02, 42,E, 5.5972
  149,   4.670, 383.14, 42,E, 5.6140
  150,   4.680, 394.26, 42,E, 5.5759
  151,   4.690, 409.87, 42,E, 5.5228
  152,   4.700, 377.11, 42,E, 5.6348
  153,   4.710, 372.97, 42,E, 5.6491
  154,   4.720, 378.26, 42,E, 5.6308
  155,   4.730, 385.62, 42,E, 5.6055
  156,   4.740, 377.11, 42,E, 5.6348
  157,   4.750, 348.82, 42,E, 5.7333
  158,   4.760, 369.18, 42,E, 5.6622
  159,   4.770, 352.30, 42,E, 5.7211
  160,   4.780, 354.82, 42,E, 5.7123
  161,   4.790, 358.14, 42,E, 5.7007
  162,   4.800, 384.02, 42,E, 5.6110
  163,   4.810, 368.21, 42,E, 5.6656
  164,   4.820, 372.53, 42,E, 5.6506
  165,   4.830, 362.95, 42,E, 5.6839
  166,   4.840, 370.76, 42,E, 5.6567
  167,   4.850, 373.50, 42,E, 5.6473
  168,   4.860, 338.43, 42,E, 5.7700
  169,   4.870, 317.59, 42,E, 5.8441
  170,   4.880, 347.00, 42,E, 5.7397
  171,   4.890, 356.57, 42,E, 5.7062
  172,   4.900, 338.60, 42,E, 5.7693
  173,   4.910, 309.86, 42,E, 5.8719
  174,   4.920, 337.39, 42,E, 5.7736
  175,   4.930, 361.90, 42,E, 5.6876
  176,   4.940, 347.00, 42,E, 5.7397
  177,   4.950, 336.10, 42,E, 5.7782
  178,   4.960, 348.12, 42,E, 5.7358
  179,   4.970, 336.45, 42,E, 5.7770
  180,   4.980, 331.03, 42,E, 5.7962
  181,   4.990, 346.82, 42,E, 5.7404
  182,   5.000, 344.05, 42,E, 5.7501
  183,   5.010, 341.19, 42,E, 5.7602
  184,   5.020, 340.42, 42,E, 5.7629
  185,   5.030, 332.92, 42,E, 5.7895
  186,   5.040, 332.92, 42,E, 5.7895
  187,   5.050, 348.38, 42,E, 5.7349
  188,   5.060, 330.77, 42,E, 5.7971
  189,   5.070, 333.60, 42,E, 5.7870
  190,   5.080, 315.12, 42,E, 5.8530
  191,   5.090, 344.92, 42,E, 5.7471
  192,   5.100, 364.09, 42,E, 5.6799
  193,   5.110, 365.32, 42,E, 5.6757
  194,   5.120, 348.04, 42,E, 5.7361
  195,   5.130, 338.95, 42,E, 5.7681
  196,   5.140, 341.45, 42,E, 5.7593
  197,   5.150, 339.03, 42,E, 5.7678
  198,   5.160, 336.19, 42,E, 5.7779
  199,   5.170, 322.54, 42,E, 5.8264
  200,   5.180, 313.25, 42,E, 5.8597
  201,   5.190, 344.14, 42,E, 5.7498
  202,   5.200, 320.24, 42,E, 5.8347
  203,   5.210, 349.86, 42,E, 5.7297
  204,   5.220, 319.21, 42,E, 5.8383
  205,   5.230, 307.23, 42,E, 5.8813
  206,   5.240, 292.65, 42,E, 5.9341
  207,   5.250, 315.89, 42,E, 5.8502
  208,   5.260, 330.34, 42,E, 5.7986
  209,   5.270, 315.89, 42,E, 5.8502
  210,   5.280, 295.67, 42,E, 5.9232
  211,   5.290, 300.30, 42,E, 5.9064
  212,   5.300, 303.34, 42,E, 5.8954
  213,   5.310, 328.45, 42,E, 5.8054
  214,   5.320, 321.09, 42,E, 5.8316
  215,   5.330, 312.57, 42,E, 5.8621
  216,   5.340, 309.35, 42,E, 5.8737
  217,   5.350, 278.53, 42,E, 5.9857
  218,   5.360, 307.23, 42,E, 5.8813
  219,   5.370, 330.08, 42,E, 5.7996
  220,   5.380, 313.51, 42,E, 5.8588
  221,   5.390, 288.88, 42,E, 5.9479
  222,   5.400, 292.90, 42,E, 5.9332
  223,   5.410, 295.09, 42,E, 5.9253
  224,   5.420, 341.02, 42,E, 5.7608
  225,   5.430, 315.98, 42,E, 5.8499
  226,   5.440, 293.07, 42,E, 5.9326
