[SAMPLE PARAMETERS]
Time/Date of Scan,          16-Mar-2018   13:19:38
Study ID,                   WQA
Sample ID,                  TW-4-327-2
File Name,                  TW-4-327-2
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             84
Step Size,                        1
Sample Length,                95.00
Measured Length,              87.14
Sample Thickness,              2.30
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              448.70
Actual Density,              449.10
Early Wood Maximum Density,  424.85
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  276.89
Pos of EW Min Density,        42.01
Late Wood Maximum Density,   918.07
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.03
Pos of LW Min Density,        21.27
Avg % Late Wood in Sample,    44.18
Zero voltage,                  0.0449
Free air voltage,              7.0615
Mass Absorption Coefficient,   2.693155
Number of scanned data points,   9187
Number of used data points,      8527
[SAMPLE DATA]
    0,   2.930, 823.91, 84,L, 4.2389
    1,   2.940, 696.78, 84,L, 4.5862
    2,   2.950, 557.12, 84,L, 5.0006
    3,   2.960, 528.70, 84,L, 5.0894
    4,   2.970, 544.75, 84,L, 5.0391
    5,   2.980, 577.44, 84,L, 4.9380
    6,   2.990, 577.74, 83,L, 4.9371
    7,   3.000, 575.05, 83,L, 4.9454
    8,   3.010, 546.41, 83,L, 5.0339
    9,   3.020, 513.09, 83,L, 5.1389
   10,   3.030, 449.36, 83,L, 5.3458
   11,   3.040, 419.60, 83,E, 5.4453
   12,   3.050, 399.01, 83,E, 5.5151
   13,   3.060, 427.30, 83,L, 5.4193
   14,   3.070, 427.40, 83,L, 5.4190
   15,   3.080, 446.60, 83,L, 5.3549
   16,   3.090, 438.16, 83,L, 5.3830
   17,   3.100, 467.62, 83,L, 5.2856
   18,   3.110, 470.33, 83,L, 5.2768
   19,   3.120, 498.20, 83,L, 5.1865
   20,   3.130, 470.61, 83,L, 5.2759
   21,   3.140, 445.68, 83,L, 5.3580
   22,   3.150, 447.89, 83,L, 5.3506
   23,   3.160, 411.11, 83,E, 5.4739
   24,   3.170, 418.24, 83,E, 5.4498
   25,   3.180, 440.54, 83,L, 5.3751
   26,   3.190, 432.86, 83,L, 5.4007
   27,   3.200, 406.35, 83,E, 5.4901
   28,   3.210, 410.66, 83,E, 5.4755
   29,   3.220, 411.02, 83,E, 5.4742
   30,   3.230, 402.76, 83,E, 5.5023
   31,   3.240, 416.43, 83,E, 5.4559
   32,   3.250, 396.87, 83,E, 5.5225
   33,   3.260, 392.68, 83,E, 5.5368
   34,   3.270, 398.03, 83,E, 5.5185
   35,   3.280, 377.27, 83,E, 5.5899
   36,   3.290, 389.21, 83,E, 5.5487
   37,   3.300, 422.86, 83,E, 5.4343
   38,   3.310, 411.38, 83,E, 5.4730
   39,   3.320, 406.98, 83,E, 5.4880
   40,   3.330, 424.49, 83,E, 5.4288
   41,   3.340, 402.50, 83,E, 5.5032
   42,   3.350, 398.47, 83,E, 5.5170
   43,   3.360, 399.63, 83,E, 5.5130
   44,   3.370, 406.62, 83,E, 5.4892
   45,   3.380, 385.40, 83,E, 5.5618
   46,   3.390, 375.68, 83,E, 5.5954
   47,   3.400, 372.60, 83,E, 5.6061
   48,   3.410, 424.85, 83,E, 5.4276
   49,   3.420, 494.69, 82,L, 5.1978
   50,   3.430, 573.26, 82,L, 4.9509
   51,   3.440, 616.52, 82,L, 4.8199
   52,   3.450, 665.50, 82,L, 4.6759
   53,   3.460, 653.01, 82,L, 4.7122
   54,   3.470, 603.09, 82,L, 4.8602
   55,   3.480, 584.54, 82,L, 4.9164
   56,   3.490, 535.59, 82,L, 5.0677
   57,   3.500, 518.37, 82,L, 5.1221
   58,   3.510, 487.88, 82,L, 5.2197
   59,   3.520, 494.88, 82,L, 5.1971
   60,   3.530, 469.02, 82,L, 5.2811
   61,   3.540, 443.84, 82,L, 5.3641
   62,   3.550, 451.95, 82,L, 5.3372
   63,   3.560, 429.58, 82,L, 5.4117
   64,   3.570, 437.15, 82,L, 5.3864
   65,   3.580, 398.74, 82,E, 5.5161
   66,   3.590, 413.73, 82,E, 5.4651
   67,   3.600, 397.13, 82,E, 5.5215
   68,   3.610, 378.33, 82,E, 5.5862
   69,   3.620, 367.95, 82,E, 5.6223
   70,   3.630, 375.68, 82,E, 5.5954
   71,   3.640, 363.32, 82,E, 5.6384
   72,   3.650, 366.46, 82,E, 5.6274
   73,   3.660, 342.82, 82,E, 5.7104
   74,   3.670, 360.26, 82,E, 5.6491
   75,   3.680, 351.39, 82,E, 5.6802
   76,   3.690, 345.24, 82,E, 5.7019
   77,   3.700, 347.14, 82,E, 5.6952
   78,   3.710, 360.00, 82,E, 5.6500
   79,   3.720, 338.00, 82,E, 5.7275
   80,   3.730, 342.65, 82,E, 5.7111
   81,   3.740, 354.43, 82,E, 5.6696
   82,   3.750, 339.89, 82,E, 5.7208
   83,   3.760, 313.25, 82,E, 5.8160
   84,   3.770, 320.89, 82,E, 5.7886
   85,   3.780, 340.58, 82,E, 5.7184
   86,   3.790, 340.15, 82,E, 5.7199
