[SAMPLE PARAMETERS]
Time/Date of Scan,          22-Feb-2018   08:54:49
Study ID,                   WQA
Sample ID,                  TW-2-316-1
File Name,                  TW-2-316-1
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,                No
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             98
Step Size,                        1
Sample Length,               165.00
Measured Length,             149.69
Sample Thickness,              2.31
Late Wood Method,           Threshold
Late Wood Threshold,         450.00
Late Wood Deadband,           25.00
Target Density,              442.60
Actual Density,              442.60
Early Wood Maximum Density,  449.95
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  246.17
Pos of EW Min Density,       143.67
Late Wood Maximum Density,   891.38
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   450.03
Pos of LW Min Density,       121.69
Avg % Late Wood in Sample,    36.03
Zero voltage,                  0.0552
Free air voltage,              7.6523
Mass Absorption Coefficient,   2.867720
Number of scanned data points,  16500
Number of used data points,     14933
[SAMPLE DATA]
    0,  10.620, 509.17, 98,L, 5.4614
    1,  10.630, 539.41, 98,L, 5.3531
    2,  10.640, 578.64, 98,L, 5.2158
    3,  10.650, 638.65, 97,L, 5.0125
    4,  10.660, 674.64, 97,L, 4.8944
    5,  10.670, 707.27, 97,L, 4.7897
    6,  10.680, 767.72, 97,L, 4.6017
    7,  10.690, 768.82, 97,L, 4.5984
    8,  10.700, 805.42, 97,L, 4.4882
    9,  10.710, 818.83, 97,L, 4.4485
   10,  10.720, 848.42, 97,L, 4.3622
   11,  10.730, 891.38, 97,L, 4.2398
   12,  10.740, 876.99, 97,L, 4.2804
   13,  10.750, 880.77, 97,L, 4.2697
   14,  10.760, 874.20, 97,L, 4.2883
   15,  10.770, 859.55, 97,L, 4.3301
   16,  10.780, 865.20, 97,L, 4.3140
   17,  10.790, 850.96, 97,L, 4.3549
   18,  10.800, 845.36, 97,L, 4.3710
   19,  10.810, 842.41, 97,L, 4.3796
   20,  10.820, 799.89, 97,L, 4.5047
   21,  10.830, 764.42, 97,L, 4.6118
   22,  10.840, 775.44, 97,L, 4.5782
   23,  10.850, 736.21, 97,L, 4.6988
   24,  10.860, 752.58, 97,L, 4.6481
   25,  10.870, 714.89, 97,L, 4.7656
   26,  10.880, 683.32, 97,L, 4.8663
   27,  10.890, 656.95, 97,L, 4.9521
   28,  10.900, 653.05, 97,L, 4.9649
   29,  10.910, 639.75, 97,L, 5.0089
   30,  10.920, 608.53, 97,L, 5.1135
   31,  10.930, 612.59, 97,L, 5.0998
   32,  10.940, 615.03, 97,L, 5.0916
   33,  10.950, 602.05, 97,L, 5.1355
   34,  10.960, 619.38, 97,L, 5.0769
   35,  10.970, 609.34, 97,L, 5.1108
   36,  10.980, 612.05, 97,L, 5.1016
   37,  10.990, 568.96, 97,L, 5.2493
   38,  11.000, 587.68, 97,L, 5.1846
   39,  11.010, 540.19, 97,L, 5.3503
   40,  11.020, 519.75, 97,L, 5.4233
   41,  11.030, 513.56, 97,L, 5.4456
   42,  11.040, 509.08, 97,L, 5.4617
   43,  11.050, 479.51, 97,L, 5.5698
   44,  11.060, 459.71, 97,L, 5.6433
   45,  11.070, 458.81, 97,L, 5.6467
   46,  11.080, 458.16, 97,L, 5.6491
   47,  11.090, 429.57, 97,E, 5.7571
   48,  11.100, 423.02, 97,E, 5.7822
   49,  11.110, 420.31, 97,E, 5.7925
   50,  11.120, 402.29, 97,E, 5.8621
   51,  11.130, 423.42, 97,E, 5.7806
   52,  11.140, 393.82, 97,E, 5.8951
   53,  11.150, 396.25, 97,E, 5.8856
   54,  11.160, 384.63, 97,E, 5.9311
   55,  11.170, 376.88, 97,E, 5.9616
   56,  11.180, 392.34, 97,E, 5.9009
   57,  11.190, 380.29, 97,E, 5.9482
   58,  11.200, 380.29, 97,E, 5.9482
   59,  11.210, 380.13, 97,E, 5.9488
   60,  11.220, 381.91, 97,E, 5.9418
   61,  11.230, 373.33, 97,E, 5.9756
   62,  11.240, 365.34, 97,E, 6.0074
   63,  11.250, 356.16, 97,E, 6.0440
   64,  11.260, 361.35, 97,E, 6.0233
   65,  11.270, 356.24, 97,E, 6.0437
   66,  11.280, 373.64, 97,E, 5.9744
   67,  11.290, 372.72, 97,E, 5.9781
   68,  11.300, 367.56, 97,E, 5.9985
   69,  11.310, 336.10, 97,E, 6.1249
   70,  11.320, 358.45, 97,E, 6.0349
   71,  11.330, 367.33, 97,E, 5.9995
   72,  11.340, 401.74, 97,E, 5.8643
   73,  11.350, 378.27, 97,E, 5.9561
   74,  11.360, 402.52, 97,E, 5.8612
   75,  11.370, 421.19, 97,E, 5.7892
   76,  11.380, 448.73, 97,E, 5.6845
   77,  11.390, 452.38, 96,L, 5.6708
   78,  11.400, 508.32, 96,L, 5.4645
   79,  11.410, 503.02, 96,L, 5.4837
   80,  11.420, 534.77, 96,L, 5.3696
   81,  11.430, 538.29, 96,L, 5.3571
   82,  11.440, 557.86, 96,L, 5.2881
   83,  11.450, 591.15, 96,L, 5.1727
   84,  11.460, 595.16, 96,L, 5.1590
   85,  11.470, 630.31, 96,L, 5.0403
   86,  11.480, 655.65, 96,L, 4.9564
   87,  11.490, 669.00, 96,L, 4.9127
   88,  11.500, 664.23, 96,L, 4.9283
   89,  11.510, 667.13, 96,L, 4.9188
   90,  11.520, 689.01, 96,L, 4.8480
   91,  11.530, 663.67, 96,L, 4.9301
   92,  11.540, 686.93, 96,L, 4.8547
   93,  11.550, 727.12, 96,L, 4.7272
   94,  11.560, 733.86, 96,L, 4.7061
   95,  11.570, 746.44, 96,L, 4.6671
   96,  11.580, 749.80, 96,L, 4.6567
   97,  11.590, 723.71, 96,L, 4.7379
   98,  11.600, 722.65, 96,L, 4.7412
   99,  11.610, 718.28, 96,L, 4.7549
  100,  11.620, 708.91, 96,L, 4.7845
  101,  11.630, 674.07, 96,L, 4.8962
  102,  11.640, 660.49, 96,L, 4.9405
  103,  11.650, 645.55, 96,L, 4.9896
  104,  11.660, 621.47, 96,L, 5.0699
  105,  11.670, 598.47, 96,L, 5.1477
  106,  11.680, 611.32, 96,L, 5.1041
  107,  11.690, 554.64, 96,L, 5.2994
  108,  11.700, 494.56, 96,L, 5.5145
  109,  11.710, 488.72, 96,L, 5.5359
  110,  11.720, 489.31, 96,L, 5.5338
  111,  11.730, 457.10, 96,L, 5.6531
  112,  11.740, 434.70, 96,E, 5.7376
  113,  11.750, 411.35, 96,E, 5.8270
  114,  11.760, 383.85, 96,E, 5.9341
  115,  11.770, 391.01, 96,E, 5.9061
  116,  11.780, 398.28, 96,E, 5.8777
  117,  11.790, 382.69, 96,E, 5.9387
  118,  11.800, 395.70, 96,E, 5.8878
  119,  11.810, 371.95, 96,E, 5.9811
  120,  11.820, 370.79, 96,E, 5.9857
  121,  11.830, 367.48, 96,E, 5.9988
  122,  11.840, 370.79, 96,E, 5.9857
  123,  11.850, 350.23, 96,E, 6.0678
  124,  11.860, 358.76, 96,E, 6.0336
  125,  11.870, 377.19, 96,E, 5.9604
  126,  11.880, 368.56, 96,E, 5.9946
  127,  11.890, 350.15, 96,E, 6.0681
  128,  11.900, 364.26, 96,E, 6.0117
  129,  11.910, 363.73, 96,E, 6.0138
  130,  11.920, 362.88, 96,E, 6.0172
  131,  11.930, 345.53, 96,E, 6.0867
  132,  11.940, 352.89, 96,E, 6.0571
  133,  11.950, 337.75, 96,E, 6.1182
  134,  11.960, 353.42, 96,E, 6.0550
  135,  11.970, 334.22, 96,E, 6.1325
  136,  11.980, 333.92, 96,E, 6.1337
  137,  11.990, 331.59, 96,E, 6.1432
  138,  12.000, 334.22, 96,E, 6.1325
  139,  12.010, 308.30, 96,E, 6.2387
  140,  12.020, 321.72, 96,E, 6.1835
  141,  12.030, 318.60, 96,E, 6.1963
  142,  12.040, 328.07, 96,E, 6.1575
  143,  12.050, 323.89, 96,E, 6.1746
  144,  12.060, 311.33, 96,E, 6.2262
  145,  12.070, 327.40, 96,E, 6.1603
  146,  12.080, 309.11, 96,E, 6.2354
  147,  12.090, 302.70, 96,E, 6.2619
  148,  12.100, 296.82, 96,E, 6.2863
  149,  12.110, 290.97, 96,E, 6.3107
  150,  12.120, 289.22, 96,E, 6.3181
  151,  12.130, 301.82, 96,E, 6.2656
  152,  12.140, 268.22, 96,E, 6.4066
  153,  12.150, 287.04, 96,E, 6.3272
  154,  12.160, 289.59, 96,E, 6.3165
