[SAMPLE PARAMETERS]
Time/Date of Scan,          18-Apr-2018   08:42:33
Study ID,                   TW
Sample ID,                  TW-11-185-7
File Name,                  TW-11-185-7
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             25
Step Size,                        1
Sample Length,                80.00
Measured Length,              68.26
Sample Thickness,              2.24
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              402.20
Actual Density,              402.16
Early Wood Maximum Density,  425.00
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  265.06
Pos of EW Min Density,        42.18
Late Wood Maximum Density,   845.22
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.09
Pos of LW Min Density,        12.47
Avg % Late Wood in Sample,    23.51
Zero voltage,                  0.0439
Free air voltage,              6.8021
Mass Absorption Coefficient,   2.862693
Number of scanned data points,   7797
Number of used data points,      6568
[SAMPLE DATA]
    0,   2.690, 440.79, 25,L, 5.1273
    1,   2.700, 436.25, 25,L, 5.1422
    2,   2.710, 423.81, 25,E, 5.1834
    3,   2.720, 398.67, 25,E, 5.2676
    4,   2.730, 392.99, 25,E, 5.2869
    5,   2.740, 403.37, 25,E, 5.2518
    6,   2.750, 363.12, 25,E, 5.3891
    7,   2.760, 370.29, 25,E, 5.3644
    8,   2.770, 339.37, 25,E, 5.4718
    9,   2.780, 337.02, 25,E, 5.4800
   10,   2.790, 363.83, 25,E, 5.3867
   11,   2.800, 365.51, 25,E, 5.3809
   12,   2.810, 350.37, 25,E, 5.4333
   13,   2.820, 357.04, 25,E, 5.4102
   14,   2.830, 381.15, 25,E, 5.3271
   15,   2.840, 356.95, 25,E, 5.4105
   16,   2.850, 384.01, 25,E, 5.3174
   17,   2.860, 359.33, 25,E, 5.4022
   18,   2.870, 379.01, 25,E, 5.3345
   19,   2.880, 382.76, 25,E, 5.3217
   20,   2.890, 392.00, 25,E, 5.2902
   21,   2.900, 418.12, 25,E, 5.2023
   22,   2.910, 414.20, 25,E, 5.2155
   23,   2.920, 396.68, 25,E, 5.2744
   24,   2.930, 386.79, 25,E, 5.3079
   25,   2.940, 394.61, 25,E, 5.2814
   26,   2.950, 396.41, 25,E, 5.2753
   27,   2.960, 411.28, 25,E, 5.2252
   28,   2.970, 388.94, 25,E, 5.3006
   29,   2.980, 407.28, 25,E, 5.2386
   30,   2.990, 373.84, 25,E, 5.3522
   31,   3.000, 433.11, 25,L, 5.1526
   32,   3.010, 405.73, 25,E, 5.2438
   33,   3.020, 410.00, 25,E, 5.2295
   34,   3.030, 389.93, 25,E, 5.2972
   35,   3.040, 394.61, 25,E, 5.2814
   36,   3.050, 407.28, 25,E, 5.2386
   37,   3.060, 370.11, 25,E, 5.3650
   38,   3.070, 402.83, 25,E, 5.2536
   39,   3.080, 367.36, 25,E, 5.3745
   40,   3.090, 375.18, 25,E, 5.3476
   41,   3.100, 362.68, 25,E, 5.3906
   42,   3.110, 335.72, 25,E, 5.4846
   43,   3.120, 338.41, 25,E, 5.4752
   44,   3.130, 363.74, 25,E, 5.3870
   45,   3.140, 347.39, 25,E, 5.4437
   46,   3.150, 333.64, 25,E, 5.4919
   47,   3.160, 330.18, 25,E, 5.5042
