[SAMPLE PARAMETERS]
Time/Date of Scan,          30-Apr-2018   10:52:12
Study ID,                   TW
Sample ID,                  TW-15-76-7
File Name,                  TW-15-76-7
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             10
Step Size,                        1
Sample Length,                60.00
Measured Length,              47.22
Sample Thickness,              2.25
Late Wood Method,           Threshold
Late Wood Threshold,         400.00
Late Wood Deadband,           25.00
Target Density,              381.30
Actual Density,              382.11
Early Wood Maximum Density,  399.99
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  225.03
Pos of EW Min Density,        42.98
Late Wood Maximum Density,   754.61
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   400.08
Pos of LW Min Density,         9.99
Avg % Late Wood in Sample,    27.89
Zero voltage,                  0.0375
Free air voltage,              6.6373
Mass Absorption Coefficient,   2.912557
Number of scanned data points,   5835
Number of used data points,      4654
[SAMPLE DATA]
    0,   2.640, 290.83, 10,E, 5.4855
    1,   2.650, 303.19, 10,E, 5.4413
    2,   2.660, 309.10, 10,E, 5.4202
    3,   2.670, 298.14, 10,E, 5.4593
    4,   2.680, 312.03, 10,E, 5.4099
    5,   2.690, 280.84, 10,E, 5.5215
    6,   2.700, 300.96, 10,E, 5.4492
    7,   2.710, 311.34, 10,E, 5.4123
    8,   2.720, 290.57, 10,E, 5.4865
    9,   2.730, 299.51, 10,E, 5.4544
   10,   2.740, 282.53, 10,E, 5.5154
   11,   2.750, 278.48, 10,E, 5.5301
   12,   2.760, 288.11, 10,E, 5.4953
   13,   2.770, 289.38, 10,E, 5.4907
   14,   2.780, 305.16, 10,E, 5.4343
   15,   2.790, 288.88, 10,E, 5.4926
   16,   2.800, 279.41, 10,E, 5.5267
   17,   2.810, 270.08, 10,E, 5.5606
   18,   2.820, 273.61, 10,E, 5.5478
   19,   2.830, 278.31, 10,E, 5.5307
   20,   2.840, 271.51, 10,E, 5.5554
   21,   2.850, 269.75, 10,E, 5.5618
   22,   2.860, 275.54, 10,E, 5.5408
   23,   2.870, 297.38, 10,E, 5.4620
   24,   2.880, 284.05, 10,E, 5.5099
   25,   2.890, 267.82, 10,E, 5.5688
   26,   2.900, 260.32, 10,E, 5.5963
   27,   2.910, 262.15, 10,E, 5.5896
   28,   2.920, 267.16, 10,E, 5.5713
   29,   2.930, 263.98, 10,E, 5.5829
   30,   2.940, 270.59, 10,E, 5.5588
   31,   2.950, 268.49, 10,E, 5.5664
   32,   2.960, 284.64, 10,E, 5.5078
   33,   2.970, 266.40, 10,E, 5.5740
   34,   2.980, 285.15, 10,E, 5.5060
   35,   2.990, 252.43, 10,E, 5.6253
   36,   3.000, 275.45, 10,E, 5.5411
   37,   3.010, 283.37, 10,E, 5.5124
   38,   3.020, 293.89, 10,E, 5.4745
   39,   3.030, 290.49, 10,E, 5.4868
   40,   3.040, 285.91, 10,E, 5.5032
   41,   3.050, 290.57, 10,E, 5.4865
   42,   3.060, 269.16, 10,E, 5.5640
   43,   3.070, 269.33, 10,E, 5.5634
   44,   3.080, 285.40, 10,E, 5.5051
   45,   3.090, 287.94, 10,E, 5.4959
   46,   3.100, 280.50, 10,E, 5.5228
   47,   3.110, 274.28, 10,E, 5.5453
   48,   3.120, 249.95, 10,E, 5.6345
   49,   3.130, 286.84, 10,E, 5.4999
   50,   3.140, 294.74, 10,E, 5.4715
   51,   3.150, 269.83, 10,E, 5.5615
   52,   3.160, 288.11, 10,E, 5.4953
   53,   3.170, 282.78, 10,E, 5.5145
   54,   3.180, 278.31, 10,E, 5.5307
   55,   3.190, 285.32, 10,E, 5.5054
   56,   3.200, 290.49, 10,E, 5.4868
   57,   3.210, 266.32, 10,E, 5.5743
   58,   3.220, 274.61, 10,E, 5.5441
   59,   3.230, 272.51, 10,E, 5.5518
