[SAMPLE PARAMETERS]
Time/Date of Scan,          02-Apr-2018   15:51:10
Study ID,                   TW
Sample ID,                  TW-13-94-1
File Name,                  TW-13-94-1
Species,                    PIPO
Operator,                   DV
Description,                North
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             94
Step Size,                        1
Sample Length,               165.00
Measured Length,             129.59
Sample Thickness,              2.27
Late Wood Method,           Threshold
Late Wood Threshold,         475.00
Late Wood Deadband,           25.00
Target Density,              546.70
Actual Density,              546.37
Early Wood Maximum Density,  474.98
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  232.75
Pos of EW Min Density,        14.29
Late Wood Maximum Density,   925.43
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   475.07
Pos of LW Min Density,        17.21
Avg % Late Wood in Sample,    65.99
Zero voltage,                  0.0449
Free air voltage,              6.8805
Mass Absorption Coefficient,   2.799300
Number of scanned data points,  13250
Number of used data points,     12907
[SAMPLE DATA]
    0,   2.610, 232.75, 94,E, 5.9326
    1,   2.620, 255.78, 94,E, 5.8463
    2,   2.630, 281.06, 94,E, 5.7529
    3,   2.640, 288.66, 94,E, 5.7251
    4,   2.650, 306.76, 94,E, 5.6595
    5,   2.660, 317.29, 94,E, 5.6216
    6,   2.670, 321.22, 94,E, 5.6076
    7,   2.680, 323.10, 94,E, 5.6009
    8,   2.690, 348.89, 94,E, 5.5096
    9,   2.700, 368.15, 94,E, 5.4425
   10,   2.710, 368.85, 94,E, 5.4401
   11,   2.720, 406.92, 94,E, 5.3098
   12,   2.730, 398.64, 94,E, 5.3378
   13,   2.740, 379.28, 94,E, 5.4041
   14,   2.750, 430.29, 94,E, 5.2313
   15,   2.760, 421.34, 94,E, 5.2612
   16,   2.770, 443.35, 94,E, 5.1880
   17,   2.780, 430.47, 94,E, 5.2307
   18,   2.790, 429.74, 94,E, 5.2332
   19,   2.800, 444.55, 94,E, 5.1840
   20,   2.810, 456.99, 93,E, 5.1431
   21,   2.820, 501.88, 93,L, 4.9982
   22,   2.830, 494.71, 93,L, 5.0211
   23,   2.840, 512.08, 93,L, 4.9658
   24,   2.850, 526.04, 93,L, 4.9219
