[SAMPLE PARAMETERS]
Time/Date of Scan,          02-Mar-2018   08:12:20
Study ID,                   WQA
Sample ID,                  TW-2-119-6
File Name,                  TW-2-119-6
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             35
Step Size,                        1
Sample Length,                85.00
Measured Length,              78.62
Sample Thickness,              2.23
Late Wood Method,           Threshold
Late Wood Threshold,         400.00
Late Wood Deadband,           25.00
Target Density,              373.70
Actual Density,              373.71
Early Wood Maximum Density,  400.00
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  201.79
Pos of EW Min Density,         3.67
Late Wood Maximum Density,   754.10
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   400.15
Pos of LW Min Density,        25.77
Avg % Late Wood in Sample,    27.11
Zero voltage,                  0.0632
Free air voltage,              7.5360
Mass Absorption Coefficient,   3.034613
Number of scanned data points,   8422
Number of used data points,      7749
[SAMPLE DATA]
    0,   1.440, 201.79, 35,E, 6.5741
    1,   1.450, 209.63, 35,E, 6.5393
    2,   1.460, 212.05, 35,E, 6.5286
    3,   1.470, 215.09, 35,E, 6.5152
    4,   1.480, 205.84, 35,E, 6.5561
    5,   1.490, 240.08, 35,E, 6.4059
    6,   1.500, 208.67, 35,E, 6.5436
    7,   1.510, 227.53, 35,E, 6.4606
    8,   1.520, 229.49, 35,E, 6.4520
    9,   1.530, 226.14, 35,E, 6.4667
   10,   1.540, 222.17, 35,E, 6.4841
   11,   1.550, 241.21, 35,E, 6.4011
   12,   1.560, 232.99, 35,E, 6.4368
   13,   1.570, 233.48, 35,E, 6.4346
   14,   1.580, 275.06, 35,E, 6.2561
   15,   1.590, 287.58, 35,E, 6.2033
   16,   1.600, 290.71, 35,E, 6.1902
   17,   1.610, 305.35, 35,E, 6.1292
   18,   1.620, 311.54, 35,E, 6.1035
   19,   1.630, 310.29, 35,E, 6.1087
   20,   1.640, 308.08, 35,E, 6.1179
   21,   1.650, 331.55, 35,E, 6.0214
   22,   1.660, 334.93, 35,E, 6.0077
   23,   1.670, 335.60, 35,E, 6.0049
   24,   1.680, 324.76, 35,E, 6.0492
   25,   1.690, 319.03, 35,E, 6.0727
   26,   1.700, 351.46, 35,E, 5.9409
   27,   1.710, 309.48, 35,E, 6.1121
   28,   1.720, 324.08, 35,E, 6.0519
   29,   1.730, 305.87, 35,E, 6.1270
   30,   1.740, 302.26, 35,E, 6.1420
   31,   1.750, 309.11, 35,E, 6.1136
   32,   1.760, 290.42, 35,E, 6.1914
   33,   1.770, 308.15, 35,E, 6.1176
   34,   1.780, 292.46, 35,E, 6.1829
   35,   1.790, 282.21, 35,E, 6.2259
   36,   1.800, 304.69, 35,E, 6.1319
   37,   1.810, 306.01, 35,E, 6.1264
   38,   1.820, 283.37, 35,E, 6.2210
   39,   1.830, 293.63, 35,E, 6.1780
   40,   1.840, 297.57, 35,E, 6.1615
   41,   1.850, 314.95, 35,E, 6.0895
   42,   1.860, 305.87, 35,E, 6.1270
   43,   1.870, 299.92, 35,E, 6.1517
   44,   1.880, 272.61, 35,E, 6.2665
   45,   1.890, 310.44, 35,E, 6.1081
   46,   1.900, 291.44, 35,E, 6.1871
   47,   1.910, 296.40, 35,E, 6.1664
   48,   1.920, 280.83, 35,E, 6.2317
   49,   1.930, 280.91, 35,E, 6.2314
   50,   1.940, 310.44, 35,E, 6.1081
   51,   1.950, 310.81, 35,E, 6.1066
   52,   1.960, 317.54, 35,E, 6.0788
   53,   1.970, 307.04, 35,E, 6.1221
   54,   1.980, 295.38, 35,E, 6.1707
   55,   1.990, 316.43, 35,E, 6.0834
   56,   2.000, 302.04, 35,E, 6.1429
   57,   2.010, 301.16, 35,E, 6.1465
   58,   2.020, 316.35, 35,E, 6.0837
   59,   2.030, 310.07, 35,E, 6.1096
   60,   2.040, 338.31, 35,E, 5.9940
   61,   2.050, 333.95, 35,E, 6.0117
   62,   2.060, 337.93, 35,E, 5.9955
   63,   2.070, 326.69, 35,E, 6.0413
   64,   2.080, 353.43, 35,E, 5.9329
   65,   2.090, 358.00, 35,E, 5.9146
   66,   2.100, 360.29, 35,E, 5.9055
   67,   2.110, 355.11, 35,E, 5.9262
   68,   2.120, 321.55, 35,E, 6.0623
   69,   2.130, 343.74, 35,E, 5.9720
   70,   2.140, 363.43, 35,E, 5.8929
   71,   2.150, 380.98, 35,E, 5.8234
   72,   2.160, 378.50, 35,E, 5.8331
   73,   2.170, 379.82, 35,E, 5.8279
   74,   2.180, 385.94, 34,E, 5.8038
   75,   2.190, 397.49, 34,E, 5.7587
   76,   2.200, 389.37, 34,E, 5.7904
   77,   2.210, 377.03, 34,E, 5.8389
   78,   2.220, 397.33, 34,E, 5.7593
   79,   2.230, 396.08, 34,E, 5.7642
   80,   2.240, 415.13, 34,L, 5.6903
   81,   2.250, 411.02, 34,L, 5.7062
   82,   2.260, 414.50, 34,L, 5.6927
   83,   2.270, 399.45, 34,E, 5.7510
   84,   2.280, 438.86, 34,L, 5.5997
   85,   2.290, 413.39, 34,L, 5.6970
   86,   2.300, 408.33, 34,L, 5.7166
   87,   2.310, 440.47, 34,L, 5.5936
   88,   2.320, 442.57, 34,L, 5.5856
   89,   2.330, 436.37, 34,L, 5.6091
   90,   2.340, 421.73, 34,L, 5.6650
   91,   2.350, 436.21, 34,L, 5.6097
   92,   2.360, 429.87, 34,L, 5.6339
   93,   2.370, 474.73, 34,L, 5.4654
   94,   2.380, 448.39, 34,L, 5.5637
   95,   2.390, 452.62, 34,L, 5.5478
   96,   2.400, 440.79, 34,L, 5.5923
   97,   2.410, 429.71, 34,L, 5.6345
   98,   2.420, 441.68, 34,L, 5.5890
   99,   2.430, 457.99, 34,L, 5.5276
  100,   2.440, 453.35, 34,L, 5.5450
  101,   2.450, 457.99, 34,L, 5.5276
  102,   2.460, 469.13, 34,L, 5.4861
  103,   2.470, 438.06, 34,L, 5.6027
  104,   2.480, 485.41, 34,L, 5.4260
  105,   2.490, 480.10, 34,L, 5.4456
  106,   2.500, 481.01, 34,L, 5.4422
  107,   2.510, 477.20, 34,L, 5.4562
  108,   2.520, 470.94, 34,L, 5.4794
  109,   2.530, 474.23, 34,L, 5.4672
  110,   2.540, 455.46, 34,L, 5.5371
  111,   2.550, 474.40, 34,L, 5.4666
  112,   2.560, 469.54, 34,L, 5.4846
  113,   2.570, 434.36, 34,L, 5.6168
  114,   2.580, 461.67, 34,L, 5.5139
  115,   2.590, 480.10, 34,L, 5.4456
  116,   2.600, 466.75, 34,L, 5.4950
  117,   2.610, 460.93, 34,L, 5.5167
  118,   2.620, 452.86, 34,L, 5.5469
  119,   2.630, 466.83, 34,L, 5.4947
  120,   2.640, 463.96, 34,L, 5.5054
  121,   2.650, 471.51, 34,L, 5.4773
  122,   2.660, 458.64, 34,L, 5.5252
  123,   2.670, 466.25, 34,L, 5.4968
  124,   2.680, 490.66, 34,L, 5.4068
  125,   2.690, 435.80, 34,L, 5.6113
  126,   2.700, 430.43, 34,L, 5.6317
  127,   2.710, 431.95, 34,L, 5.6259
  128,   2.720, 447.50, 34,L, 5.5670
  129,   2.730, 436.77, 34,L, 5.6076
  130,   2.740, 440.63, 34,L, 5.5930
  131,   2.750, 443.38, 34,L, 5.5826
  132,   2.760, 437.98, 34,L, 5.6030
  133,   2.770, 429.79, 34,L, 5.6342
  134,   2.780, 438.94, 34,L, 5.5994
  135,   2.790, 437.73, 34,L, 5.6039
  136,   2.800, 408.49, 34,L, 5.7159
  137,   2.810, 421.25, 34,L, 5.6668
  138,   2.820, 405.18, 34,L, 5.7288
  139,   2.830, 394.20, 34,E, 5.7715
  140,   2.840, 416.56, 34,L, 5.6848
  141,   2.850, 387.81, 34,E, 5.7965
  142,   2.860, 393.65, 34,E, 5.7736
  143,   2.870, 386.25, 34,E, 5.8026
  144,   2.880, 389.83, 34,E, 5.7886
  145,   2.890, 355.79, 34,E, 5.9235
  146,   2.900, 361.82, 34,E, 5.8994
  147,   2.910, 357.24, 34,E, 5.9177
  148,   2.920, 342.23, 34,E, 5.9781
  149,   2.930, 335.98, 34,E, 6.0034
  150,   2.940, 335.00, 34,E, 6.0074
  151,   2.950, 358.23, 34,E, 5.9137
  152,   2.960, 338.08, 34,E, 5.9949
  153,   2.970, 341.55, 34,E, 5.9808
  154,   2.980, 324.61, 34,E, 6.0498
  155,   2.990, 303.15, 34,E, 6.1383
  156,   3.000, 337.33, 34,E, 5.9979
  157,   3.010, 319.84, 34,E, 6.0693
  158,   3.020, 322.59, 34,E, 6.0580
  159,   3.030, 343.28, 34,E, 5.9738
  160,   3.040, 325.13, 34,E, 6.0477
  161,   3.050, 334.63, 34,E, 6.0089
  162,   3.060, 307.93, 34,E, 6.1185
  163,   3.070, 332.00, 34,E, 6.0196
  164,   3.080, 334.93, 34,E, 6.0077
  165,   3.090, 360.37, 33,E, 5.9052
  166,   3.100, 361.59, 33,E, 5.9003
  167,   3.110, 355.41, 33,E, 5.9250
  168,   3.120, 353.82, 33,E, 5.9314
  169,   3.130, 380.75, 33,E, 5.8243
  170,   3.140, 377.11, 33,E, 5.8386
  171,   3.150, 382.92, 33,E, 5.8157
  172,   3.160, 372.02, 33,E, 5.8588
  173,   3.170, 380.90, 33,E, 5.8237
  174,   3.180, 394.51, 33,E, 5.7703
  175,   3.190, 407.15, 33,L, 5.7211
  176,   3.200, 401.72, 33,L, 5.7422
  177,   3.210, 402.04, 33,L, 5.7410
  178,   3.220, 412.36, 33,L, 5.7010
  179,   3.230, 408.33, 33,L, 5.7166
  180,   3.240, 403.84, 33,L, 5.7339
  181,   3.250, 378.50, 33,E, 5.8331
  182,   3.260, 394.59, 33,E, 5.7700
  183,   3.270, 420.69, 33,L, 5.6689
  184,   3.280, 400.47, 33,L, 5.7471
  185,   3.290, 411.97, 33,L, 5.7025
  186,   3.300, 423.80, 33,L, 5.6570
  187,   3.310, 423.96, 33,L, 5.6564
  188,   3.320, 385.86, 33,E, 5.8041
  189,   3.330, 437.25, 33,L, 5.6058
  190,   3.340, 404.63, 33,L, 5.7309
  191,   3.350, 408.89, 33,L, 5.7144
  192,   3.360, 434.44, 33,L, 5.6165
  193,   3.370, 433.80, 33,L, 5.6189
  194,   3.380, 437.49, 33,L, 5.6049
  195,   3.390, 430.99, 33,L, 5.6296
  196,   3.400, 449.85, 33,L, 5.5582
  197,   3.410, 446.86, 33,L, 5.5695
  198,   3.420, 462.16, 33,L, 5.5121
  199,   3.430, 454.08, 33,L, 5.5423
  200,   3.440, 441.20, 33,L, 5.5908
  201,   3.450, 454.97, 33,L, 5.5389
  202,   3.460, 462.48, 33,L, 5.5109
  203,   3.470, 458.32, 33,L, 5.5264
  204,   3.480, 469.46, 33,L, 5.4849
  205,   3.490, 461.99, 33,L, 5.5127
  206,   3.500, 490.49, 33,L, 5.4074
  207,   3.510, 469.13, 33,L, 5.4861
  208,   3.520, 460.85, 33,L, 5.5170
  209,   3.530, 481.43, 33,L, 5.4407
  210,   3.540, 453.51, 33,L, 5.5444
  211,   3.550, 455.63, 33,L, 5.5365
  212,   3.560, 452.70, 33,L, 5.5475
  213,   3.570, 440.07, 33,L, 5.5951
  214,   3.580, 431.79, 33,L, 5.6265
  215,   3.590, 453.35, 33,L, 5.5450
  216,   3.600, 424.12, 33,L, 5.6558
  217,   3.610, 421.65, 33,L, 5.6653
  218,   3.620, 426.19, 33,L, 5.6479
  219,   3.630, 394.28, 33,E, 5.7712
  220,   3.640, 382.60, 33,E, 5.8170
  221,   3.650, 387.26, 33,E, 5.7986
  222,   3.660, 384.00, 33,E, 5.8115
  223,   3.670, 400.00, 33,E, 5.7489
  224,   3.680, 371.33, 33,E, 5.8615
  225,   3.690, 377.96, 33,E, 5.8353
  226,   3.700, 382.92, 33,E, 5.8157
