[SAMPLE PARAMETERS]
Time/Date of Scan,          27-Mar-2018   13:53:08
Study ID,                   TW
Sample ID,                  TW-1-146-1
File Name,                  TW-1-146-1
Species,                    PIPO
Operator,                   DV
Description,                North
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              105
Measured Ring Count,             96
Step Size,                        1
Sample Length,               195.00
Measured Length,             181.30
Sample Thickness,              2.27
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              452.00
Actual Density,              452.13
Early Wood Maximum Density,  424.96
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  258.80
Pos of EW Min Density,       108.80
Late Wood Maximum Density,   800.63
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.05
Pos of LW Min Density,       153.23
Avg % Late Wood in Sample,    53.65
Zero voltage,                  0.0400
Free air voltage,              6.9620
Mass Absorption Coefficient,   2.664660
Number of scanned data points,  18673
Number of used data points,     18057
[SAMPLE DATA]
    0,   3.740, 310.11, 96,E, 5.7736
    1,   3.750, 317.92, 96,E, 5.7465
    2,   3.760, 324.80, 96,E, 5.7227
    3,   3.770, 319.95, 96,E, 5.7394
    4,   3.780, 335.61, 96,E, 5.6854
    5,   3.790, 372.85, 96,E, 5.5591
    6,   3.800, 363.50, 96,E, 5.5905
    7,   3.810, 379.32, 96,E, 5.5374
    8,   3.820, 382.43, 96,E, 5.5270
    9,   3.830, 409.82, 96,E, 5.4364
   10,   3.840, 393.62, 96,E, 5.4898
   11,   3.850, 406.75, 96,E, 5.4465
   12,   3.860, 399.81, 95,E, 5.4694
   13,   3.870, 417.37, 95,E, 5.4117
   14,   3.880, 401.75, 95,E, 5.4630
   15,   3.890, 420.37, 95,E, 5.4019
   16,   3.900, 430.51, 95,L, 5.3690
   17,   3.910, 438.53, 95,L, 5.3430
   18,   3.920, 435.03, 95,L, 5.3543
   19,   3.930, 453.84, 95,L, 5.2939
   20,   3.940, 457.37, 95,L, 5.2826
   21,   3.950, 427.59, 95,L, 5.3784
   22,   3.960, 460.82, 95,L, 5.2716
   23,   3.970, 440.99, 95,L, 5.3351
   24,   3.980, 434.09, 95,L, 5.3574
   25,   3.990, 434.56, 95,L, 5.3558
   26,   4.000, 440.23, 95,L, 5.3375
   27,   4.010, 435.60, 95,L, 5.3525
   28,   4.020, 452.31, 95,L, 5.2988
   29,   4.030, 423.55, 95,E, 5.3915
   30,   4.040, 434.75, 95,L, 5.3552
   31,   4.050, 446.12, 95,L, 5.3186
   32,   4.060, 421.21, 95,E, 5.3992
   33,   4.070, 438.53, 95,L, 5.3430
   34,   4.080, 445.36, 95,L, 5.3210
   35,   4.090, 434.94, 95,L, 5.3546
   36,   4.100, 438.15, 95,L, 5.3442
   37,   4.110, 437.96, 95,L, 5.3448
   38,   4.120, 459.67, 95,L, 5.2753
   39,   4.130, 445.26, 95,L, 5.3214
   40,   4.140, 435.79, 95,L, 5.3519
   41,   4.150, 442.22, 95,L, 5.3311
   42,   4.160, 442.32, 95,L, 5.3308
   43,   4.170, 438.34, 95,L, 5.3436
   44,   4.180, 434.65, 95,L, 5.3555
   45,   4.190, 434.84, 95,L, 5.3549
   46,   4.200, 409.73, 95,E, 5.4367
   47,   4.210, 398.05, 95,E, 5.4752
   48,   4.220, 373.94, 95,E, 5.5554
   49,   4.230, 390.86, 95,E, 5.4990
   50,   4.240, 381.05, 95,E, 5.5316
   51,   4.250, 375.67, 95,E, 5.5496
   52,   4.260, 383.62, 95,E, 5.5231
   53,   4.270, 366.40, 95,E, 5.5807
   54,   4.280, 387.56, 95,E, 5.5099
   55,   4.290, 367.31, 95,E, 5.5777
   56,   4.300, 353.50, 95,E, 5.6244
   57,   4.310, 348.65, 95,E, 5.6409
   58,   4.320, 348.74, 95,E, 5.6406
   59,   4.330, 361.97, 95,E, 5.5957
   60,   4.340, 330.20, 95,E, 5.7040
   61,   4.350, 372.03, 95,E, 5.5618
   62,   4.360, 317.13, 95,E, 5.7492
   63,   4.370, 366.40, 95,E, 5.5807
   64,   4.380, 350.98, 95,E, 5.6329
   65,   4.390, 350.98, 95,E, 5.6329
   66,   4.400, 351.43, 95,E, 5.6314
   67,   4.410, 334.28, 95,E, 5.6900
   68,   4.420, 318.18, 95,E, 5.7455
   69,   4.430, 324.97, 95,E, 5.7220
   70,   4.440, 338.64, 95,E, 5.6750
   71,   4.450, 353.59, 95,E, 5.6241
   72,   4.460, 341.49, 95,E, 5.6653
   73,   4.470, 349.90, 95,E, 5.6366
   74,   4.480, 335.97, 95,E, 5.6842
   75,   4.490, 331.88, 95,E, 5.6982
   76,   4.500, 333.12, 95,E, 5.6940
   77,   4.510, 320.65, 95,E, 5.7370
   78,   4.520, 318.89, 95,E, 5.7431
   79,   4.530, 335.08, 95,E, 5.6873
   80,   4.540, 344.53, 95,E, 5.6549
   81,   4.550, 345.60, 95,E, 5.6512
   82,   4.560, 313.97, 95,E, 5.7602
   83,   4.570, 332.77, 95,E, 5.6952
   84,   4.580, 339.00, 95,E, 5.6738
   85,   4.590, 310.81, 95,E, 5.7712
   86,   4.600, 369.03, 95,E, 5.5719
   87,   4.610, 348.74, 94,E, 5.6406
   88,   4.620, 370.67, 94,E, 5.5664
   89,   4.630, 356.29, 94,E, 5.6149
   90,   4.640, 373.67, 94,E, 5.5563
   91,   4.650, 383.80, 94,E, 5.5225
   92,   4.660, 386.82, 94,E, 5.5124
   93,   4.670, 383.62, 94,E, 5.5231
   94,   4.680, 381.51, 94,E, 5.5301
   95,   4.690, 383.98, 94,E, 5.5219
   96,   4.700, 404.53, 94,E, 5.4538
   97,   4.710, 398.70, 94,E, 5.4730
