[SAMPLE PARAMETERS]
Time/Date of Scan,          11-Apr-2018   08:14:18
Study ID,                   TW
Sample ID,                  TW-7-122-7
File Name,                  TW-7-122-7
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             30
Step Size,                        1
Sample Length,               120.00
Measured Length,             107.68
Sample Thickness,              2.24
Late Wood Method,           Threshold
Late Wood Threshold,         425.00
Late Wood Deadband,           25.00
Target Density,              417.40
Actual Density,              417.26
Early Wood Maximum Density,  424.94
Pos of EW Max Density,         0.00
Early Wood Minimum Density,  240.65
Pos of EW Min Density,        58.28
Late Wood Maximum Density,   894.50
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   425.03
Pos of LW Min Density,        31.70
Avg % Late Wood in Sample,    27.89
Zero voltage,                  0.0577
Free air voltage,              7.0197
Mass Absorption Coefficient,   2.704132
Number of scanned data points,  11257
Number of used data points,     10161
[SAMPLE DATA]
    0,   7.230, 289.10, 30,E, 5.8920
    1,   7.240, 270.14, 30,E, 5.9601
    2,   7.250, 292.95, 30,E, 5.8783
    3,   7.260, 284.06, 30,E, 5.9100
    4,   7.270, 297.24, 30,E, 5.8630
    5,   7.280, 289.01, 30,E, 5.8923
    6,   7.290, 302.23, 30,E, 5.8453
    7,   7.300, 291.92, 30,E, 5.8820
    8,   7.310, 289.70, 30,E, 5.8899
    9,   7.320, 314.00, 30,E, 5.8038
   10,   7.330, 281.50, 30,E, 5.9192
   11,   7.340, 289.78, 30,E, 5.8896
   12,   7.350, 269.80, 30,E, 5.9613
   13,   7.360, 300.94, 30,E, 5.8499
   14,   7.370, 303.70, 30,E, 5.8401
   15,   7.380, 295.09, 30,E, 5.8707
   16,   7.390, 274.62, 30,E, 5.9439
   17,   7.400, 276.15, 30,E, 5.9384
   18,   7.410, 320.34, 30,E, 5.7816
